id,dataset,domain,subject,grade,task_type,quality_status,review_label,content_token_count,variation_seen_token_count,high_variation_token_count,variation_seen_share,high_variation_share,spelling_variation_exposure,mean_repeated_variants_seen,variation_exposure_quartile_all,variation_exposure_quartile_dataset,model,bangla_correct,banglish_correct,english_correct,banglish_fragile,strict_bangla_english_fragile,all_script_hard
benqa_12th-Biology-I_0265,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,44,13,7,0.2955,0.1591,0.75,3.5385,q4,q4,Qwen2.5-3B,False,False,True,True,False,False
benqa_12th-Biology-I_0265,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,44,13,7,0.2955,0.1591,0.75,3.5385,q4,q4,Qwen2.5-7B,False,False,True,True,False,False
benqa_12th-Biology-I_0265,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,44,13,7,0.2955,0.1591,0.75,3.5385,q4,q4,Qwen3-4B,True,False,True,True,True,False
benqa_12th-Chemistry-II_0240,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,14,3,1,0.2143,0.0714,0.5,3.3333,q3,q3,Qwen2.5-3B,False,True,False,False,False,False
benqa_12th-Chemistry-II_0240,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,14,3,1,0.2143,0.0714,0.5,3.3333,q3,q3,Qwen2.5-7B,False,True,True,False,False,False
benqa_12th-Chemistry-II_0240,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,14,3,1,0.2143,0.0714,0.5,3.3333,q3,q3,Qwen3-4B,True,False,True,True,True,False
benqa_10th-Chemistry_0111,benqa,chemistry,Chemistry,10th,mcq,auto_romanized_unverified_v4,unreviewed,8,1,1,0.125,0.125,0.75,7.0,q4,q4,Qwen2.5-3B,False,False,False,False,False,True
benqa_10th-Chemistry_0111,benqa,chemistry,Chemistry,10th,mcq,auto_romanized_unverified_v4,unreviewed,8,1,1,0.125,0.125,0.75,7.0,q4,q4,Qwen2.5-7B,False,False,False,False,False,True
benqa_10th-Chemistry_0111,benqa,chemistry,Chemistry,10th,mcq,auto_romanized_unverified_v4,unreviewed,8,1,1,0.125,0.125,0.75,7.0,q4,q4,Qwen3-4B,True,True,True,False,False,False
benqa_10th-Math_0186,benqa,math,Math,10th,mcq,auto_romanized_unverified_v4,unreviewed,6,2,1,0.3333,0.1667,1.1667,4.5,q4,q4,Qwen2.5-3B,False,False,False,False,False,True
benqa_10th-Math_0186,benqa,math,Math,10th,mcq,auto_romanized_unverified_v4,unreviewed,6,2,1,0.3333,0.1667,1.1667,4.5,q4,q4,Qwen2.5-7B,False,False,False,False,False,True
benqa_10th-Math_0186,benqa,math,Math,10th,mcq,auto_romanized_unverified_v4,unreviewed,6,2,1,0.3333,0.1667,1.1667,4.5,q4,q4,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Chemistry-II_0194,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,2,0,0.5,0.0,0.5,2.0,q3,q3,Qwen2.5-3B,False,False,True,True,False,False
benqa_12th-Chemistry-II_0194,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,2,0,0.5,0.0,0.5,2.0,q3,q3,Qwen2.5-7B,True,True,True,False,False,False
benqa_12th-Chemistry-II_0194,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,2,0,0.5,0.0,0.5,2.0,q3,q3,Qwen3-4B,True,False,True,True,True,False
banglamath_0234,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,11,6,0,0.5455,0.0,0.8182,2.5,q4,q4,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0234,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,11,6,0,0.5455,0.0,0.8182,2.5,q4,q4,Qwen2.5-7B,False,False,False,False,False,True
banglamath_0234,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,11,6,0,0.5455,0.0,0.8182,2.5,q4,q4,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Chemistry-II_0054,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,1,0,0.25,0.0,0.25,2.0,q2,q2,Qwen2.5-3B,False,True,True,False,False,False
benqa_12th-Chemistry-II_0054,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,1,0,0.25,0.0,0.25,2.0,q2,q2,Qwen2.5-7B,True,True,True,False,False,False
benqa_12th-Chemistry-II_0054,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,1,0,0.25,0.0,0.25,2.0,q2,q2,Qwen3-4B,True,False,True,True,True,False
banglamath_0522,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,10,2,0,0.2,0.0,0.2,2.0,q2,q1,Qwen2.5-3B,False,False,False,False,False,True
