section,model,baseline_variant,baseline_label,scope,scope_label,n,banglish_D,banglish_D_rate,banglish_wrong_D,banglish_wrong_D_rate,correct_non_D_to_wrong_D,correct_non_D_to_wrong_D_rate,subject_count,subjects
choice_scope,Qwen2.5-3B,,,non_gold_D,Gold is not D,105,25,0.2381,25,0.2381,,,13,Biology;Biology-I;Biology-II;Chemistry;Chemistry-I;Chemistry-II;Math;Math-I;Math-II;Physics;Physics-I;Physics-II;Science
choice_scope,Qwen2.5-3B,,,non_gold_D_D_not_longest,Gold is not D and D is not longest,36,4,0.1111,4,0.1111,,,13,Biology;Biology-I;Biology-II;Chemistry;Chemistry-I;Chemistry-II;Math;Math-I;Math-II;Physics;Physics-I;Physics-II;Science
choice_scope,Qwen2.5-3B,,,non_gold_D_D_no_semantic_cue,Gold is not D and D has no simple semantic cue,37,7,0.1892,7,0.1892,,,9,Biology;Biology-I;Biology-II;Chemistry;Chemistry-II;Physics;Physics-I;Physics-II;Science
choice_scope,Qwen2.5-3B,,,residual_primary,"Gold not D, D not longest, D has no simple cue",24,4,0.1667,4,0.1667,,,9,Biology;Biology-I;Biology-II;Chemistry;Chemistry-II;Physics;Physics-I;Physics-II;Science
choice_scope,Qwen2.5-3B,,,residual_tied_coverage,Primary residual and all options have tied exact coverage,20,4,0.2000,4,0.2000,,,9,Biology;Biology-I;Biology-II;Chemistry;Chemistry-II;Physics;Physics-I;Physics-II;Science
choice_scope,Qwen2.5-3B,,,residual_D_not_highest_coverage,Primary residual and D is not highest exact coverage,3,0,0.0000,0,0.0000,,,3,Biology;Chemistry;Chemistry-II
switch_scope,Qwen2.5-3B,bangla,Bangla,baseline_correct_non_D,Baseline is correct non-D,35,,,,,6,0.1714,13,Biology;Biology-I;Biology-II;Chemistry;Chemistry-I;Chemistry-II;Math;Math-I;Math-II;Physics;Physics-I;Physics-II;Science
switch_scope,Qwen2.5-3B,bangla,Bangla,baseline_correct_non_D_residual_primary,Baseline correct non-D in primary residual,7,,,,,1,0.1429,4,Biology;Biology-I;Chemistry;Science
switch_scope,Qwen2.5-3B,bangla,Bangla,baseline_correct_non_D_residual_tied_coverage,Baseline correct non-D in tied-coverage residual,7,,,,,1,0.1429,4,Biology;Biology-I;Chemistry;Science
switch_scope,Qwen2.5-3B,english,English,baseline_correct_non_D,Baseline is correct non-D,48,,,,,8,0.1667,13,Biology;Biology-I;Biology-II;Chemistry;Chemistry-I;Chemistry-II;Math;Math-I;Math-II;Physics;Physics-I;Physics-II;Science
switch_scope,Qwen2.5-3B,english,English,baseline_correct_non_D_residual_primary,Baseline correct non-D in primary residual,13,,,,,1,0.0769,8,Biology;Biology-I;Biology-II;Chemistry;Chemistry-II;Physics;Physics-II;Science
switch_scope,Qwen2.5-3B,english,English,baseline_correct_non_D_residual_tied_coverage,Baseline correct non-D in tied-coverage residual,12,,,,,1,0.0833,8,Biology;Biology-I;Biology-II;Chemistry;Chemistry-II;Physics;Physics-II;Science
choice_scope,Qwen2.5-7B 8-bit,,,non_gold_D,Gold is not D,105,17,0.1619,17,0.1619,,,13,Biology;Biology-I;Biology-II;Chemistry;Chemistry-I;Chemistry-II;Math;Math-I;Math-II;Physics;Physics-I;Physics-II;Science
choice_scope,Qwen2.5-7B 8-bit,,,non_gold_D_D_not_longest,Gold is not D and D is not longest,36,3,0.0833,3,0.0833,,,13,Biology;Biology-I;Biology-II;Chemistry;Chemistry-I;Chemistry-II;Math;Math-I;Math-II;Physics;Physics-I;Physics-II;Science
choice_scope,Qwen2.5-7B 8-bit,,,non_gold_D_D_no_semantic_cue,Gold is not D and D has no simple semantic cue,37,3,0.0811,3,0.0811,,,9,Biology;Biology-I;Biology-II;Chemistry;Chemistry-II;Physics;Physics-I;Physics-II;Science
choice_scope,Qwen2.5-7B 8-bit,,,residual_primary,"Gold not D, D not longest, D has no simple cue",24,1,0.0417,1,0.0417,,,9,Biology;Biology-I;Biology-II;Chemistry;Chemistry-II;Physics;Physics-I;Physics-II;Science
choice_scope,Qwen2.5-7B 8-bit,,,residual_tied_coverage,Primary residual and all options have tied exact coverage,20,1,0.0500,1,0.0500,,,9,Biology;Biology-I;Biology-II;Chemistry;Chemistry-II;Physics;Physics-I;Physics-II;Science
choice_scope,Qwen2.5-7B 8-bit,,,residual_D_not_highest_coverage,Primary residual and D is not highest exact coverage,3,0,0.0000,0,0.0000,,,3,Biology;Chemistry;Chemistry-II
switch_scope,Qwen2.5-7B 8-bit,bangla,Bangla,baseline_correct_non_D,Baseline is correct non-D,54,,,,,10,0.1852,13,Biology;Biology-I;Biology-II;Chemistry;Chemistry-I;Chemistry-II;Math;Math-I;Math-II;Physics;Physics-I;Physics-II;Science
switch_scope,Qwen2.5-7B 8-bit,bangla,Bangla,baseline_correct_non_D_residual_primary,Baseline correct non-D in primary residual,14,,,,,1,0.0714,7,Biology;Biology-I;Biology-II;Chemistry;Physics;Physics-I;Science
switch_scope,Qwen2.5-7B 8-bit,bangla,Bangla,baseline_correct_non_D_residual_tied_coverage,Baseline correct non-D in tied-coverage residual,11,,,,,1,0.0909,7,Biology;Biology-I;Biology-II;Chemistry;Physics;Physics-I;Science
switch_scope,Qwen2.5-7B 8-bit,english,English,baseline_correct_non_D,Baseline is correct non-D,69,,,,,11,0.1594,13,Biology;Biology-I;Biology-II;Chemistry;Chemistry-I;Chemistry-II;Math;Math-I;Math-II;Physics;Physics-I;Physics-II;Science
switch_scope,Qwen2.5-7B 8-bit,english,English,baseline_correct_non_D_residual_primary,Baseline correct non-D in primary residual,17,,,,,0,0.0000,8,Biology;Biology-I;Biology-II;Chemistry;Chemistry-II;Physics;Physics-I;Science
switch_scope,Qwen2.5-7B 8-bit,english,English,baseline_correct_non_D_residual_tied_coverage,Baseline correct non-D in tied-coverage residual,14,,,,,0,0.0000,8,Biology;Biology-I;Biology-II;Chemistry;Chemistry-II;Physics;Physics-I;Science
choice_scope,Qwen3-4B,,,non_gold_D,Gold is not D,105,77,0.7333,77,0.7333,,,13,Biology;Biology-I;Biology-II;Chemistry;Chemistry-I;Chemistry-II;Math;Math-I;Math-II;Physics;Physics-I;Physics-II;Science
choice_scope,Qwen3-4B,,,non_gold_D_D_not_longest,Gold is not D and D is not longest,36,22,0.6111,22,0.6111,,,13,Biology;Biology-I;Biology-II;Chemistry;Chemistry-I;Chemistry-II;Math;Math-I;Math-II;Physics;Physics-I;Physics-II;Science
choice_scope,Qwen3-4B,,,non_gold_D_D_no_semantic_cue,Gold is not D and D has no simple semantic cue,37,30,0.8108,30,0.8108,,,9,Biology;Biology-I;Biology-II;Chemistry;Chemistry-II;Physics;Physics-I;Physics-II;Science
choice_scope,Qwen3-4B,,,residual_primary,"Gold not D, D not longest, D has no simple cue",24,19,0.7917,19,0.7917,,,9,Biology;Biology-I;Biology-II;Chemistry;Chemistry-II;Physics;Physics-I;Physics-II;Science
choice_scope,Qwen3-4B,,,residual_tied_coverage,Primary residual and all options have tied exact coverage,20,16,0.8000,16,0.8000,,,9,Biology;Biology-I;Biology-II;Chemistry;Chemistry-II;Physics;Physics-I;Physics-II;Science
choice_scope,Qwen3-4B,,,residual_D_not_highest_coverage,Primary residual and D is not highest exact coverage,3,2,0.6667,2,0.6667,,,3,Biology;Chemistry;Chemistry-II
switch_scope,Qwen3-4B,bangla,Bangla,baseline_correct_non_D,Baseline is correct non-D,44,,,,,30,0.6818,13,Biology;Biology-I;Biology-II;Chemistry;Chemistry-I;Chemistry-II;Math;Math-I;Math-II;Physics;Physics-I;Physics-II;Science
switch_scope,Qwen3-4B,bangla,Bangla,baseline_correct_non_D_residual_primary,Baseline correct non-D in primary residual,13,,,,,11,0.8462,7,Biology;Biology-I;Biology-II;Chemistry;Chemistry-II;Physics;Science
switch_scope,Qwen3-4B,bangla,Bangla,baseline_correct_non_D_residual_tied_coverage,Baseline correct non-D in tied-coverage residual,10,,,,,9,0.9000,7,Biology;Biology-I;Biology-II;Chemistry;Chemistry-II;Physics;Science
switch_scope,Qwen3-4B,english,English,baseline_correct_non_D,Baseline is correct non-D,54,,,,,37,0.6852,13,Biology;Biology-I;Biology-II;Chemistry;Chemistry-I;Chemistry-II;Math;Math-I;Math-II;Physics;Physics-I;Physics-II;Science
switch_scope,Qwen3-4B,english,English,baseline_correct_non_D_residual_primary,Baseline correct non-D in primary residual,14,,,,,11,0.7857,7,Biology;Biology-I;Biology-II;Chemistry;Chemistry-II;Physics;Science
switch_scope,Qwen3-4B,english,English,baseline_correct_non_D_residual_tied_coverage,Baseline correct non-D in tied-coverage residual,11,,,,,9,0.8182,6,Biology-I;Biology-II;Chemistry;Chemistry-II;Physics;Science
