queue_index,id,subject,grade,answer,priority,quality_status,warnings,source_file,source_row
1,benqa_ext_12th-Biology-II_0261,Biology-II,12th,C,warning,ai_assisted_review_warn_v1,bangla_duplicate_option_text;banglish_duplicate_option_text;english_duplicate_option_text,literature/code/BEnQA/data/BEnQA/12th-Biology-II.csv,261
2,benqa_ext_10th-Math-II_0230,Math-II,10th,D,warning,ai_assisted_review_warn_v1,bangla_duplicate_option_text;banglish_duplicate_option_text;english_duplicate_option_text,literature/code/BEnQA/data/BEnQA/10th-Math-II.csv,230
3,benqa_ext_10th-Biology_0281,Biology,10th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch;bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,281
4,benqa_ext_12th-Biology-I_0207,Biology-I,12th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch;bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/12th-Biology-I.csv,207
5,benqa_ext_12th-Biology-II_0144,Biology-II,12th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch;bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/12th-Biology-II.csv,144
6,benqa_ext_12th-Biology-II_0222,Biology-II,12th,A,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch;bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/12th-Biology-II.csv,222
7,benqa_ext_12th-Chemistry-I_0212,Chemistry-I,12th,C,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch;bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-I.csv,212
8,benqa_ext_12th-Chemistry-II_0005,Chemistry-II,12th,D,warning,ai_assisted_review_warn_v1,english_duplicate_option_text;bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,5
9,benqa_ext_12th-Chemistry-II_0183,Chemistry-II,12th,C,warning,ai_assisted_review_warn_v1,bangla_duplicate_option_text;banglish_duplicate_option_text,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,183
10,benqa_ext_12th-Chemistry-II_0244,Chemistry-II,12th,C,warning,ai_assisted_review_warn_v1,english_duplicate_option_text;bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,244
11,benqa_ext_10th-Math-II_0239,Math-II,10th,A,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch;bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/10th-Math-II.csv,239
12,benqa_ext_12th-Math-II_0269,Math-II,12th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch;bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/12th-Math-II.csv,269
13,benqa_ext_12th-Physics-II_0241,Physics-II,12th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch;bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/12th-Physics-II.csv,241
14,benqa_ext_8th-Science_0088,Science,8th,B,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch;suspicious_romanization_pattern:\btb[a-z]+,literature/code/BEnQA/data/BEnQA/8th-Science.csv,88
15,benqa_ext_10th-Biology_0024,Biology,10th,C,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,24
16,benqa_ext_10th-Biology_0031,Biology,10th,A,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,31
17,benqa_ext_10th-Biology_0061,Biology,10th,A,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,61
18,benqa_ext_10th-Biology_0068,Biology,10th,A,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,68
19,benqa_ext_10th-Biology_0135,Biology,10th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,135
20,benqa_ext_10th-Biology_0141,Biology,10th,C,warning,ai_assisted_review_warn_v1,suspicious_romanization_pattern:\btb[a-z]+,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,141
21,benqa_ext_10th-Biology_0201,Biology,10th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,201
22,benqa_ext_10th-Biology_0214,Biology,10th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,214
23,benqa_ext_12th-Biology-I_0021,Biology-I,12th,B,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/12th-Biology-I.csv,21
24,benqa_ext_12th-Biology-I_0169,Biology-I,12th,C,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/12th-Biology-I.csv,169
25,benqa_ext_12th-Biology-I_0189,Biology-I,12th,A,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Biology-I.csv,189
26,benqa_ext_12th-Biology-I_0192,Biology-I,12th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Biology-I.csv,192
27,benqa_ext_12th-Biology-I_0211,Biology-I,12th,D,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/12th-Biology-I.csv,211
28,benqa_ext_12th-Biology-I_0264,Biology-I,12th,A,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/12th-Biology-I.csv,264
29,benqa_ext_12th-Biology-I_0290,Biology-I,12th,A,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/12th-Biology-I.csv,290
30,benqa_ext_12th-Biology-II_0199,Biology-II,12th,C,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Biology-II.csv,199
31,benqa_ext_12th-Biology-II_0245,Biology-II,12th,C,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Biology-II.csv,245
32,benqa_ext_10th-Chemistry_0112,Chemistry,10th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,112
33,benqa_ext_10th-Chemistry_0137,Chemistry,10th,A,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,137
34,benqa_ext_10th-Chemistry_0152,Chemistry,10th,A,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,152
35,benqa_ext_10th-Chemistry_0154,Chemistry,10th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,154
36,benqa_ext_10th-Chemistry_0176,Chemistry,10th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,176
37,benqa_ext_10th-Chemistry_0185,Chemistry,10th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,185
38,benqa_ext_10th-Chemistry_0218,Chemistry,10th,B,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,218
39,benqa_ext_10th-Chemistry_0238,Chemistry,10th,C,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,238
40,benqa_ext_10th-Chemistry_0250,Chemistry,10th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,250
41,benqa_ext_10th-Chemistry_0259,Chemistry,10th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,259
42,benqa_ext_10th-Chemistry_0263,Chemistry,10th,C,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,263
43,benqa_ext_10th-Chemistry_0274,Chemistry,10th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,274
44,benqa_ext_10th-Chemistry_0355,Chemistry,10th,C,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,355
45,benqa_ext_10th-Chemistry_0382,Chemistry,10th,D,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,382
