model,id,variant,dataset,task_type,answer_type,gold,before_correct,after_correct,change,before_parsed,after_parsed,before_seconds,after_seconds,before_source,after_source
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0001,bangla,mgsm,math_word_problem,short_answer,18,False,False,same_wrong,16,16,1.1963,1.4501,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0001,banglish_clean,mgsm,math_word_problem,short_answer,18,False,False,same_wrong,tini krishokoder bajare protidin kot dolar 2.12 uparjon koren.,tini krishokoder bajare protidin kot dolar 2.12 uparjon koren.,1.2721,1.2479,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0001,english,mgsm,math_word_problem,short_answer,18,False,False,same_wrong,4,4,0.1692,0.1711,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0002,bangla,mgsm,math_word_problem,short_answer,3,False,False,same_wrong,4,4,0.1908,0.1954,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0002,banglish_clean,mgsm,math_word_problem,short_answer,3,False,False,same_wrong,3 ril lagobe,3 ril lagobe,0.3067,0.3232,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0002,english,mgsm,math_word_problem,short_answer,3,False,False,same_wrong,5,5,0.1425,0.1495,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0003,bangla,mgsm,math_word_problem,short_answer,70000,False,False,same_wrong,60000,60000,0.4682,0.4947,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0003,banglish_clean,mgsm,math_word_problem,short_answer,70000,False,False,same_wrong,"tini labh korolen 120,000 dolarni.","tini labh korolen 120,000 dolarni.",0.8435,0.9107,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0003,english,mgsm,math_word_problem,short_answer,70000,True,True,same_correct,170000,170000,0.3797,0.3927,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0004,bangla,mgsm,math_word_problem,short_answer,540,True,True,same_correct,540,540,0.3486,0.3564,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
