id,answer,subject,domain,bangla_correct,banglish_correct,english_correct,bangla_parsed,banglish_parsed,english_parsed,bangla_prompt,banglish_prompt,english_prompt
benqa_ext_10th-Biology_0002,D,Biology,biology,0,0,1,B,A,D,"কোনটিতে সৌরশক্তি স্থিতি শক্তিরূপে সঞ্চিত থাকে? A. অক্সিজেন B. পানি C. কার্বন ডাই অক্সাইড D. শ্বেতসার Answer with only A, B, C, or D.","konotite souroshokti sthiti shoktirupe sonchit thake? A. oksijen B. pani C. karbon dai oksaid D. shbetosar Answer with only A, B, C, or D.","Where is the solar energy stored as the potential energy? A. Oxygen B. Water C. Carbon-dioxide D. Carbohydrate Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0091,C,Biology,biology,1,0,0,C,D,D,"সুগারবিট এর মূল এবং কাণ্ডের বৃদ্ধির জন্য কোন পুষ্টি উপাদান প্রয়োজন? A. বোরন B. আয়রন C. ক্লোরিন D. পটাশিয়াম Answer with only A, B, C, or D.","sugarobit er mul ebong kander briddhir jony kon pushti upadan proyojon? A. boron B. ayoron C. klorin D. potashiyam Answer with only A, B, C, or D.","Which is the necessary nutrient for the growth of root and stem of lsugar beet? A. Boron B. Iron C. Chlorine D. Potassium Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0100,C,Biology,biology,1,0,1,C,D,C,"অ্যাকটিন ও মায়োসিন প্রোটিন কোন অঙ্গাণুতে থাকে? A. সেন্ট্রোজোম B. রাইবোজোম C. কোষকঙ্কাল D. ক্লোরোপ্লাস্ট Answer with only A, B, C, or D.","akotin o mayosin protin kon ongganute thake? A. sentrojom B. raibojom C. koshokongkal D. kloroplast Answer with only A, B, C, or D.","Which organ contains Actine and Myocin? A. Centrosome B. Ribosome C. Cytoskeleton D. Chloroplast Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0196,C,Biology,biology,0,0,1,D,D,C,"চালতা কোন ধরণের ফল? A. যৌগিক B. গুচ্ছ C. অপ্রকৃত D. প্রকৃত Answer with only A, B, C, or D.","chalota kon dhoroner fol? A. jougik B. guchchh C. oprokrit D. prokrit Answer with only A, B, C, or D.","What kind of fruit Chalita is? A. Compound B. Agregate C. FALSE D. TRUE Answer with only A, B, C, or D."
benqa_ext_10th-Chemistry_0095,D,Chemistry,chemistry,0,0,1,B,B,D,"CH_{3} - C \equiv CH যৌগটির IUPAC নাম কী? A. প্রোপাইল B. প্রোপেন C. প্রোপিন D. প্রোপাইন Answer with only A, B, C, or D.","CH_{3} - C \equiv CH jougotir IUPAC nam ki? A. propail B. propen C. propin D. propain Answer with only A, B, C, or D.","What is the IUPAC name of compound 'CH_{3}-C\equiv CH'? A. Propyl B. Propane C. Propene D. Propyne Answer with only A, B, C, or D."
benqa_ext_10th-Chemistry_0232,A,Chemistry,chemistry,1,0,1,A,D,A,"কোন মৌলের পরমাণুতে নিউট্রন নেই? A. H B. He C. Li D. Be Answer with only A, B, C, or D.","kon mouler poromanute niutron nei? A. H B. He C. Li D. Be Answer with only A, B, C, or D.","In which atom of the following elements has no neutron? A. H B. He C. Li D. Be Answer with only A, B, C, or D."
benqa_ext_10th-Chemistry_0285,B,Chemistry,chemistry,0,0,1,D,D,B,"ঘনীভবনের ক্ষেত্রে- i. পদার্থ তাপশক্তি নির্গত করে ii. কণার গতিশক্তি বৃদ্ধি পায় iii. আয়তন হ্রাস পায় নিচের কোনটি সঠিক? A. i ও ii B. i ও iii C. ii ও iii D. i, ii ও iii Answer with only A, B, C, or D.","ghonibhoboner kshetre- i. podarth taposhokti nirgot kore ii. konar gotishokti briddhi pay iii. ayoton hras pay nicher konoti sothik? A. i o ii B. i o iii C. ii o iii D. i, ii o iii Answer with only A, B, C, or D.","In case of condensation- i. matter releases heat energy ii. kinetic energy of particels is increased iii. volume is decreased Which one is correct? A. i and ii B. i and iii C. ii and iii D. i, ii and iii Answer with o..."
benqa_ext_10th-Chemistry_0376,B,Chemistry,chemistry,0,0,1,A,D,B,"কোনটি প্রাকৃতিক পলিমার? A. পলিথিন B. রাবার C. পিভিসি D. পলিপ্রোপিন Answer with only A, B, C, or D.","konoti prakritik polimar? A. polithin B. rabar C. pibhisi D. polipropin Answer with only A, B, C, or D.","Which one is natural polymer? A. Polythene B. Rubber C. PVC D. Polypropene Answer with only A, B, C, or D."
benqa_ext_10th-Math-II_0119,B,Math-II,math-ii,0,0,1,D,D,B,"8^{a} = 64^{b) হলে a:b এর মান নিচের কোনটি? A. 1:02 B. 2:01 C. 2:03 D. 3:02 Answer with only A, B, C, or D.","8^{a} = 64^{b) hole a:b er man nicher konoti? A. 1:02 B. 2:01 C. 2:03 D. 3:02 Answer with only A, B, C, or D.","If 8^{a} = 64^{b), which of the folowing is the value of a:b? A. 1:02 B. 2:01 C. 2:03 D. 3:02 Answer with only A, B, C, or D."
benqa_ext_10th-Math_0258,A,Math,math,0,0,1,B,B,A,"0.0625 সংখ্যাটি সাধারণ লগের পূর্ণক কত? A. \bar{2} B. \bar{1} C. 1 D. 2 Answer with only A, B, C, or D.","0.0625 songkhyati sadharon loger purnok kot? A. \bar{2} B. \bar{1} C. 1 D. 2 Answer with only A, B, C, or D.","What is the characteristic of the common \log of 0.0625? A. \bar{2} B. \bar{1} C. 1 D. 2 Answer with only A, B, C, or D."
