model,model_id,dataset,task_type,answer_type,id,domain,subject,grade,pattern,source_class,bangla_correct,banglish_correct,english_correct,banglish_wrong,recoverable_banglish_miss,bangla_only_recovery,english_only_recovery,both_alternate_recovery,bangla_any_recovery,english_any_recovery,all_script_hard,banglish_unique_success,gold
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0181,math,,six,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,সময় কমে যায়
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0182,math,,six,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,৬০০ টাকা
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0183,math,,six,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,৩০ দিন
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0184,math,,six,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,১২০০০ টাকা
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0185,math,,six,bangla_only_correct,bangla_only_recovery,True,False,False,True,True,True,False,False,True,False,False,False,২০০ কেজি
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0186,math,,six,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,২২ ১/২ দিন
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0187,math,,six,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,১৪০ জন
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0188,math,,six,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,১৫ ঘণ্টা
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0189,math,,six,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,৬ জন পুরুষ
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0226,math,,six,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,২৫০ টাকা
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0227,math,,six,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,৭.৫ কিমি
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0228,math,,six,english_only_correct,english_only_recovery,False,False,True,True,True,False,True,False,False,True,False,False,২/৫
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0229,math,,six,bangla_english_correct_banglish_wrong,both_alternate_recovery,True,False,True,True,True,False,False,True,True,True,False,False,1.5
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0230,math,,six,bangla_english_correct_banglish_wrong,both_alternate_recovery,True,False,True,True,True,False,False,True,True,True,False,False,20%
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0231,math,,six,english_only_correct,english_only_recovery,False,False,True,True,True,False,True,False,False,True,False,False,২০ টাকা
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0232,math,,six,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,২০০ টাকা
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0233,math,,six,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,৭ দিন
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0234,math,,six,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,৬ দিন
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0236,math,,six,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,১২ টাকা
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0237,math,,six,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,৬৪ টাকা
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0518,math,,seven,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,১৫০ মিটার
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0519,math,,seven,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,৭৫০০ বর্গমিটার
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0521,math,,seven,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,৭০ মিটার
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0522,math,,seven,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,১৭৬ বর্গমিটার
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0526,math,,seven,bangla_english_correct_banglish_wrong,both_alternate_recovery,True,False,True,True,True,False,False,True,True,True,False,False,৩০ বর্গ মিটার
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0531,math,,seven,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,৫ মেট্রিক টন ৫০৭ কেজি ৭০০ গ্রাম
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0532,math,,seven,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,১ মেট্রিক টন ৭৫০ কেজি
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0533,math,,seven,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,৬৬৬ মেট্রিক টন ৬৬৬ কেজি ৬৬৬ গ্রাম (প্রায়)
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0538,math,,seven,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,৩৮৪ বর্গ মিটার
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0539,math,,seven,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,১৪৭ বর্গমিটার
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0540,math,,seven,all_wrong,all_script_hard,False,False,False,True,False,False,False,False,False,False,True,False,২১ মিটার
