comparison,comparison_role,left_variant,right_variant,dataset,task_type,n,structural_mismatch,primary_pair_hard_fail,diagnostic_warning,option_label_mismatch,digit_sequence_mismatch,formula_token_mismatch,answer_instruction_mismatch,mismatch_rate,mismatch_codes
bangla_vs_banglish,primary,bangla,banglish_clean,all,all,200,0,0,0,0,0,0,0,0.0,
bangla_vs_banglish,primary,bangla,banglish_clean,banglamath,all,56,0,0,0,0,0,0,0,0.0,
bangla_vs_banglish,primary,bangla,banglish_clean,banglamath,short_answer,56,0,0,0,0,0,0,0,0.0,
bangla_vs_banglish,primary,bangla,banglish_clean,benqa,all,144,0,0,0,0,0,0,0,0.0,
bangla_vs_banglish,primary,bangla,banglish_clean,benqa,mcq,144,0,0,0,0,0,0,0,0.0,
bangla_vs_english,diagnostic,bangla,english,all,all,200,39,0,39,0,23,23,0,0.195,digits:23 formulas:23
bangla_vs_english,diagnostic,bangla,english,banglamath,all,56,12,0,12,0,12,3,0,0.2143,digits:12 formulas:3
bangla_vs_english,diagnostic,bangla,english,banglamath,short_answer,56,12,0,12,0,12,3,0,0.2143,digits:12 formulas:3
bangla_vs_english,diagnostic,bangla,english,benqa,all,144,27,0,27,0,11,20,0,0.1875,digits:11 formulas:20
bangla_vs_english,diagnostic,bangla,english,benqa,mcq,144,27,0,27,0,11,20,0,0.1875,digits:11 formulas:20
banglish_vs_english,diagnostic,banglish_clean,english,all,all,200,39,0,39,0,23,23,0,0.195,digits:23 formulas:23
banglish_vs_english,diagnostic,banglish_clean,english,banglamath,all,56,12,0,12,0,12,3,0,0.2143,digits:12 formulas:3
banglish_vs_english,diagnostic,banglish_clean,english,banglamath,short_answer,56,12,0,12,0,12,3,0,0.2143,digits:12 formulas:3
banglish_vs_english,diagnostic,banglish_clean,english,benqa,all,144,27,0,27,0,11,20,0,0.1875,digits:11 formulas:20
banglish_vs_english,diagnostic,banglish_clean,english,benqa,mcq,144,27,0,27,0,11,20,0,0.1875,digits:11 formulas:20
