id,dataset,domain,subject,task_type,review_label,banglish_chars,banglish_words,has_digits,has_formula_or_operator,has_latex_markers,has_science_symbol,in_all,in_has_digits,in_no_digits,in_short_half,in_no_formula_operator,in_no_digits_no_formula,in_benqa_no_digits,in_benqa_no_digits_no_formula,in_benqa_short_no_digits
benqa_12th-Biology-I_0265,benqa,biology-i,Biology-I,mcq,minor_edit,422,72,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_12th-Chemistry-II_0240,benqa,chemistry-ii,Chemistry-II,mcq,unreviewed,237,38,True,True,True,True,True,True,False,False,False,False,False,False,False
benqa_10th-Chemistry_0111,benqa,chemistry,Chemistry,mcq,unreviewed,160,25,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_10th-Math_0186,benqa,math,Math,mcq,unreviewed,138,32,True,True,False,False,True,True,False,True,False,False,False,False,False
benqa_12th-Chemistry-II_0194,benqa,chemistry-ii,Chemistry-II,mcq,unreviewed,91,20,False,True,False,False,True,False,True,True,False,False,True,False,True
banglamath_0234,banglamath,math,,short_answer,minor_edit,95,20,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_12th-Chemistry-II_0054,benqa,chemistry-ii,Chemistry-II,mcq,unreviewed,129,20,True,True,True,False,True,True,False,True,False,False,False,False,False
banglamath_0522,banglamath,math,,short_answer,minor_edit,102,16,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_12th-Math-II_0234,benqa,math-ii,Math-II,mcq,unreviewed,207,36,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_10th-Math_0271,benqa,math,Math,mcq,minor_edit,217,36,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_10th-Physics_0045,benqa,physics,Physics,mcq,minor_edit,147,28,False,False,False,False,True,False,True,False,True,True,True,True,False
benqa_8th-Science_0086,benqa,science,Science,mcq,unreviewed,113,21,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_10th-Math-II_0139,benqa,math-ii,Math-II,mcq,minor_edit,178,23,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_12th-Biology-II_0325,benqa,biology-ii,Biology-II,mcq,unreviewed,160,26,False,True,False,False,True,False,True,False,False,False,True,False,False
