model,dataset,variant,variant_label,n,correct,format_failures,parsed_empty,choice_invalid,raw_long_gt120,raw_multiline,mean_raw_chars,mean_parsed_chars
Qwen2.5-3B,all,bangla,Bangla,200,54,0,0,0,2,0,5.0,5.0
Qwen2.5-3B,all,banglish_clean,Reviewed Banglish,200,41,0,0,0,3,2,9.0,7.4
Qwen2.5-3B,all,english,English,200,71,0,0,0,4,2,10.5,5.6
Qwen2.5-3B,benqa,bangla,Bangla,144,49,0,0,0,0,0,1,1
Qwen2.5-3B,benqa,banglish_clean,Reviewed Banglish,144,41,0,0,0,0,0,1,1
Qwen2.5-3B,benqa,english,English,144,66,0,0,0,0,0,1,1
Qwen2.5-3B,banglamath,bangla,Bangla,56,5,0,0,0,2,0,15.5,15.5
Qwen2.5-3B,banglamath,banglish_clean,Reviewed Banglish,56,0,0,0,0,3,2,29.6,23.8
Qwen2.5-3B,banglamath,english,English,56,5,0,0,0,4,2,35.0,17.3
Qwen2.5-7B 8-bit,all,bangla,Bangla,200,65,0,0,0,1,1,4.2,3.7
Qwen2.5-7B 8-bit,all,banglish_clean,Reviewed Banglish,200,47,2,2,2,2,0,7.1,2.8
Qwen2.5-7B 8-bit,all,english,English,200,94,0,0,0,1,1,5.6,5.2
Qwen2.5-7B 8-bit,benqa,bangla,Bangla,144,60,0,0,0,0,0,1,1
Qwen2.5-7B 8-bit,benqa,banglish_clean,Reviewed Banglish,144,47,2,2,2,2,0,7.0,1.0
Qwen2.5-7B 8-bit,benqa,english,English,144,86,0,0,0,0,0,1,1
Qwen2.5-7B 8-bit,banglamath,bangla,Bangla,56,5,0,0,0,1,1,12.3,10.5
Qwen2.5-7B 8-bit,banglamath,banglish_clean,Reviewed Banglish,56,0,0,0,0,0,0,7.4,7.4
Qwen2.5-7B 8-bit,banglamath,english,English,56,8,0,0,0,1,1,17.3,16.0
Qwen3-4B,all,bangla,Bangla,200,80,4,4,4,48,55,46.2,9.4
Qwen3-4B,all,banglish_clean,Reviewed Banglish,200,49,3,3,3,42,50,72.2,8.7
Qwen3-4B,all,english,English,200,88,8,8,8,62,66,102.7,6.5
Qwen3-4B,benqa,bangla,Bangla,144,76,4,4,4,6,6,12.8,1.0
Qwen3-4B,benqa,banglish_clean,Reviewed Banglish,144,47,3,3,3,3,3,7.3,1.0
Qwen3-4B,benqa,english,English,144,82,8,8,8,14,14,36.0,0.9
Qwen3-4B,banglamath,bangla,Bangla,56,4,0,0,0,42,49,132.2,31.2
Qwen3-4B,banglamath,banglish_clean,Reviewed Banglish,56,2,0,0,0,39,47,238.9,28.4
Qwen3-4B,banglamath,english,English,56,6,0,0,0,48,52,274.2,20.7
