model,model_id,dataset,task_type,answer_type,id,domain,subject,grade,gold,pattern,bangla_correct,reviewed_banglish_correct,english_correct,bangla_correct_banglish_wrong,english_correct_banglish_wrong,alternate_correct_banglish_wrong,both_alternates_correct_banglish_wrong,all_three_correct,all_three_wrong
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0181,math,,six,সময় কমে যায়,all_wrong,False,False,False,False,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0182,math,,six,৬০০ টাকা,all_wrong,False,False,False,False,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0183,math,,six,৩০ দিন,all_wrong,False,False,False,False,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0184,math,,six,১২০০০ টাকা,all_wrong,False,False,False,False,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0185,math,,six,২০০ কেজি,bangla_only_correct,True,False,False,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0186,math,,six,২২ ১/২ দিন,all_wrong,False,False,False,False,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0187,math,,six,১৪০ জন,all_wrong,False,False,False,False,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0188,math,,six,১৫ ঘণ্টা,all_wrong,False,False,False,False,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0189,math,,six,৬ জন পুরুষ,all_wrong,False,False,False,False,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0226,math,,six,২৫০ টাকা,all_wrong,False,False,False,False,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,short_answer,banglamath_0227,math,,six,৭.৫ কিমি,all_wrong,False,False,False,False,False,False,False,False,True
