id,answer,subject,domain,bangla_correct,banglish_correct,english_correct,bangla_parsed,banglish_parsed,english_parsed,bangla_prompt,banglish_prompt,english_prompt
benqa_ext_10th-Biology_0002,D,Biology,biology,0,0,1,B,A,D,"কোনটিতে সৌরশক্তি স্থিতি শক্তিরূপে সঞ্চিত থাকে? A. অক্সিজেন B. পানি C. কার্বন ডাই অক্সাইড D. শ্বেতসার Answer with only A, B, C, or D.","konotite souroshokti sthiti shoktirupe sonchit thake? A. oksijen B. pani C. karbon dai oksaid D. shbetosar Answer with only A, B, C, or D.","Where is the solar energy stored as the potential energy? A. Oxygen B. Water C. Carbon-dioxide D. Carbohydrate Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0034,A,Biology,biology,0,0,1,D,D,A,"ট্রাকিয়াতে পাওয়া যায়- i. সিউডো-স্ট্র্যাটিফাইড আবরণী টিস্যু ii. সিলিয়াযুক্ত আবরণী টিস্যু iii. কিউবয়ডাল আবরণী টিস্যু নিচের কোনটি সঠিক? A. i ও ii B. i ও iii C. ii ও iii D. i, ii ও iii Answer with only A, B, C, or D.","trakiyate paoya jay- i. siudo-stryatifaid aboroni tisyu ii. siliyajukt aboroni tisyu iii. kiuboyodal aboroni tisyu nicher konoti sothik? A. i o ii B. i o iii C. ii o iii D. i, ii o iii Answer with only A, B, C, or D.","Found in Trachea- i. Pseudo stractified epithelial tissue ii. Ciliated epithelial tissue iii. Cuboidal epithelial tissue Which one is correct? A. i and ii B. i and iii C. ii and iii D. i, ii and iii Answer with only A..."
benqa_ext_10th-Biology_0045,D,Biology,biology,0,0,1,B,A,D,"কীসের সাহায্যে ভ্রূণ জরায়ুর সাথে সংস্থাপিত হয়? A. অ্যামনিয়ন B. রক্তনালী C. আম্বিলিকাল কর্ড D. অমরা Answer with only A, B, C, or D.","kiser sahajye bhrun jorayur sathe songsthapit hoy? A. amoniyon B. roktonali C. ambilikal kord D. omora Answer with only A, B, C, or D.","By which part embryo is implanted with the uterus wall? A. Amnion B. Blood vessel C. Umbilical cord D. Placenta Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0065,A,Biology,biology,0,0,1,C,B,A,"নিচের কোনটি C_{4} উদ্ভিদ? A. আখ B. আম C. শাপলা D. জবা Answer with only A, B, C, or D.","nicher konoti C_{4} udbhid? A. akh B. am C. shapola D. joba Answer with only A, B, C, or D.","Which one of the following is C_{4} plant? A. Sugarcane B. Mango C. Water lily D. Chinese hibiscus Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0067,B,Biology,biology,0,0,1,C,C,B,"রতনের বয়স ৩৯ বছর। তার ওজন ৬৯ কেজি এবং উচ্চতা ১৭০ সে.মি.। রতনের ক্ষেত্রে প্রযোজ্য- A. শরীরের ওজন কম B. সুস্বাস্থ্যের অধিকারী C. শরীরের ওজন অতিরিক্ত D. অতিরিক্ত মোটাত্ব Answer with only A, B, C, or D.","rotoner boyos 39 bochhor. tar ojon 69 keji ebong uchchota 170 se.mi.. rotoner kshetre projojy- A. shorirer ojon kom B. susbasthyer odhikari C. shorirer ojon otirikt D. otirikt motatb Answer with only A, B, C, or D.","Ratan is 39 years old. His weight is 69 kg and height is 170 cm. Applicable for Ratan- A. Less body weight B. Possesses good health C. Excessive body weight D. Excessive fat Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0069,A,Biology,biology,0,0,1,C,B,A,"জীবাণু ভক্ষণ করে নিচের কোন কণিকা? A. নিউট্রোফিল B. ইওসিনোফিল C. বেসোফিল D. থ্রম্বোসাইট Answer with only A, B, C, or D.","jibanu bhokshon kore nicher kon konika? A. niutrofil B. iosinofil C. besofil D. thrombosait Answer with only A, B, C, or D.","Which of the following blood corpuscle engulfs the germs? A. Neutrophil B. Eosinophil C. Basophil D. Thrombocyte Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0084,C,Biology,biology,0,0,1,B,B,C,"জ্যান্থোফিল থাকলে উদ্ভিদ কী বর্ণ ধারণ করে? A. লাল B. নীল C. হলুদ D. কমলা Answer with only A, B, C, or D.","jyanthofil thakole udbhid ki born dharon kore? A. lal B. nil C. holud D. komola Answer with only A, B, C, or D.","A Plant turns into which colour with the presence of xanthophyll? A. Red B. Blue C. Yellow D. Orange Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0085,D,Biology,biology,0,0,1,A,C,D,"লাইসোজোমের কাজ কোনটি? A. আমিষ সংশ্লেষণ B. খাদ্য সঞ্চয় C. প্রবাহ পথের নির্দেশনা D. জীবাণু ধ্বংস Answer with only A, B, C, or D.","laisojomer kaj konoti? A. amish songshleshon B. khaddo sonchoy C. probah pother nirdeshona D. jibanu dhbongs Answer with only A, B, C, or D.","Which one is the function of Lysosome? A. Protein synthesis B. Store food C. Works as a flow medium D. Kill germs Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0091,C,Biology,biology,1,0,0,C,D,D,"সুগারবিট এর মূল এবং কাণ্ডের বৃদ্ধির জন্য কোন পুষ্টি উপাদান প্রয়োজন? A. বোরন B. আয়রন C. ক্লোরিন D. পটাশিয়াম Answer with only A, B, C, or D.","sugarobit er mul ebong kander briddhir jony kon pushti upadan proyojon? A. boron B. ayoron C. klorin D. potashiyam Answer with only A, B, C, or D.","Which is the necessary nutrient for the growth of root and stem of lsugar beet? A. Boron B. Iron C. Chlorine D. Potassium Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0100,C,Biology,biology,1,0,1,C,D,C,"অ্যাকটিন ও মায়োসিন প্রোটিন কোন অঙ্গাণুতে থাকে? A. সেন্ট্রোজোম B. রাইবোজোম C. কোষকঙ্কাল D. ক্লোরোপ্লাস্ট Answer with only A, B, C, or D.","akotin o mayosin protin kon ongganute thake? A. sentrojom B. raibojom C. koshokongkal D. kloroplast Answer with only A, B, C, or D.","Which organ contains Actine and Myocin? A. Centrosome B. Ribosome C. Cytoskeleton D. Chloroplast Answer with only A, B, C, or D."
