model,id,variant,dataset,task_type,answer_type,gold,before_correct,after_correct,change,before_parsed,after_parsed,before_seconds,after_seconds,before_source,after_source
Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0001,bangla,mgsm,math_word_problem,short_answer,18,False,False,same_wrong,জেনেটের হাঁসগুলি প্রতিদিন 16টি ডিম পাড়ে।,প্রতিদিন তিনি নিজের জন্য 3টি ডিম খান এবং বন্ধুদের জন্য 4টি ডিম দিয়ে মাফিন তৈরি �,4.8448,7.9193,results/runs/qwen3_4b_mgsm_bn50_v1/results/runs/qwen3_4b_mgsm_bn50_v1.jsonl,results/runs/qwen3_4b_mgsm_bn50_v1_128/results/runs/qwen3_4b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0001,banglish_clean,mgsm,math_word_problem,short_answer,18,False,False,same_wrong,2,2,0.2457,0.2472,results/runs/qwen3_4b_mgsm_bn50_v1/results/runs/qwen3_4b_mgsm_bn50_v1.jsonl,results/runs/qwen3_4b_mgsm_bn50_v1_128/results/runs/qwen3_4b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0001,english,mgsm,math_word_problem,short_answer,18,False,True,gain,Remaining eggs = 16 - 7 =,18,3.3034,4.8296,results/runs/qwen3_4b_mgsm_bn50_v1/results/runs/qwen3_4b_mgsm_bn50_v1.jsonl,results/runs/qwen3_4b_mgsm_bn50_v1_128/results/runs/qwen3_4b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0002,bangla,mgsm,math_word_problem,short_answer,3,False,True,gain,2 রিল নীল সুতো এবং তার অর্ধেক সাদা সুতো লাগে।,3,3.318,6.5402,results/runs/qwen3_4b_mgsm_bn50_v1/results/runs/qwen3_4b_mgsm_bn50_v1.jsonl,results/runs/qwen3_4b_mgsm_bn50_v1_128/results/runs/qwen3_4b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0002,banglish_clean,mgsm,math_word_problem,short_answer,3,False,False,same_wrong,"2 ril nil suto ebong tar ordhek sada suto lage, tar mot kotoguli ril lagobe 2.","2 ril nil suto ebong tar ordhek sada suto lage, tar mot kotoguli ril lagobe 2.",1.6041,1.6531,results/runs/qwen3_4b_mgsm_bn50_v1/results/runs/qwen3_4b_mgsm_bn50_v1.jsonl,results/runs/qwen3_4b_mgsm_bn50_v1_128/results/runs/qwen3_4b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0002,english,mgsm,math_word_problem,short_answer,3,True,True,same_correct,3,3,2.5226,2.6083,results/runs/qwen3_4b_mgsm_bn50_v1/results/runs/qwen3_4b_mgsm_bn50_v1.jsonl,results/runs/qwen3_4b_mgsm_bn50_v1_128/results/runs/qwen3_4b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0003,bangla,mgsm,math_word_problem,short_answer,70000,False,False,same_wrong,"জোশ $80,000 দিয়ে বাড়ি ক্রয় করেছেন এবং $50,000 দিয়ে মেরাম","তার মোট খরচ = $80,000 + $50,000 = $130,000",3.488,6.7584,results/runs/qwen3_4b_mgsm_bn50_v1/results/runs/qwen3_4b_mgsm_bn50_v1.jsonl,results/runs/qwen3_4b_mgsm_bn50_v1_128/results/runs/qwen3_4b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0003,banglish_clean,mgsm,math_word_problem,short_answer,70000,False,False,same_wrong,"First, calculate the initial investment:","Profit = Final value - Initial cost = $195,000",3.3174,6.5957,results/runs/qwen3_4b_mgsm_bn50_v1/results/runs/qwen3_4b_mgsm_bn50_v1.jsonl,results/runs/qwen3_4b_mgsm_bn50_v1_128/results/runs/qwen3_4b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0003,english,mgsm,math_word_problem,short_answer,70000,False,False,same_wrong,"Total cost = $80,000 + $50,000 = $130,000","150% increase = 1.5 × $80,000 = $120,000",3.3254,6.5898,results/runs/qwen3_4b_mgsm_bn50_v1/results/runs/qwen3_4b_mgsm_bn50_v1.jsonl,results/runs/qwen3_4b_mgsm_bn50_v1_128/results/runs/qwen3_4b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0004,bangla,mgsm,math_word_problem,short_answer,540,False,False,same_wrong,এক সপ্তাহে তিনি 3 বার দ,180,3.4218,5.9668,results/runs/qwen3_4b_mgsm_bn50_v1/results/runs/qwen3_4b_mgsm_bn50_v1.jsonl,results/runs/qwen3_4b_mgsm_bn50_v1_128/results/runs/qwen3_4b_mgsm_bn50_v1_128.jsonl
