model,model_id,dataset,task_type,id,domain,subject,grade,review_action,review_label,review_changed,char_edit_ratio,edit_bucket,bangla_correct,banglish_correct,english_correct,banglish_miss,recoverable_banglish_miss,bangla_any_recovery,english_any_recovery,both_alternate_recovery,all_script_hard
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0181,math,,six,replaced,minor_edit,True,0.005236,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0182,math,,six,replaced,minor_edit,True,0.005917,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0183,math,,six,replaced,minor_edit,True,0.016807,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0184,math,,six,replaced,minor_edit,True,0.012448,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0185,math,,six,replaced,minor_edit,True,0.004367,tiny_edit_le_0_5pct,True,False,False,True,True,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0186,math,,six,replaced,minor_edit,True,0.008621,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0187,math,,six,replaced,minor_edit,True,0.014085,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0188,math,,six,replaced,minor_edit,True,0.009009,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0189,math,,six,replaced,minor_edit,True,0.013986,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0226,math,,six,replaced,minor_edit,True,0.011494,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0227,math,,six,replaced,minor_edit,True,0.003367,tiny_edit_le_0_5pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0228,math,,six,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,True,True,True,False,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0229,math,,six,not_reviewed,unreviewed,False,0.0,no_applied_change,True,False,True,True,True,True,True,True,False
