model,prompt_mode,dataset,variant,id,correct,rewrite_chars,bengali_ratio,latin_ratio,empty_rewrite,source_option_count,rewrite_option_count,options_preserved,source_digit_count,rewrite_digit_count,digit_count_preserved,source_formulas,rewrite_formulas,formulas_preserved,rewrite_preview,source,line
Qwen/Qwen3-4B-Instruct-2507,banglish_self_translate_en,mgsm,banglish_clean,mgsm_bn_0001,False,272,0.0,0.7463,False,0,0,True,3,7,False,,,True,"The seller sells 16 units of product at a time. Initially, the seller sells these 16 units at a price of $2 per unit. After that, the seller sells the remaining units at a price higher than $2 per unit. How much higher t",results/runs/qwen3_4b_mgsm_bn50_selftranslate/results/runs/qwen3_4b_mgsm_bn50_selftranslate.jsonl,1
Qwen/Qwen3-4B-Instruct-2507,banglish_self_translate_en,mgsm,banglish_clean,mgsm_bn_0002,False,136,0.0,0.7721,False,0,0,True,1,1,True,,,True,"If you spend 2 hours on one task and the same amount of time on another task, how many hours will you spend in total on these two tasks?",results/runs/qwen3_4b_mgsm_bn50_selftranslate/results/runs/qwen3_4b_mgsm_bn50_selftranslate.jsonl,2
Qwen/Qwen3-4B-Instruct-2507,banglish_self_translate_en,mgsm,banglish_clean,mgsm_bn_0003,False,161,0.0,0.6708,False,0,0,True,13,13,True,,,True,"Josh is planning to buy a house. He will buy it for $80,000 and then sell it for $50,000. The profit from this transaction is 150%. How much profit will he make?",results/runs/qwen3_4b_mgsm_bn50_selftranslate/results/runs/qwen3_4b_mgsm_bn50_selftranslate.jsonl,3
Qwen/Qwen3-4B-Instruct-2507,banglish_self_translate_en,mgsm,banglish_clean,mgsm_bn_0004,False,123,0.0,0.7561,False,0,0,True,4,5,False,,,True,"Jemos one session 3 times 30 meters sprint each. In each sprint, 60 meters covered. How many meters covered in one session?",results/runs/qwen3_4b_mgsm_bn50_selftranslate/results/runs/qwen3_4b_mgsm_bn50_selftranslate.jsonl,4
Qwen/Qwen3-4B-Instruct-2507,banglish_self_translate_en,mgsm,banglish_clean,mgsm_bn_0005,False,281,0.0,0.7758,False,0,0,True,6,6,True,,,True,"In a village, the number of people who receive news through the medium of a messenger is distributed as follows: in the morning, 15 people receive news; in the afternoon, 25 people receive news. If there are 20 messenger",results/runs/qwen3_4b_mgsm_bn50_selftranslate/results/runs/qwen3_4b_mgsm_bn50_selftranslate.jsonl,5
Qwen/Qwen3-4B-Instruct-2507,banglish_self_translate_en,mgsm,banglish_clean,mgsm_bn_0006,False,189,0.0,0.7249,False,0,0,True,5,5,True,,,True,"The cost of a new apartment is not known, but the cost of each unit is $5, and the price per unit is 60% of the market rate. Kailar has 16 units. How much will it cost to build these units?",results/runs/qwen3_4b_mgsm_bn50_selftranslate/results/runs/qwen3_4b_mgsm_bn50_selftranslate.jsonl,6
Qwen/Qwen3-4B-Instruct-2507,banglish_self_translate_en,mgsm,banglish_clean,mgsm_bn_0007,False,193,0.0,0.7824,False,0,0,True,3,4,False,,,True,"Tuluj is 4 times farther than Charloston. Charloston is 4 times farther than Siyato. If Siyato is 20 times farther, then how many times farther is Tuluj, Charloston, and Siyato from each other?",results/runs/qwen3_4b_mgsm_bn50_selftranslate/results/runs/qwen3_4b_mgsm_bn50_selftranslate.jsonl,7
Qwen/Qwen3-4B-Instruct-2507,banglish_self_translate_en,mgsm,banglish_clean,mgsm_bn_0008,False,284,0.0,0.7711,False,0,0,True,8,8,True,GB,GB,True,"Karla downloaded a 200 GB file. Initially, it was downloaded at a speed of 2 GB/min, but after 40% of the download was completed, the Windows system automatically restarted, and the download started again after 20 minute",results/runs/qwen3_4b_mgsm_bn50_selftranslate/results/runs/qwen3_4b_mgsm_bn50_selftranslate.jsonl,8
Qwen/Qwen3-4B-Instruct-2507,banglish_self_translate_en,mgsm,banglish_clean,mgsm_bn_0009,False,291,0.0,0.7732,False,0,0,True,11,4,False,,,True,"Sixty miles per hour, for three hours, the driver was driving. After that, he forgot some important things and then started driving at a speed of 30 miles per hour for one hour, and then at 80 miles per hour for four hou",results/runs/qwen3_4b_mgsm_bn50_selftranslate/results/runs/qwen3_4b_mgsm_bn50_selftranslate.jsonl,9
Qwen/Qwen3-4B-Instruct-2507,banglish_self_translate_en,mgsm,banglish_clean,mgsm_bn_0010,False,203,0.0,0.7192,False,0,0,True,8,8,True,,,True,"Previously, for the first 40 hours of work, he was paid $10 per hour. For the remaining time, he was paid 1.2 times the original rate. If he works 45 hours in total, how much will he earn in that period?",results/runs/qwen3_4b_mgsm_bn50_selftranslate/results/runs/qwen3_4b_mgsm_bn50_selftranslate.jsonl,10
