section,key,model,dataset,n,bangla_correct,banglish_correct,english_correct,banglish_minus_bangla_correct,banglish_minus_bangla_points,banglish_wrong_other_correct,strict_bangla_english_correct_banglish_wrong,all_wrong,all_correct,detail
item_review_label_count,unreviewed,,,60,,,,,,,,,,
item_review_label_count,minor_edit,,,126,,,,,,,,,,
item_review_label_count,major_edit,,,11,,,,,,,,,,
item_review_label_count,bad,,,3,,,,,,,,,,
dataset_review_label_count,unreviewed,,banglamath,9,,,,,,,,,,
dataset_review_label_count,minor_edit,,banglamath,38,,,,,,,,,,
dataset_review_label_count,major_edit,,banglamath,9,,,,,,,,,,
dataset_review_label_count,bad,,banglamath,0,,,,,,,,,,
dataset_review_label_count,unreviewed,,benqa,51,,,,,,,,,,
dataset_review_label_count,minor_edit,,benqa,88,,,,,,,,,,
dataset_review_label_count,major_edit,,benqa,2,,,,,,,,,,
dataset_review_label_count,bad,,benqa,3,,,,,,,,,,
analysis_bucket,all,Qwen2.5-3B,,200,54,41,71,-13,-6.5,58,15,101,18,all 200 frozen-v5 items
analysis_bucket,unreviewed,Qwen2.5-3B,,60,16,13,24,-3,-5.0,21,3,26,7,not selected for v5 review
analysis_bucket,reviewed_nonbad,Qwen2.5-3B,,137,37,26,47,-11,-8.0,37,12,74,11,reviewed rows excluding the three bad rows
analysis_bucket,reviewed_all,Qwen2.5-3B,,140,38,28,47,-10,-7.1,37,12,75,11,all rows selected for v5 review
analysis_bucket,strict197_nonbad,Qwen2.5-3B,,197,53,39,71,-14,-7.1,58,15,100,18,all rows except bad
review_label,unreviewed,Qwen2.5-3B,,60,16,13,24,-3,-5.0,21,3,26,7,review_label=unreviewed
review_label,minor_edit,Qwen2.5-3B,,126,35,25,45,-10,-7.9,36,11,65,10,review_label=minor_edit
review_label,major_edit,Qwen2.5-3B,,11,2,1,2,-1,-9.1,1,1,9,1,review_label=major_edit
review_label,bad,Qwen2.5-3B,,3,1,2,0,1,33.3,0,0,1,0,review_label=bad
analysis_bucket,all,Qwen2.5-7B 8-bit,,200,65,47,94,-18,-9.0,68,29,85,23,all 200 frozen-v5 items
analysis_bucket,unreviewed,Qwen2.5-7B 8-bit,,60,24,14,34,-10,-16.7,28,9,18,8,not selected for v5 review
analysis_bucket,reviewed_nonbad,Qwen2.5-7B 8-bit,,137,41,32,59,-9,-6.6,40,20,65,15,reviewed rows excluding the three bad rows
analysis_bucket,reviewed_all,Qwen2.5-7B 8-bit,,140,41,33,60,-8,-5.7,40,20,67,15,all rows selected for v5 review
analysis_bucket,strict197_nonbad,Qwen2.5-7B 8-bit,,197,65,46,93,-19,-9.6,68,29,83,23,all rows except bad
review_label,unreviewed,Qwen2.5-7B 8-bit,,60,24,14,34,-10,-16.7,28,9,18,8,review_label=unreviewed
review_label,minor_edit,Qwen2.5-7B 8-bit,,126,40,31,57,-9,-7.1,39,20,56,14,review_label=minor_edit
review_label,major_edit,Qwen2.5-7B 8-bit,,11,1,1,2,0,0.0,1,0,9,1,review_label=major_edit
review_label,bad,Qwen2.5-7B 8-bit,,3,0,1,1,1,33.3,0,0,2,0,review_label=bad
analysis_bucket,all,Qwen3-4B,,200,80,49,88,-31,-15.5,59,32,92,33,all 200 frozen-v5 items
analysis_bucket,unreviewed,Qwen3-4B,,60,27,14,33,-13,-21.7,25,11,21,12,not selected for v5 review
analysis_bucket,reviewed_nonbad,Qwen3-4B,,137,52,34,54,-18,-13.1,34,21,69,20,reviewed rows excluding the three bad rows
analysis_bucket,reviewed_all,Qwen3-4B,,140,53,35,55,-18,-12.9,34,21,71,21,all rows selected for v5 review
analysis_bucket,strict197_nonbad,Qwen3-4B,,197,79,48,87,-31,-15.7,59,32,90,32,all rows except bad
review_label,unreviewed,Qwen3-4B,,60,27,14,33,-13,-21.7,25,11,21,12,review_label=unreviewed
review_label,minor_edit,Qwen3-4B,,126,52,34,53,-18,-14.3,33,21,59,20,review_label=minor_edit
review_label,major_edit,Qwen3-4B,,11,0,0,1,0,0.0,1,0,10,0,review_label=major_edit
review_label,bad,Qwen3-4B,,3,1,1,1,0,0.0,0,0,2,1,review_label=bad
