model,id,subject,gold,bangla_option,bangla_correct,banglish_option,banglish_correct,english_option,english_correct,banglish_D,banglish_wrong_D,gold_not_D,D_not_longest,D_no_semantic_cue,D_not_highest_coverage,all_options_same_coverage,D_char_len,D_token_len,D_coverage,longest_options,highest_coverage_options,D_text,residual_primary,residual_tied_coverage,residual_not_highest_coverage,bangla_baseline_correct_non_D,bangla_correct_non_D_to_wrong_D,bangla_baseline_option,english_baseline_correct_non_D,english_correct_non_D_to_wrong_D,english_baseline_option
Qwen2.5-3B,benqa_10th-Biology_0057,Biology,C,C,True,D,False,D,False,True,True,True,False,False,True,False,11,4,0.5,D,A,"i, ii o iii",False,False,False,True,True,C,False,False,D
Qwen2.5-3B,benqa_10th-Biology_0090,Biology,C,B,False,A,False,D,False,False,False,True,True,True,True,False,3,1,0.0,C,A,akh,True,False,True,False,False,B,False,False,D
Qwen2.5-3B,benqa_10th-Biology_0128,Biology,A,A,True,C,False,A,True,False,False,True,True,True,False,True,13,2,0.0,C,A;B;C;D,glisarik esid,True,True,False,True,False,A,True,False,A
Qwen2.5-3B,benqa_10th-Biology_0143,Biology,C,A,False,B,False,A,False,False,False,True,True,True,False,True,15,2,0.0,C,A;B;C;D,uchch roktochap,True,True,False,False,False,A,False,False,A
Qwen2.5-3B,benqa_10th-Biology_0149,Biology,B,B,True,A,False,C,False,False,False,True,False,True,False,True,10,1,0.0,D,A;B;C;D,songgikosh,False,False,False,True,False,B,False,False,C
Qwen2.5-3B,benqa_10th-Biology_0156,Biology,C,B,False,B,False,B,False,False,False,True,False,False,False,True,2,1,0.0,A;B;C;D,A;B;C;D,18,False,False,False,False,False,B,False,False,B
Qwen2.5-3B,benqa_10th-Biology_0188,Biology,A,B,False,B,False,B,False,False,False,True,False,False,False,True,1,1,0.0,A;B;C;D,A;B;C;D,5,False,False,False,False,False,B,False,False,B
Qwen2.5-3B,benqa_10th-Biology_0197,Biology,D,D,True,A,False,A,False,False,False,False,False,True,False,True,13,1,0.0,D,A;B;C;D,maitokondriya,False,False,False,False,False,D,False,False,A
Qwen2.5-3B,benqa_10th-Biology_0213,Biology,A,A,True,D,False,D,False,True,True,True,True,True,False,True,10,2,0.0,A,A;B;C;D,osthi kosh,True,True,False,True,True,A,False,False,D
Qwen2.5-3B,benqa_10th-Biology_0215,Biology,B,D,False,D,False,B,True,True,True,True,False,False,True,False,11,4,0.5,D,A,"i, ii o iii",False,False,False,False,False,D,True,True,B
Qwen2.5-3B,benqa_10th-Biology_0277,Biology,C,B,False,D,False,D,False,True,True,True,False,False,True,False,11,4,0.5,D,A,"i, ii o iii",False,False,False,False,False,B,False,False,D
Qwen2.5-3B,benqa_10th-Biology_0339,Biology,D,B,False,A,False,D,True,False,False,False,False,True,True,False,11,1,0.0,D,A,kochuripana,False,False,False,False,False,B,False,False,D
