check,status,detail
exists:data/slices/openai_gpt55_diagnostic_60_v5.jsonl,ok,present
exists:data/api_audit/openai_gpt55_diagnostic_60_v5_requests.jsonl,ok,present
exists:results/analysis/openai_gpt55_diagnostic_60_v5_prompt_budget_summary.csv,ok,present
item_count,ok,items=60 expected=60
request_count,ok,requests=180 expected=180
request_id_unique,ok,duplicates=0
request_id_format,ok,all id::variant::prompt_mode
request_item_ids,ok,all in input slice
variants_per_item,ok,"all items have bangla,banglish_clean,english"
variant_counts,ok,"bangla=60,banglish_clean=60,english=60"
required_fields,ok,all present
gold_excluded,ok,no answer/gold/source fields in request rows
prompt_contract,ok,all prompts include evaluation prefix and answer instruction
max_output_tokens,ok,0 < max_output_tokens <= 256
prompt_chars_total,ok,chars=37612
approx_prompt_tokens_total,ok,approx_tokens=9469
budget_call_count,ok,budget_calls=180 requests=180
budget_token_sum,ok,budget_tokens=9469 request_tokens=9469
