queue_index,id,decision,reviewed_banglish,notes,subject,answer,quality_status,warnings
1,benqa_ext_12th-Biology-II_0261,,"bornandhotay akrant konyar bab-ma holo-
A. sbabhabik ma o bornandh baba
B. bahok ma o sbabhabik baba
C. bahok ma o sbabhabik baba
D. bornandh ma o sbabhabik baba
Answer with only A, B, C, or D.",,Biology-II,C,ai_assisted_review_warn_v1,bangla_duplicate_option_text;banglish_duplicate_option_text;english_duplicate_option_text
2,benqa_ext_10th-Math-II_0230,,"A(1, 1), B(2, 2) ebong C(0, 5) ekoti tribhujer tinoti shirshobindu. ABC tribhujer kshetrofol kot?
A. 17 square units
B. 8.5 units
C. 17 square units
D. 2.5 square units
Answer with only A, B, C, or D.",,Math-II,D,ai_assisted_review_warn_v1,bangla_duplicate_option_text;banglish_duplicate_option_text;english_duplicate_option_text
3,benqa_ext_10th-Biology_0281,,"E udbhidoh CO_{2} bijarone 1m sthayi podarth fosofoglisarik esid F udbhidoh CO_{2} bijarone 1m sthayi podarth oksalo esitik esid E udbhid holo- i. palong shak ii. bhutta iii. alu nicher konoti sothik?
A. i o ii
B. i o iii
C. ii o iii
D. i, ii o iii
Answer with only A, B, C, or D.",,Biology,B,ai_assisted_review_warn_v1,bangla_english_digit_mismatch;bangla_banglish_formulaish_token_mismatch
4,benqa_ext_12th-Biology-I_0207,,"kosh chokrer biram-1 (G-1) doshar byoyit somoy-
A. 10-20%
B. 30-40%
C. 30-50%
D. 90-95%
Answer with only A, B, C, or D.",,Biology-I,B,ai_assisted_review_warn_v1,bangla_english_digit_mismatch;bangla_banglish_formulaish_token_mismatch
5,benqa_ext_12th-Biology-II_0144,,"dwadosh shrenir chhatr kobirer uchchota 1.75 mitar ebong ojon 87 keji. uddipoke onusore kobirer sbasthyogot shreni-
A. 1m shrenir sthulota
B. otirikt ojon
C. 2y sheronir sthulota
D. sbabhabik
Answer with only A, B, C, or D.",,Biology-II,B,ai_assisted_review_warn_v1,bangla_english_digit_mismatch;bangla_banglish_formulaish_token_mismatch
6,benqa_ext_12th-Biology-II_0222,,"dwadosh shrenir chhatr joner uchchota 1.65 mitar ebong ojon 78 keji hole se sthulotar kon poryaye achhe?
A. otirikt ojon
B. 1m shrenir sthulota
C. 2y shrenir stholota
D. 3y shrenir stholota
Answer with only A, B, C, or D.",,Biology-II,A,ai_assisted_review_warn_v1,bangla_english_digit_mismatch;bangla_banglish_formulaish_token_mismatch
7,benqa_ext_12th-Chemistry-I_0212,,"H-poromanur 4rth kokshopother byasardh 7.5\times 10^{-10}m hole, oi kokshe ilekotronotir gotibeg kot? [ilekotroner tor = 9.1\times 10^{-31}Kg]
A. 4.5982\times 10^{5}ms^{-1}
B. 5.9482\times 10^{5}ms^{-1}
C. 6.1805\times 10^{5}ms^{-1}
D. 7.4805\times 10^{5}ms^{-1}
Answer with only A, B, C, or D.",,Chemistry-I,C,ai_assisted_review_warn_v1,bangla_english_digit_mismatch;bangla_banglish_formulaish_token_mismatch
8,benqa_ext_12th-Chemistry-II_0005,,"1.8 kg panite kotogulo haidrojen poromanu bidyoman?
A. 6.023 \times 10^{23} ti
B. 12.046 \times 10^{23} ti
C. 6.023 \times 10^{25} ti
D. 12.046 \times 10^{25} ti
Answer with only A, B, C, or D.",,Chemistry-II,D,ai_assisted_review_warn_v1,english_duplicate_option_text;bangla_english_digit_mismatch
9,benqa_ext_12th-Chemistry-II_0183,,"konoti sothik?
A. E^o_ {kosh} = E^o_{anod (jaron)} + E^o_{kyathod (jaron)}
B. E^o_ {kosh} = E^o_{anod (jaron)} - E^o_{kyathod (bijaron)}
C. E^o_ {kosh} = E^o_{anod (jaron)} + E^o_{kyathod (bijaron)}
D. E^o_ {kosh} = E^o_{anod (jaron)} - E^o_{kyathod (bijaron)}
Answer with only A, B, C, or D.",,Chemistry-II,C,ai_assisted_review_warn_v1,bangla_duplicate_option_text;banglish_duplicate_option_text
10,benqa_ext_12th-Chemistry-II_0244,,"NaOH er 2.5% droboner ghonomatra ppm ekoke kot?
A. 2.5 \times 10^{2}
B. 2.5 \times 10^{3}
C. 2.5 \times 10^{4}
D. 2.5 \times 10^{5}
Answer with only A, B, C, or D.",,Chemistry-II,C,ai_assisted_review_warn_v1,english_duplicate_option_text;bangla_english_digit_mismatch
11,benqa_ext_10th-Math-II_0239,,"(x - \frac{1}{x})^{6} er bistritite- i. podosongkhya 7 ii. 3y pod 15x^{2} iii. x mukt pod 200 nicher konoti sothik?
A. i o ii
B. i o iii
C. ii o iii
D. i, ii o iii
Answer with only A, B, C, or D.",,Math-II,A,ai_assisted_review_warn_v1,bangla_english_digit_mismatch;bangla_banglish_formulaish_token_mismatch
12,benqa_ext_12th-Math-II_0269,,"20 m/s bege o 4 m/s^{2} somotborone choloman bostukonar 5-tom sekende otikrant durotto-
A. 36 m
B. 38 m
C. 42 m
D. 150 m
Answer with only A, B, C, or D.",,Math-II,B,ai_assisted_review_warn_v1,bangla_english_digit_mismatch;bangla_banglish_formulaish_token_mismatch
13,benqa_ext_12th-Physics-II_0241,,"iyong er dwichir porikshay chirodboyer modhyoborti durotto 0.4 mm chirotike 6000 \AA toronggodoirghyer alo dwara alokit korole porday kendriy ujjbol hote 18 mm dure sorboshesh ujjbol dora paoya jay. chitr hote pordar durotto 1 m. dwitiy ujjbol dora hote 4rth ondhokar kendrer modhyoborti durotto kot?
A. 1.25 mm
B. 2.25 mm
C. 4.5 mm
D. 5.5 mm
Answer with only A, B, C, or D.",,Physics-II,B,ai_assisted_review_warn_v1,bangla_english_digit_mismatch;bangla_banglish_formulaish_token_mismatch
14,benqa_ext_8th-Science_0088,,"prithibir kon onchole obhikorshoj tboroner man9.78 mitar/sekend^{2} ?
A. meru onchole
B. bishubiy onchole
C. krastiy onchole
D. prithibir prishthe
Answer with only A, B, C, or D.",,Science,B,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch;suspicious_romanization_pattern:\btb[a-z]+
