model,id,gold,bangla_option,english_option,banglish_option,bangla_correct,english_correct,banglish_correct,be_both_valid,all_valid,be_agree,be_agreement_option,be_agree_non_d,be_agree_d,be_correct_agree,be_correct_agree_non_d,be_correct_agree_d,banglish_same_as_agreement,banglish_switches_from_agreement,banglish_D,banglish_wrong_D,banglish_correct_on_agreement
Qwen2.5-3B,benqa_10th-Biology_0057,C,C,D,D,True,False,False,True,True,False,none,False,False,False,False,False,False,False,True,True,False
Qwen2.5-3B,benqa_10th-Biology_0090,C,B,D,A,False,False,False,True,True,False,none,False,False,False,False,False,False,False,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0128,A,A,A,C,True,True,False,True,True,True,A,True,False,True,True,False,False,True,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0143,C,A,A,B,False,False,False,True,True,True,A,True,False,False,False,False,False,True,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0149,B,B,C,A,True,False,False,True,True,False,none,False,False,False,False,False,False,False,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0156,C,B,B,B,False,False,False,True,True,True,B,True,False,False,False,False,True,False,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0188,A,B,B,B,False,False,False,True,True,True,B,True,False,False,False,False,True,False,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0197,D,D,A,A,True,False,False,True,True,False,none,False,False,False,False,False,False,False,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0213,A,A,D,D,True,False,False,True,True,False,none,False,False,False,False,False,False,False,True,True,False
Qwen2.5-3B,benqa_10th-Biology_0215,B,D,B,D,False,True,False,True,True,False,none,False,False,False,False,False,False,False,True,True,False
Qwen2.5-3B,benqa_10th-Biology_0277,C,B,D,D,False,False,False,True,True,False,none,False,False,False,False,False,False,False,True,True,False
Qwen2.5-3B,benqa_10th-Biology_0339,D,B,D,A,False,True,False,True,True,False,none,False,False,False,False,False,False,False,False,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0041,D,A,D,D,False,True,True,True,True,False,none,False,False,False,False,False,False,False,True,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0110,C,D,C,A,False,True,False,True,True,False,none,False,False,False,False,False,False,False,False,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0111,D,B,C,B,False,False,False,True,True,False,none,False,False,False,False,False,False,False,False,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0132,A,C,A,B,False,True,False,True,True,False,none,False,False,False,False,False,False,False,False,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0191,A,D,D,D,False,False,False,True,True,True,D,False,True,False,False,False,True,False,True,True,False
Qwen2.5-3B,benqa_10th-Chemistry_0194,D,A,D,C,False,True,False,True,True,False,none,False,False,False,False,False,False,False,False,False,False
