citation_key,name,group,paper_path,text_path,bib_key_present,citation_map_present,paper_exists,text_exists,status
shafayat-etal-2024-benqa,BEnQA,Core QA/math benchmark,literature/papers/benqa_2024_findings_acl.pdf,literature/text/benqa_2024_findings_acl.txt,True,True,True,True,ok
banglamath2025,BanglaMATH,Core QA/math benchmark,literature/papers/banglamath_2510.12836.pdf,literature/text/banglamath_2510.12836.txt,True,True,True,True,ok
mgsm2022,MGSM,Core QA/math benchmark,literature/papers/mgsm_multilingual_cot_2210.03057.pdf,literature/text/mgsm_multilingual_cot_2210.03057.txt,True,True,True,True,ok
gsm8k2021,GSM8K,Core QA/math benchmark,literature/papers/gsm8k_2110.14168.pdf,literature/text/gsm8k_2110.14168.txt,True,True,True,True,ok
banglaquad2024,BanglaQuAD,Bengali benchmark landscape,literature/papers/banglaquad_2410.10229.pdf,literature/text/banglaquad_2410.10229.txt,True,True,True,True,ok
bnmmlu2025,BnMMLU,Bengali benchmark landscape,literature/papers/bnmmlu_2505.18951.pdf,literature/text/bnmmlu_2505.18951.txt,True,True,True,True,ok
bluck2025,BLUCK,Bengali benchmark landscape,literature/papers/bluck_2505.21092.pdf,literature/text/bluck_2505.21092.txt,True,True,True,True,ok
nctbqa2026,NCTB-QA,Bengali benchmark landscape,literature/papers/nctb_qa_2603.05462.pdf,literature/text/nctb_qa_2603.05462.txt,True,True,True,True,ok
bnli2025,BNLI,Bengali benchmark landscape,literature/papers/bnli_2511.08813.pdf,literature/text/bnli_2511.08813.txt,True,True,True,True,ok
banglasocialbench2026,BanglaSocialBench,Bengali benchmark landscape,literature/papers/bangla_social_bench_2603.15949.pdf,literature/text/bangla_social_bench_2603.15949.txt,True,True,True,True,ok
banglaverse2026,BanglaVerse,Bengali benchmark landscape,literature/papers/banglaverse_2603.21165.pdf,literature/text/banglaverse_2603.21165.txt,True,True,True,True,ok
bengaliloop2026,Bengali-Loop,Bengali benchmark landscape,literature/papers/bengali_loop_2602.14291.pdf,literature/text/bengali_loop_2602.14291.txt,True,True,True,True,ok
banglaguard2026,BanglaGuard,Bengali benchmark landscape,literature/papers/banglaguard_openreview_KTsGJzaEPg.pdf,literature/text/banglaguard_openreview_KTsGJzaEPg.txt,True,True,True,True,ok
