model,id,gold,gold_numeric_values,bangla_correct,banglish_correct,english_correct,bangla_raw_full_numeric_signature,banglish_raw_full_numeric_signature,english_raw_full_numeric_signature,bangla_parsed_full_numeric_signature,banglish_parsed_full_numeric_signature,english_parsed_full_numeric_signature,alt_raw_signature_any,alt_raw_signature_both,alt_correct_any,banglish_retains_alt_raw_signature,banglish_drops_alt_raw_signature,banglish_correct_given_alt_raw_signature,banglish_wrong_without_raw_number_given_alt_raw_signature,banglish_meta_given_alt_raw_signature,banglish_raw_has_any_number,banglish_wrong_without_raw_number,banglish_meta_uncertainty,bangla_raw_numeric_values,banglish_raw_numeric_values,english_raw_numeric_values,banglish_raw_excerpt
Qwen2.5-3B,banglamath_0181,সময় কমে যায়,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,thakle lok songkhya barale somoy koyom
Qwen2.5-3B,banglamath_0182,৬০০ টাকা,600,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,840,15;280;4200,900,280 * 15 = 4200
Qwen2.5-3B,banglamath_0183,৩০ দিন,30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10,10,75,The khadde (house) will last for 10 days.
Qwen2.5-3B,banglamath_0184,১২০০০ টাকা,12000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1200,0.05;450;600;9000,4500,"To find out how much protidin should be bought to gain a profit of 600 taka, we need to first understand the cost and profit relationship given in the problem. Given: - Cost of..."
Qwen2.5-3B,banglamath_0185,২০০ কেজি,200,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,200,20,384,20 keji chale
Qwen2.5-3B,banglamath_0186,২২ ১/২ দিন,0.5;22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,45,45,45,45 din
Qwen2.5-3B,banglamath_0187,১৪০ জন,140,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,180,0.25;0.75;18;25;75,72,"The work of 25 people took 18 days to complete 75% of the job, and it will take an additional 18 days for the remaining 25% of the job."
Qwen2.5-3B,banglamath_0188,১৫ ঘণ্টা,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.8,14,4.8,14
Qwen2.5-3B,banglamath_0189,৬ জন পুরুষ,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,18,2;9,4,"2 purush, 9 balok"
Qwen2.5-3B,banglamath_0226,২৫০ টাকা,250,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,330,325,330
Qwen2.5-3B,banglamath_0227,৭.৫ কিমি,7.5,False,False,False,True,False,True,True,False,True,True,True,False,False,True,False,False,False,True,False,False,7.5,10,7.5,10
Qwen2.5-3B,banglamath_0228,২/৫,0.4,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,0.4;40,0.4;40,0.4,40% of the population reads or writes
Qwen2.5-3B,banglamath_0229,1.5,1.5,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,False,False,True,False,False,1.5,0.5;50,1.5,50%
Qwen2.5-3B,banglamath_0230,20%,0.2;20,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,False,False,True,False,False,0.2;20,100,0.2;20,100 taka
Qwen2.5-3B,banglamath_0231,২০ টাকা,20,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,True,False,False,12,0.12;12,20,12%
Qwen2.5-3B,banglamath_0232,২০০ টাকা,200,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,350,105,246.67,105
Qwen2.5-3B,banglamath_0233,৭ দিন,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,21,4,14,4 dine
Qwen2.5-3B,banglamath_0234,৬ দিন,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,5,35,5,35 dine
Qwen2.5-3B,banglamath_0236,১২ টাকা,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,30,80,6,80 taka
Qwen2.5-3B,banglamath_0237,৬৪ টাকা,64,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,768,1;16;48,3,"1 dojon dimer dam 48 taka, hole 16ti dimer dam koto"
Qwen2.5-3B,banglamath_0518,১৫০ মিটার,150,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,80,400,200,400
Qwen2.5-3B,banglamath_0519,৭৫০০ বর্গমিটার,2;7500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7500,300,7500,300
Qwen2.5-3B,banglamath_0521,৭০ মিটার,70,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,70,5,80,5 mitar
Qwen2.5-3B,banglamath_0522,১৭৬ বর্গমিটার,2;176,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,19.71,2,,jomir khetrofol koto 2 mitar chowra rasta thakle rastabade jomir bhitore
Qwen2.5-3B,banglamath_0526,৩০ বর্গ মিটার,2;30,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,False,False,True,False,False,2;30,3,2;30,3
Qwen2.5-3B,banglamath_0531,৫ মেট্রিক টন ৫০৭ কেজি ৭০০ গ্রাম,5;507;700,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,550700,2800,55700,2800 grams
Qwen2.5-3B,banglamath_0532,১ মেট্রিক টন ৭৫০ কেজি,1;750,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,23.125,4.5,1.25,4.5
Qwen2.5-3B,banglamath_0533,৬৬৬ মেট্রিক টন ৬৬৬ কেজি ৬৬৬ গ্রাম (প্রায়),666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,55.56,20000,6666.67,20000
Qwen2.5-3B,banglamath_0538,৩৮৪ বর্গ মিটার,2;384,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,480,142,2;1104,142
Qwen2.5-3B,banglamath_0539,১৪৭ বর্গমিটার,2;147,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2;250,427.5,147,427.50 taka
Qwen2.5-3B,banglamath_0540,২১ মিটার,21,False,False,False,True,False,True,True,False,True,True,True,False,False,True,False,False,False,True,False,False,21,147,21,147
Qwen2.5-3B,banglamath_0541,৪৪৪ বর্গমিটার,2;444,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,450,20,474,20
Qwen2.5-3B,banglamath_0542,৩৪০০ টাকা,3400,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4400,10,4600,10
Qwen2.5-3B,banglamath_0549,৪৫০ বর্গমিটার,2;450,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2;387.5,35,645,35
Qwen2.5-3B,banglamath_0550,২২৫৬.২৫ বর্গমিটার,2;2256.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2;24025,,840.625,bishisht borgakar
Qwen2.5-3B,banglamath_0552,৪৫০০ বর্গগজ,4500,True,False,False,True,False,True,True,False,True,True,True,True,False,True,False,False,False,True,False,False,4500,30,4500,30 goj
Qwen2.5-3B,banglamath_0553,১১২৫টি,1125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4575,4055,2250,The final answer is 4055 Borgogos.
Qwen2.5-3B,banglamath_0557,৯৩০ টাকা,930,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,9900,-31.5;88.5;120,1125,120-31.5 = 88.5
Qwen2.5-3B,banglamath_0558,২০ মিটার,20,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,30,3,20,3
Qwen2.5-3B,banglamath_0559,১৬০০ বর্গমিটার,2;1600,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2;400,160,2;6400,160
Qwen2.5-3B,banglamath_1684,"১২, ১২, ৩ বছর",3;12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,25,27,9;10,27
Qwen2.5-3B,banglamath_1685,দুইজনের বয়স সমান,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,,,jiboner naki julir krom
Qwen2.5-3B,banglamath_1686,প্রতেকে পাবে ৫/৬ আপেল।অর্থাৎ ১টি আপেলের অর্ধেক +১টি আপেলের ১/৩ ভাগ।,0.3333333333333333333333333333;0.8333333333333333333333333333;1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1.6667;1.67;3;5;6,3;5;6,0.8333333333333333333333333333;2;3;5;6;15,"The given statement appears to be in Bengali and seems to be discussing a medical context, possibly related to a doctor's consultation or treatment plan. However, the provided t..."
Qwen2.5-3B,banglamath_1687,"কাঠালের ওজন ৩ কিলোগ্রাম , তরমুজের ওজন ৪ কিলোগ্রাম",3;4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4,1,8,1 kilogram
Qwen2.5-3B,banglamath_1688,"বাবুর্চী কাটে ৭০ মিনিটে ২১০টি পেঁয়াজ, সহকারী কাটে ১৯০টি পেঁয়াজ ৯৫ মিনিটে",70;95;190;210,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,80;240,150,5;37;125;275,150
Qwen2.5-3B,banglamath_1690,"সেন্টুর ছিল ১০টি, মিন্টুর ছিল ১৪টি খেলনা গাড়ি",10;14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,,6;8,shurute kar koyoti gari chhil ekhon mintur dwigun.
Qwen2.5-3B,banglamath_1691,প্রথমে ৩ লিটারের পাত্রে ৩ লিটার দুধ নিয়ে তা ৫ লিটারের পাত্রে ঢালতে হবে। এবারও একইভাবে আবারও ৩ লিটার দুধ নিয়ে ৫ লিটারের পাত্রে আছে আরো ঢালতে হবে যতক্ষণ না ৫ লিটারের পাত্রটি পূর্ণ হয়। পাত্রটি পূর্ণ হওয়ার পর যে অবশিষ্ট দুধ ৩ লিটারের পাত্রে থেকে যাবে তার পরিমাণ ১ লিটার।,1;3;5,False,False,False,True,False,True,True,False,False,True,True,False,False,True,False,False,False,True,False,False,1;3;5,0.25;25,1;2;3;4;5;6,25%
Qwen2.5-3B,banglamath_1692,"১জন পুরুষ, ৫ জন মহিলা এবং ১৪ জন শিশু",1;5;14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10,5;10;20,4;6;10,20 10 5
Qwen2.5-3B,banglamath_1693,24,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,28,10,56,10
Qwen2.5-3B,banglamath_1694,১ মিনিট,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10,20,300,20
Qwen2.5-3B,banglamath_1695,"নারিকেল গাছ 60টি, আম গাছ ৪৫টি, বট গাছ ৩৬টি, ফুলের গাছ ৩৯টি",36;39;45;60,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,45,0.75,0.2;0.25;0.3333333333333333333333333333;1;3;39,3/4
Qwen2.5-3B,banglamath_1696,০.১৮ লিটার অথবা ১.৮ লিটার,0.18;1.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,500,5,200,5 grams
Qwen2.5-3B,banglamath_1697,70,70,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,35,50,40,50
Qwen2.5-3B,banglamath_1698,১৩ টা,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,6,12,9,12
Qwen2.5-3B,banglamath_1699,132,132,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,58,26,156,26
Qwen2.5-3B,banglamath_1703,৩৬টি,36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,60,16,72,16
Qwen2.5-7B 8-bit,banglamath_0181,সময় কমে যায়,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,kintu ei poribortto ekti lok songkhya na thakle somoy ki hoy
Qwen2.5-7B 8-bit,banglamath_0182,৬০০ টাকা,600,True,False,False,True,False,True,True,False,True,True,True,True,False,True,False,False,False,True,False,False,600,400,600,400
Qwen2.5-7B 8-bit,banglamath_0183,৩০ দিন,30,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,18,21,30,21
Qwen2.5-7B 8-bit,banglamath_0184,১২০০০ টাকা,12000,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,True,False,False,8000,100,12000,100
Qwen2.5-7B 8-bit,banglamath_0185,২০০ কেজি,200,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,160,30,72,30
Qwen2.5-7B 8-bit,banglamath_0186,২২ ১/২ দিন,0.5;22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,22.5,25,45,25
Qwen2.5-7B 8-bit,banglamath_0187,১৪০ জন,140,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,120,240,40,240
Qwen2.5-7B 8-bit,banglamath_0188,১৫ ঘণ্টা,15,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,12,15,12,15
Qwen2.5-7B 8-bit,banglamath_0189,৬ জন পুরুষ,6,False,False,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False,6,6,6,6
Qwen2.5-7B 8-bit,banglamath_0226,২৫০ টাকা,250,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,250,300,275,300
Qwen2.5-7B 8-bit,banglamath_0227,৭.৫ কিমি,7.5,False,False,False,True,False,True,True,False,True,True,True,False,False,True,False,False,False,True,False,False,7.5,7,7.5,7
