section,model,variant,variant_label,subject,n,correct,invalid,valid_n,pred_A,pred_B,pred_C,pred_D,gold_A,gold_B,gold_C,gold_D,majority_option,majority_share,d_share,gold_d_share,option_entropy,tvd_pred_vs_gold,majority_d
subject_variant,Qwen2.5-3B,bangla,Bangla,Biology,12,5,0,12,3,6,1,2,3,2,5,2,B,0.5,0.1667,0.1667,0.8648,0.3333,False
subject_variant,Qwen2.5-3B,bangla,Bangla,Biology-I,11,3,0,11,2,5,0,4,4,2,3,2,B,0.4545,0.3636,0.1818,0.7475,0.4545,False
subject_variant,Qwen2.5-3B,bangla,Bangla,Biology-II,11,3,0,11,4,1,1,5,3,4,3,1,D,0.4545,0.4545,0.0909,0.8384,0.4545,False
subject_variant,Qwen2.5-3B,bangla,Bangla,Chemistry,11,3,0,11,2,4,1,4,3,2,1,5,B,0.3636,0.3636,0.4545,0.9115,0.1818,False
subject_variant,Qwen2.5-3B,bangla,Bangla,Chemistry-I,11,4,0,11,1,5,2,3,1,3,2,5,B,0.4545,0.2727,0.4545,0.895,0.1818,False
subject_variant,Qwen2.5-3B,bangla,Bangla,Chemistry-II,11,2,0,11,1,3,1,6,3,2,5,1,D,0.5455,0.5455,0.0909,0.8086,0.5455,True
subject_variant,Qwen2.5-3B,bangla,Bangla,Math,11,5,0,11,0,6,3,2,1,3,4,3,B,0.5455,0.1818,0.2727,0.7177,0.2727,False
subject_variant,Qwen2.5-3B,bangla,Bangla,Math-I,11,3,0,11,2,4,3,2,2,5,2,2,B,0.3636,0.1818,0.1818,0.9681,0.0909,False
subject_variant,Qwen2.5-3B,bangla,Bangla,Math-II,11,6,0,11,2,2,6,1,2,0,4,5,C,0.5455,0.0909,0.4545,0.8429,0.3636,False
subject_variant,Qwen2.5-3B,bangla,Bangla,Physics,11,5,0,11,1,3,3,4,2,2,2,5,D,0.3636,0.3636,0.4545,0.9338,0.1818,False
subject_variant,Qwen2.5-3B,bangla,Bangla,Physics-I,11,4,0,11,1,0,4,6,2,2,4,3,D,0.5455,0.5455,0.2727,0.6611,0.2727,True
subject_variant,Qwen2.5-3B,bangla,Bangla,Physics-II,11,2,0,11,2,1,3,5,1,5,2,3,D,0.4545,0.4545,0.2727,0.895,0.3636,False
subject_variant,Qwen2.5-3B,bangla,Bangla,Science,11,4,0,11,2,5,3,1,2,3,4,2,B,0.4545,0.0909,0.1818,0.895,0.1818,False
subject_variant,Qwen2.5-3B,banglish_clean,Reviewed Banglish,Biology,12,0,0,12,4,3,1,4,3,2,5,2,A,0.3333,0.3333,0.1667,0.9277,0.3333,False
subject_variant,Qwen2.5-3B,banglish_clean,Reviewed Banglish,Biology-I,11,2,0,11,0,4,1,6,4,2,3,2,D,0.5455,0.5455,0.1818,0.6611,0.5455,True
subject_variant,Qwen2.5-3B,banglish_clean,Reviewed Banglish,Biology-II,11,4,0,11,1,7,2,1,3,4,3,1,B,0.6364,0.0909,0.0909,0.7456,0.2727,False
subject_variant,Qwen2.5-3B,banglish_clean,Reviewed Banglish,Chemistry,11,4,0,11,1,5,1,4,3,2,1,5,B,0.4545,0.3636,0.4545,0.8384,0.2727,False
