bangla_token,total_count,unique_latin_variants,repeated_latin_variants,top_latin_variants,top_repeated_latin_variants
ভাই,594,25,12,vai:467; vi:33; bhai:29; vhai:14; bai:14; vay:8; vae:3; vaia:3; vaii:3; bhi:3; vaai:2; vhi:2,vai:467; vi:33; bhai:29; vhai:14; bai:14; vay:8; vae:3; vaia:3; vaii:3; bhi:3; vaai:2; vhi:2
কিভাবে,138,16,8,kivabe:109; kibabe:7; kivaba:3; kibave:3; kivave:2; kevabe:2; kibhave:2; kibhabe:2; ata:1; exchange:1; kora:1; kivhabe:1,kivabe:109; kibabe:7; kivaba:3; kibave:3; kivave:2; kevabe:2; kibhave:2; kibhabe:2
এখন,94,16,8,akhon:36; ekhon:18; akon:8; akn:7; akhn:6; ekhn:5; ekn:4; ekon:2; akhkhon:1; maybe:1; ki:1; ehon:1,akhon:36; ekhon:18; akon:8; akn:7; akhn:6; ekhn:5; ekn:4; ekon:2
প্লিজ,279,15,8,plz:192; please:35; pls:21; plzz:13; pleasa:4; plzzz:3; pleas:2; plzzzz:2; na:1; dan:1; darkar:1; pliz:1,plz:192; please:35; pls:21; plzz:13; pleasa:4; plzzz:3; pleas:2; plzzzz:2
কোন,83,18,7,kono:31; kon:23; kuno:5; kun:5; kno:3; kunu:3; site:2; falder:1; phone:1; jekono:1; way:1; float:1,kono:31; kon:23; kuno:5; kun:5; kno:3; kunu:3; site:2
থেকে,108,17,7,theke:73; teke:13; thake:4; thke:2; thekhe:2; tekhe:2; the:2; free:1; theikei:1; thakai:1; thekw:1; minit:1,theke:73; teke:13; thake:4; thke:2; thekhe:2; tekhe:2; the:2
কিছু,75,12,7,kichu:27; kisu:20; kicu:12; kiso:4; kicho:3; kico:2; kesu:2; kisor:1; kicchu:1; coment:1; kuchu:1; kicui:1,kichu:27; kisu:20; kicu:12; kiso:4; kicho:3; kico:2; kesu:2
ভাইয়া,53,9,7,vaiya:26; vaia:13; bhaiya:3; via:3; vhaiya:2; viya:2; vaya:2; vhaiyya:1; bhaya:1,vaiya:26; vaia:13; bhaiya:3; via:3; vhaiya:2; viya:2; vaya:2
না,497,35,6,na:451; nah:6; hoyna:5; parcina:2; thakena:2; naa:2; naki:1; p:1; hobena:1; load:1; o:1; nen:1,na:451; nah:6; hoyna:5; parcina:2; thakena:2; naa:2
আছে,172,15,6,ase:72; ache:44; ace:39; asa:4; asee:2; aca:2; pst:1; acah:1; aache:1; ahe:1; achhe:1; acha:1,ase:72; ache:44; ace:39; asa:4; asee:2; aca:2
থ্যাংকস,132,10,6,thanks:76; tnx:41; thnx:5; tnxx:2; thanx:2; tnks:2; thakns:1; thnks:1; thxx:1; thnxxx:1,thanks:76; tnx:41; thnx:5; tnxx:2; thanx:2; tnks:2
করে,253,19,5,kore:214; kre:12; kora:9; korey:2; kere:2; nen:1; koira:1; koren:1; unlimited:1; password:1; then:1; kory:1,kore:214; kre:12; kora:9; korey:2; kere:2
জন্য,133,14,5,jonno:106; jnno:11; jono:3; jonne:2; jhonno:2; der:1; apnar:1; er:1; mobailer:1; jonoo:1; zanno:1; jonn:1,jonno:106; jnno:11; jono:3; jonne:2; jhonno:2
আপনার,187,13,5,apnar:138; apnr:25; apner:11; aponar:3; apanr:2; tahole:1; aponr:1; apn:1; sponar:1; apnat:1; apna:1; korte:1,apnar:138; apnr:25; apner:11; aponar:3; apanr:2
তো,177,13,5,to:153; toh:6; tw:4; tu:3; tho:3; so:1; e:1; thik:1; trickbd:1; tow:1; ta:1; kaw:1,to:153; toh:6; tw:4; tu:3; tho:3
কমেন্ট,57,12,5,comment:39; cmnt:5; coment:2; cmmnt:2; commet:2; cooment:1; o:1; cmcmnt:1; comnt:1; commend:1; cmmt:1; commente:1,comment:39; cmnt:5; coment:2; cmmnt:2; commet:2
আমার,183,11,5,amar:115; amr:53; amer:5; aamr:2; amaar:2; ami:1; kiso:1; amamar:1; amrn:1; aamar:1; post:1,amar:115; amr:53; amer:5; aamr:2; amaar:2
আমাকে,56,8,5,amake:35; amk:6; amaka:5; amak:5; amke:2; amare:1; ama:1; korlam:1,amake:35; amk:6; amaka:5; amak:5; amke:2
কেন,52,8,5,kno:17; keno:10; kan:8; ken:7; kn:7; oi:1; kano:1; calu:1,kno:17; keno:10; kan:8; ken:7; kn:7
দেখেন,37,5,5,dekhen:27; deken:4; dakhen:2; dekhn:2; dakan:2,dekhen:27; deken:4; dakhen:2; dekhn:2; dakan:2
ইউসার,58,33,4,rana:20; user:5; reja:2; riad:2; nill:1; shadin:1; nuaim:1; jahid:1; bijoy:1; foridul:1; shahin:1; asif:1,rana:20; user:5; reja:2; riad:2
এটা,139,17,4,eta:59; ata:48; eita:12; aita:7; vai:1; ayta:1; hobe:1; to:1; ato:1; akta:1; etar:1; atw:1,eta:59; ata:48; eita:12; aita:7
যাবে,82,16,4,jabe:59; jbe:6; zabe:3; jaba:2; amon:1; ata:1; bujbe:1; jaibe:1; khela:1; barano:1; jabi:1; jaby:1,jabe:59; jbe:6; zabe:3; jaba:2
অনেক,119,14,4,onek:72; onk:33; ank:2; onak:2; onok:1; koste:1; anek:1; cheyeo:1; onnek:1; onkk:1; oneak:1; aunak:1,onek:72; onk:33; ank:2; onak:2
দিয়ে,84,14,4,diye:56; diya:9; dia:6; dea:3; kisu:1; deiyei:1; pack:1; die:1; dye:1; kora:1; to:1; e:1,diye:56; diya:9; dia:6; dea:3
দেন,104,13,4,den:67; dan:21; then:4; dean:3; tarpor:1; ekhn:1; add:1; dwn:1; ta:1; thn:1; dhan:1; agar:1,den:67; dan:21; then:4; dean:3
কেউ,55,10,4,kew:21; keu:17; keo:9; kau:2; kayo:1; na:1; q:1; ku:1; kaw:1; kai:1,kew:21; keu:17; keo:9; kau:2
ভালো,202,9,4,valo:168; vlo:22; bhalo:4; balo:3; vlp:1; valoo:1; vao:1; onk:1; vhalo:1,valo:168; vlo:22; bhalo:4; balo:3
করেন,122,9,4,koren:104; koran:6; kren:5; krn:2; koreren:1; minutes:1; koiren:1; click:1; jugajug:1,koren:104; koran:6; kren:5; krn:2
এখনো,22,9,4,ekhono:6; akhono:5; akono:4; ekono:2; a:1; akhon:1; akno:1; akhone:1; ekgno:1,ekhono:6; akhono:5; akono:4; ekono:2
দিয়ে,96,8,4,diye:68; diya:15; die:5; deye:4; diea:1; dea:1; daya:1; deya:1,diye:68; diya:15; die:5; deye:4
আগে,59,8,4,age:46; aga:5; agge:2; aghe:2; agethekei:1; agei:1; ahgay:1; agee:1,age:46; aga:5; agge:2; aghe:2
শুধু,35,8,4,sudhu:15; shudhu:6; sudu:6; shudu:4; suhdhu:1; suddu:1; nai:1; sudo:1,sudhu:15; shudhu:6; sudu:6; shudu:4
সাথে,31,8,4,sathe:20; shathe:3; shate:2; sate:2; 7e:1; khuskhor:1; er:1; sathey:1,sathe:20; shathe:3; shate:2; sate:2
কোনো,65,7,4,kono:51; kno:5; kunu:4; kuno:2; jj:1; cono:1; kon:1,kono:51; kno:5; kunu:4; kuno:2
এমন,26,7,4,amon:10; emon:9; emn:2; amn:2; trick:1; amount:1; jdi:1,amon:10; emon:9; emn:2; amn:2
থ্যাংক,25,7,4,thank:11; tnq:6; tnk:3; thnq:2; tnks:1; tnx:1; tanq:1,thank:11; tnq:6; tnk:3; thnq:2
হইছে,17,7,4,hoiche:5; hoise:4; hoyse:3; hoice:2; hoisa:1; hoyce:1; hoysa:1,hoiche:5; hoise:4; hoyse:3; hoice:2
কথা,53,6,4,kotha:44; ktha:3; khota:2; kota:2; jote:1; hobe:1,kotha:44; ktha:3; khota:2; kota:2
নিয়ে,42,6,4,niye:28; niya:5; nie:4; nia:3; neye:1; post:1,niye:28; niya:5; nie:4; nia:3
মেসেজ,17,6,4,message:6; msg:4; mgs:3; massage:2; messeage:1; messege:1,message:6; msg:4; mgs:3; massage:2
একটু,52,5,4,ektu:23; aktu:22; akto:3; ekto:3; ekru:1,ektu:23; aktu:22; akto:3; ekto:3
