id,dataset,domain,subject,grade,task_type,quality_status,review_label,answer,options_parsed,stem_token_count,stem_seen_token_count,stem_unique_token_count,stem_seen_unique_token_count,stem_coverage,stem_unique_coverage,stem_top_unseen,stem_preview,options_all_token_count,options_all_seen_token_count,options_all_unique_token_count,options_all_seen_unique_token_count,options_all_coverage,options_all_unique_coverage,options_all_top_unseen,options_all_preview,gold_option_token_count,gold_option_seen_token_count,gold_option_unique_token_count,gold_option_seen_unique_token_count,gold_option_coverage,gold_option_unique_coverage,gold_option_top_unseen,gold_option_preview,bangla_correct_models,banglish_correct_models,english_correct_models,banglish_fragility_events,strict_bangla_english_fragility_events,banglish_preview
benqa_12th-Biology-I_0265,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,A,4,44,15,39,11,0.3409,0.2821,banchiye; bandol; bhaskular; boishishtyogulo; byoboharik; dekholo; ekokoshi; iii; kendrer; khabar; khaddo; khonij,"mi. 'k' byoboharik klase ekti nomunar poryobekshon kore dekholo metajailem kendrer dike, bhaskula...",6,3,2,1,0.5,0.5,iii,"i o ii ii o iii i o iii i, ii, o iii",1,1,1,1,1.0,1.0,,i o ii,1,0,3,3,1,"mi. 'k' byoboharik klase ekti nomunar poryobekshon kore dekholo metajailem kendrer dike, bhaskular bandol 9ti ebong kichhu ekok..."
benqa_12th-Chemistry-II_0240,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,B,4,14,4,13,4,0.2857,0.3077,bikriyati; cao; ch; coona; delta; naoh; porichit; uddipoker; xrightarrow,CH_{3} - CH_{2} - COONa + NaOH \xrightarrow[\Delta]{CaO} A + Na_{2}CO_{3} uddipoker bikriyati ki...,11,1,7,1,0.0909,0.1429,bikriya; fitig; fridel; karboksileshon; kraf; urtoj,urtoj bikriya di-karboksileshon bikriya urtoj fitig bikriya fridel kraf‌t bikriya,3,1,3,1,0.3333,0.3333,bikriya; karboksileshon,di-karboksileshon bikriya,1,2,2,1,1,CH_{3} - CH_{2} - COONa + NaOH \xrightarrow[\Delta]{CaO} A + Na_{2}CO_{3} uddipoker bikriyati ki name porichit? A. urtoj bikriy...
benqa_10th-Chemistry_0111,benqa,chemistry,Chemistry,10th,mcq,auto_romanized_unverified_v4,unreviewed,D,4,8,2,8,2,0.25,0.25,binyasobishisht; ilekotron; mouloti; obosthit; poryay; saronir,1s^{2}2s^{2}2p^{2} ilekotron binyasobishisht mouloti poryay saronir kon grupe obosthit?,4,4,1,1,1.0,1.0,,grup-1 grup-3 grup-5 grup-13,1,1,1,1,1.0,1.0,,grup-13,1,1,1,0,0,1s^{2}2s^{2}2p^{2} ilekotron binyasobishisht mouloti poryay saronir kon grupe obosthit? A. grup-1 B. grup-3 C. grup-5 D. grup-1...
benqa_10th-Math_0186,benqa,math,Math,10th,mcq,auto_romanized_unverified_v4,unreviewed,C,4,6,2,6,2,0.3333,0.3333,bindu; chortubhage; obosthit; somikoronodboyer,2x + y = 1 o x = - 4 somikoronodboyer somadhan bindu kon chortubhage obosthit?,4,4,4,4,1.0,1.0,,4th 3rd 2nd 1st,1,1,1,1,1.0,1.0,,2nd,0,0,0,0,0,"2x + y = 1 o x = - 4 somikoronodboyer somadhan bindu kon chortubhage obosthit? A. 4th B. 3rd C. 2nd D. 1st Answer with only A,..."
benqa_12th-Chemistry-II_0194,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,A,4,4,2,4,2,0.5,0.5,byobohrit; semikondaktor,semikondaktor hisebe byobohrit hoy-,4,0,4,0,0.0,0.0,al; cu; ge; zn,Ge Zn Cu Al,1,0,1,0,0.0,0.0,ge,Ge,2,1,3,2,1,"semikondaktor hisebe byobohrit hoy- A. Ge B. Zn C. Cu D. Al Answer with only A, B, C, or D."
benqa_12th-Chemistry-II_0054,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,A,4,4,1,4,1,0.25,0.25,amaider; karyokori; mulok,amaider karyokori mulok holo-,8,5,5,2,0.625,0.4,cho; conh; cox,\text{-CONH_{2}} \text{-COX} \text{-CHO} \text{-NH_{2}},2,1,2,1,0.5,0.5,conh,\text{-CONH_{2}},2,2,3,1,1,"amaider karyokori mulok holo- A. \text{-CONH_{2}} B. \text{-COX} C. \text{-CHO} D. \text{-NH_{2}} Answer with only A, B, C, or D."
benqa_12th-Math-II_0234,benqa,math-ii,Math-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,A,4,14,8,11,7,0.5714,0.6364,alpha; frac; mulodboy; somikoroner,jodi x^{2} - 4x + 3 = 0 somikoroner mulodboy \alpha ebong \beta hoy tobe \frac{1}{\alpha} + frac{...,4,0,1,0,0.0,0.0,frac,\frac{4}{3} \frac{3}{4} \frac-4}{3} \frac{-3}{4},1,0,1,0,0.0,0.0,frac,\frac{4}{3},2,1,2,1,1,jodi x^{2} - 4x + 3 = 0 somikoroner mulodboy \alpha ebong \beta hoy tobe \frac{1}{\alpha} + frac{1}{\beta} er man- A. \frac{4}{...
benqa_10th-Math_0271,benqa,math,Math,10th,mcq,human_reviewed_banglish_v5,minor_edit,D,4,12,5,12,5,0.4167,0.4167,chhara; duti; ongkon; sthulokon; sthulokoni; tribhuj; tribhujer,sthulokoni tribhujer sthulokon chhara baki kon duti koto hole tribhuj ongkon sombhob?,8,0,1,0,0.0,0.0,degree,30\degree o 60\degree 40\degree o 50\degree 45\degree o 45\degree 50\degree o 30\degree,2,0,1,0,0.0,0.0,degree,50\degree o 30\degree,1,0,2,2,1,sthulokoni tribhujer sthulokon chhara baki kon duti koto hole tribhuj ongkon sombhob? A. 30\degree o 60\degree B. 40\degree o 5...
benqa_10th-Physics_0045,benqa,physics,Physics,10th,mcq,human_reviewed_banglish_v5,minor_edit,A,4,12,5,12,5,0.4167,0.4167,beg; bhorer; bostur; dwigun; gotishokti; gun; nirdisht,kon nirdisht bhorer kono bostur beg dwigun korle gotishokti koto gun hobe?,4,0,4,0,0.0,0.0,charogun; dwigun; ordhek; soman,charogun dwigun ordhek soman,1,0,1,0,0.0,0.0,charogun,charogun,2,2,3,1,0,kon nirdisht bhorer kono bostur beg dwigun korle gotishokti koto gun hobe? A. charogun B. dwigun C. ordhek D. soman Answer with...
benqa_8th-Science_0086,benqa,science,Science,8th,mcq,auto_romanized_unverified_v4,unreviewed,A,4,5,1,5,1,0.2,0.2,konotir; madhyome; ofoseter; projonon,konotir projonon ofoseter madhyome hoy?,4,0,4,0,0.0,0.0,peyara; pinyaj; pudina; topapana,topapana pudina pinyaj peyara,1,0,1,0,0.0,0.0,topapana,topapana,1,1,2,1,0,"konotir projonon ofoseter madhyome hoy? A. topapana B. pudina C. pinyaj D. peyara Answer with only A, B, C, or D."
benqa_10th-Math-II_0139,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,A,4,7,1,5,1,0.1429,0.2,frac; onukromtir; pod; tom,"\frac{1}{2},\frac{1}{10},\frac{1}{30}, ..... onukromtir 10 tom pod koto?",4,0,1,0,0.0,0.0,frac,\frac{1}{1010} \frac{1}{1100} \frac{1}{11000} \frac{1}{10010},1,0,1,0,0.0,0.0,frac,\frac{1}{1010},0,0,0,0,0,"\frac{1}{2},\frac{1}{10},\frac{1}{30}, ..... onukromtir 10 tom pod koto? A. \frac{1}{1010} B. \frac{1}{1100} C. \frac{1}{11000}..."
benqa_12th-Biology-II_0325,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,A,4,10,3,10,3,0.3,0.3,dhomoni; machher; pakhonay; poribohon; rokt; rui; shreni,rui machher shreni pakhonay rokt poribohon kore nicher kon dhomoni?,5,0,5,0,0.0,0.0,iliyak; mesentarik; pyarail; saboklabhiyan; siliyako,iliyak pyarail siliyako-mesentarik saboklabhiyan,1,0,1,0,0.0,0.0,iliyak,iliyak,0,0,3,3,0,rui machher shreni pakhonay rokt poribohon kore nicher kon dhomoni? A. iliyak B. pyarail C. siliyako-mesentarik D. saboklabhiya...
