generator,id,reference_chars,generated_chars,edit_distance,cer,sequence_similarity,bengali_ratio,exact_match,generated_preview
protected_phonetic_bangla,benqa_10th-Biology_0057,254,261,50,0.1969,0.7301,0.6245,False,"গনি সাহেব তার বাগানে এমন কিছ্হু গাছ্হ লাগিয়েছ্হেন জার CO_{2} বিজারনের প্রথম স্থায়ি পদার্থ অক্সালো এসিতিক এসিদ। গনি সাহেব লাগিয়েছ্হেন- ই। ভুত্তা ইই। বেগুন ইইই। আখ নিছের কনতি সথিক? A. ই অ ইই B. ইই অ ইইই C. ই অ ইইই D. ই,"
protected_phonetic_bangla,benqa_10th-Biology_0143,137,136,10,0.073,0.9304,0.5809,False,"আকস্মিক কিদনি অকেজো হতে পারে কন কারনে? A. দায়াবেতিস B. নেফ্রাইতিস C. মারাত্মক দায়রিয়া D. উছ্ছ রক্তছাপ Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_10th-Biology_0197,134,127,13,0.097,0.9272,0.5669,False,"কশের সকল জইবিক ক্রিয়া নিয়ন্ত্রন করে কনতি? A. নিউক্লয়াস B. রাইবজম C. লাইসজম D. মাইতকন্দ্রিয়া Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_10th-Chemistry_0280,81,82,5,0.0617,0.9571,0.2683,False,"কনতি প্রথম ব্যবহ্রিত ধাতু? A. Au B. Ag C. Sn D. Cu Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_10th-Chemistry_0374,114,100,22,0.193,0.8598,0.47,False,"ইথিলিন গ্লাইকল কন ধরনের জউগ? A. আলদিহাইদ B. আলকহল C. আলকিন D. আলকাইন Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_10th-Chemistry_0388,209,208,22,0.1053,0.5899,0.351,False,"স্ক্যান্দিয়ামের সর্বশেশ শক্তিস্তরের সথিক ইলেকত্রন বিন্যাস কনতি? A. 3স^{2}3প^{6}3দ^{5}4স^{1} B. 3স^{2}3প^{6}3দ^{3}4স^{2} C. 3স^{2}3প^{6}3দ^{2}4স^{2} D. 3স^{2}3প^{6}3দ^{1}4স^{2} Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_10th-Math-II_0367,164,166,6,0.0366,0.9697,0.3735,False,"একতি নিরপেক্শ ছ্হক্কা একবার নিক্শেপ করা হলে মউলিক সংখ্যা আসার সম্ভাবনা কত? A. \frac{1}{6} B. \frac{1}{3} C. \frac{1}{2} D. \frac{2}{3} Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_10th-Math_0032,90,90,1,0.0111,0.9889,0.1222,False,"(\sqrt{3})^{x্2} = 27 হলে x এর মান কত? A. 6 B. 4 C. 3 D. 2 Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_10th-Physics_0045,139,137,5,0.036,0.971,0.562,False,"কন নির্দিশ্ত ভরের কনো বস্তুর বেগ দ্বিগুন করলে গতিশক্তি কত গুন হবে? A. ছারগুন B. দ্বিগুন C. অর্ধেক D. সমান Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_10th-Physics_0055,144,144,13,0.0903,0.9167,0.5764,False,"পানিতে সান্তার কাতার সময় কন বাধা অতিক্রম করতে হয়? A. স্থিতি ঘর্শন B. গতি ঘর্শন C. আবর্ত ঘর্শন D. প্রবাহি ঘর্শন Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_10th-Physics_0296,131,131,8,0.0611,0.9389,0.5038,False,"ইউরেনিয়ামের ছেইন বিক্রিয়ার দ্বিতিয় ধাপে কততি নিউত্রন নির্গত হয়? A. 2 তি B. 3 তি C. 6 তি D. 9 তি Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_12th-Biology-II_0119,114,116,17,0.1491,0.8696,0.5172,False,"ঃয্দ্রা-র কন ধরনের ছলনকে জন্কা ছলন বলে? A. গ্লাইদিন B. সমারসন্তিং C. লুপিং D. হান্তা Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_12th-Biology-II_0179,119,119,4,0.0336,0.9748,0.2941,False,"রক্ত জমাত বান্ধতে কন ধাতব আয়ন সহায়তা করে? A. Ca^{++} B. Mg^{++} C. Cu^{++} D. Fe^{++} Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_12th-Biology-II_0325,153,153,7,0.0458,0.9673,0.6144,False,"রুই মাছ্হের শ্রেনি পাখনায় রক্ত পরিবহন করে নিছের কন ধমনি? A. ইলিয়াক B. প্যারাইল C. সিলিয়াক-মেসেন্তারিক D. সাবক্লাভিয়ান Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_12th-Biology-I_0039,122,124,11,0.0902,0.9268,0.5806,False,"উদ্ভিদের অন্তহ্স্তিলিয় অংশ হছ্ছ্হে- A. হাইপদার্মিস B. এপিদার্মিস C. মজ্জারশ্মি D. কার্তেক্স Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_12th-Biology-I_0218,120,128,57,0.475,0.5726,0.5547,False,"গমের বইগ্গানিক নাম কি? A. ওর্য্যা সাতিভা B. ট্রিতিচুম আএস্তিভুম C. যেআ মায়্স D. Bআম্বুসা তুল্দা Answer with only A, B, C, or D."
