model,id,subject,gold,banglish_parsed,bangla_parsed,english_parsed,recovered_by,category,banglish_excerpt
Qwen2.5-3B-Instruct,benqa_10th-Biology_0057,Biology,C,D,C,D,Bangla,number_unit_misread,"goni saheb tar bagane emon kichhu gachh lagiyechhen jar CO_{2} bijaroner prothom sthayi podarth oksalo esitik esid. goni saheb lagiyechhen- i. bhutta ii. begun iii. akh nicher konti sothik? | A. i o ii | B. ii o iii | C. i o iii | D. i, ii "
Qwen2.5-3B-Instruct,benqa_10th-Biology_0128,Biology,A,C,A,A,Bangla+English,technical_term_corruption,ister shboson prokriyay konti utoponn hoy? | A. lyakotik esid | B. glukoj | C. oksalo asitik esid | D. glisarik esid
Qwen2.5-3B-Instruct,benqa_10th-Biology_0149,Biology,B,A,B,C,Bangla,technical_term_corruption,konotir prantiy prachir gole noler srishti hoy? | A. sibhokosh | B. bhesel | C. trakid | D. songgikosh
Qwen2.5-3B-Instruct,benqa_10th-Biology_0197,Biology,D,A,D,A,Bangla,technical_term_corruption,kosher sokol joibik kriya niyontron kore konti? | A. niukloyas | B. raibojom | C. laisojom | D. maitokondriya
Qwen2.5-3B-Instruct,benqa_10th-Biology_0213,Biology,A,D,A,D,Bangla,technical_term_corruption,laisojomer sathe nicher konotir karyogot mil royechhe? | A. losika kosh | B. snayu kosh | C. jonon kosh | D. osthi kosh
Qwen2.5-3B-Instruct,benqa_10th-Biology_0215,Biology,B,D,D,B,English,number_unit_misread,C_{6}H_{12}O_{6}\xarrowright{enojaim}C_{3}H_{4}O_{3} uddipoker prokriyati- i. sobat o obat shbosoner prothom dhap ii. kosher maitokondriyay ghote thake iii. ete nit onu ATP utoponn hoy nicher konti sothik? | A. i o ii | B. i o iii | C. ii o
Qwen2.5-3B-Instruct,benqa_10th-Biology_0339,Biology,D,A,B,D,English,technical_term_corruption,nicher kon udbhide salokosongshleshon har beshi? | A. bot gachh | B. kanthal | C. peyara | D. kochuripana
Qwen2.5-3B-Instruct,benqa_10th-Chemistry_0110,Chemistry,C,A,D,C,English,number_unit_misread,chuner panir songket konti? | A. CaCO_{3} | B. CaO | C. Ca(OH)_{2} | D. Ca(HCO_{3})_{2}
Qwen2.5-3B-Instruct,benqa_10th-Chemistry_0132,Chemistry,A,B,C,A,English,technical_term_corruption,bisforok podarth konti? | A. ti.en.ti | B. benojin | C. toluin | D. jailin
Qwen2.5-3B-Instruct,benqa_10th-Chemistry_0194,Chemistry,D,C,A,D,English,romanized_word_ambiguity,nicher kon mouloti odhik sokriy? | A. O | B. P | C. N | D. F
Qwen2.5-3B-Instruct,benqa_10th-Math-II_0367,Math-II,C,B,C,B,Bangla,technical_term_corruption,ekti niropeksh chhokka ekobar nikshep kora hole moulik songkhya asar sombhabona koto? | A. \frac{1}{6} | B. \frac{1}{3} | C. \frac{1}{2} | D. \frac{2}{3}
Qwen2.5-3B-Instruct,benqa_10th-Math_0032,Math,B,A,B,B,Bangla+English,number_unit_misread,(\sqrt{3})^{x+2} = 27 hole x er man koto? | A. 6 | B. 4 | C. 3 | D. 2
Qwen2.5-3B-Instruct,benqa_10th-Math_0044,Math,C,B,C,C,Bangla+English,number_unit_misread,ekti borger kototi protisamy rekha ache? | A. 8ti | B. 6ti | C. 4ti | D. 2ti
Qwen2.5-3B-Instruct,benqa_10th-Math_0324,Math,A,B,C,A,English,number_unit_misread,a = \sqrt{3} ebong b = \sqrt{12} hole nicher konti omulod songkhya? | A. a + b | B. ab | C. \frac{a}{b} | D. \frac{b}{a}
Qwen2.5-3B-Instruct,benqa_10th-Physics_0021,Physics,C,B,C,C,Bangla+English,technical_term_corruption,konti moulik ekok? | A. jul | B. niuton | C. kyandela | D. pyasokel
Qwen2.5-3B-Instruct,benqa_10th-Physics_0045,Physics,A,B,B,A,English,technical_term_corruption,kon nirdisht bhorer kono bostur beg dwigun korle gotishokti koto gun hobe? | A. charogun | B. dwigun | C. ordhek | D. soman
Qwen2.5-3B-Instruct,benqa_10th-Physics_0084,Physics,D,B,D,B,Bangla,technical_term_corruption,sthir obosthan theke somotborone bostur jekono somoyer beg bostur otikrant durotter- | A. somanupatik | B. borger somanupatik | C. borger byostanupatik | D. borgomuler somanupatik
Qwen2.5-3B-Instruct,benqa_10th-Physics_0280,Physics,B,A,A,B,English,romanized_word_ambiguity,tamar rodhokotto konti? | A. 1.6 \times 10^{-8}\Omega m | B. 1.68 \times 10^{-8}\Omega m | C. 2.44 \times 10^{-8}\Omega m | D. 5.5 \times 10^{-8}\Omega m
Qwen2.5-3B-Instruct,benqa_10th-Physics_0296,Physics,D,B,B,D,English,number_unit_misread,iureniyamer chein bikriyar dwitiy dhape kototi niutron nirgot hoy? | A. 2 ti | B. 3 ti | C. 6 ti | D. 9 ti
Qwen2.5-3B-Instruct,benqa_12th-Biology-II_0034,Biology-II,B,C,A,B,English,technical_term_corruption,kshudrantrer kshudr ongsh konti? | A. pailoras | B. diodenam | C. jejunam | D. iliyam
Qwen2.5-3B-Instruct,benqa_12th-Biology-II_0122,Biology-II,A,C,A,B,Bangla,number_unit_misread,hritopinder olinder dayastoler somoyokal koto sekend? | A. 0.7 | B. 0.5 | C. 0.3 | D. 0.1
Qwen2.5-3B-Instruct,benqa_12th-Biology-II_0179,Biology-II,A,B,D,A,English,technical_term_corruption,rokt jomat bandhote kon dhatob ayon sohayota kore? | A. Ca^{++} | B. Mg^{++} | C. Cu^{++} | D. Fe^{++}
Qwen2.5-3B-Instruct,benqa_12th-Biology-II_0325,Biology-II,A,B,C,A,English,technical_term_corruption,rui machher shreni pakhonay rokt poribohon kore nicher kon dhomoni? | A. iliyak | B. pyarail | C. siliyako-mesentarik | D. saboklabhiyan
Qwen2.5-3B-Instruct,benqa_12th-Biology-I_0077,Biology-I,C,D,B,C,English,technical_term_corruption,nicher kon dhape kromatidogulo merumukhi cholote shuru kore? | A. profej | B. metafej | C. anafej | D. telofej
Qwen2.5-3B-Instruct,benqa_12th-Biology-I_0218,Biology-I,B,D,A,B,English,romanized_word_ambiguity,gomer boigganik nam ki? | A. Oryza sativa | B. Triticum aestivum | C. Zea mays | D. Bambusa tulda
Qwen2.5-3B-Instruct,benqa_12th-Biology-I_0222,Biology-I,A,C,A,A,Bangla+English,technical_term_corruption,udbhid konti mati hote ney? | A. naitrojen | B. haidrojen | C. oksijen | D. karbon
Qwen2.5-3B-Instruct,benqa_12th-Biology-I_0265,Biology-I,A,D,D,A,English,number_unit_misread,"mi. 'k' byoboharik klase ekti nomunar poryobekshon kore dekholo metajailem kendrer dike, bhaskular bandol 9ti ebong kichhu ekokoshi rom ache. poryobekshit boishishtyogulo kibhabe udbhidoke banchiye rakhote sahajy kore? i. pani o khonij lobo"
Qwen2.5-3B-Instruct,benqa_12th-Biology-I_0277,Biology-I,D,B,B,D,English,technical_term_corruption,konotike ghas gotr bola hoy? | A. solanesi | B. saikyadesi | C. malobhesi | D. poyesi
Qwen2.5-3B-Instruct,benqa_12th-Biology-I_0283,Biology-I,A,D,D,A,English,romanized_word_ambiguity,"penper ring spot roger lokshon holo- i. patar botay pani bheja sobuj dag dekha jay ii. penper mishtota hras pay iii. foler akar bor hoy nicher konti sothik? | A. i o ii | B. ii o iii | C. i o iii | D. i, ii, o iii"
Qwen2.5-3B-Instruct,benqa_12th-Chemistry-II_0194,Chemistry-II,A,B,D,A,English,romanized_word_ambiguity,semikondaktor hisebe byobohrit hoy- | A. Ge | B. Zn | C. Cu | D. Al
Qwen2.5-3B-Instruct,benqa_12th-Chemistry-II_0228,Chemistry-II,C,D,C,C,Bangla+English,number_unit_misread,"Ni(s) + 2Ag^{+}(aq) \xrightarrow{2e^{-}} Ni^{2+}(aq) + 2Ag(s); bikriyatite- i. Ni jarit hoy ii. Ag jarit hoy iii. bikriyati ekti ridoks bikriya nicher konti sothik? | A. i o ii | B. ii o iii | C. i o iii | D. i, ii o iii"
Qwen2.5-3B-Instruct,benqa_12th-Chemistry-II_0354,Chemistry-II,B,C,B,B,Bangla+English,technical_term_corruption,sthir tapomatray nirdisht bhorer gyaser ayoton bonam chaper lekhochitroti kon dhoroner? | A. porabrittakar | B. odhibrittakar | C. brittakar | D. soroloroikhik
