id,gold,qwen25_3b_banglish_option,qwen25_3b_banglish_valid,qwen25_3b_banglish_correct,qwen25_7b_8bit_banglish_option,qwen25_7b_8bit_banglish_valid,qwen25_7b_8bit_banglish_correct,qwen3_4b_banglish_option,qwen3_4b_banglish_valid,qwen3_4b_banglish_correct,q25_both_valid,q25_agree,q25_agreement_option,q25_agree_non_d,q25_agree_d,q25_both_correct,q25_correct_agree,q25_correct_agree_non_d,q25_correct_agree_d,qwen3_same_as_q25_agreement,qwen3_switches_from_q25_agreement,qwen3_D,qwen3_wrong_D,qwen3_invalid
benqa_10th-Biology_0057,C,D,True,False,C,True,True,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_10th-Biology_0090,C,A,True,False,C,True,True,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_10th-Biology_0128,A,C,True,False,B,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_10th-Biology_0143,C,B,True,False,C,True,True,C,True,True,True,False,none,False,False,False,False,False,False,False,False,False,False,False
benqa_10th-Biology_0149,B,A,True,False,A,True,False,D,True,False,True,True,A,True,False,False,False,False,False,False,True,True,True,False
benqa_10th-Biology_0156,C,B,True,False,C,True,True,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_10th-Biology_0188,A,B,True,False,A,True,True,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_10th-Biology_0197,D,A,True,False,B,True,False,D,True,True,True,False,none,False,False,False,False,False,False,False,False,True,False,False
benqa_10th-Biology_0213,A,D,True,False,A,True,True,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_10th-Biology_0215,B,D,True,False,D,True,False,D,True,False,True,True,D,False,True,False,False,False,False,True,False,True,True,False
benqa_10th-Biology_0277,C,D,True,False,B,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_10th-Biology_0339,D,A,True,False,B,True,False,D,True,True,True,False,none,False,False,False,False,False,False,False,False,True,False,False
benqa_10th-Chemistry_0041,D,D,True,True,A,True,False,A,True,False,True,False,none,False,False,False,False,False,False,False,False,False,False,False
benqa_10th-Chemistry_0110,C,A,True,False,invalid,False,False,D,True,False,False,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_10th-Chemistry_0111,D,B,True,False,C,True,False,D,True,True,True,False,none,False,False,False,False,False,False,False,False,True,False,False
benqa_10th-Chemistry_0132,A,B,True,False,B,True,False,D,True,False,True,True,B,True,False,False,False,False,False,False,True,True,True,False
benqa_10th-Chemistry_0191,A,D,True,False,C,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_10th-Chemistry_0194,D,C,True,False,C,True,False,D,True,True,True,True,C,True,False,False,False,False,False,False,True,True,False,False
