id,source_row,gold,correct_model_count,any_model_correct,at_least_two_models_correct,all_models_correct,all_models_wrong,majority_prediction,majority_prediction_count,majority_prediction_correct,all_predictions_different,qwen25_3b_parsed,qwen25_3b_correct,qwen25_7b_8_bit_parsed,qwen25_7b_8_bit_correct,qwen3_4b_parsed,qwen3_4b_correct
bnsentmix_00014,14,mixed,1,True,False,False,False,negative,2,False,False,mixed,True,negative,False,negative,False
bnsentmix_00151,151,mixed,0,False,False,False,True,negative,2,False,False,negative,False,negative,False,neutral,False
bnsentmix_00158,158,mixed,1,True,False,False,False,negative,2,False,False,negative,False,negative,False,mixed,True
bnsentmix_00195,195,mixed,1,True,False,False,False,,0,False,True,negative,False,neutral,False,mixed,True
bnsentmix_00233,233,mixed,2,True,True,False,False,mixed,2,True,False,positive,False,mixed,True,mixed,True
bnsentmix_00251,251,mixed,2,True,True,False,False,mixed,2,True,False,negative,False,mixed,True,mixed,True
bnsentmix_00265,265,mixed,1,True,False,False,False,negative,2,False,False,mixed,True,negative,False,negative,False
bnsentmix_00308,308,mixed,3,True,True,True,False,mixed,3,True,False,mixed,True,mixed,True,mixed,True
bnsentmix_00312,312,mixed,2,True,True,False,False,mixed,2,True,False,positive,False,mixed,True,mixed,True
bnsentmix_00369,369,mixed,3,True,True,True,False,mixed,3,True,False,mixed,True,mixed,True,mixed,True
bnsentmix_00374,374,mixed,0,False,False,False,True,positive,3,False,False,positive,False,positive,False,positive,False
bnsentmix_00393,393,mixed,2,True,True,False,False,mixed,2,True,False,positive,False,mixed,True,mixed,True
bnsentmix_00432,432,mixed,0,False,False,False,True,negative,2,False,False,negative,False,neutral,False,negative,False
bnsentmix_00451,451,mixed,1,True,False,False,False,positive,2,False,False,mixed,True,positive,False,positive,False
bnsentmix_00546,546,mixed,1,True,False,False,False,neutral,2,False,False,mixed,True,neutral,False,neutral,False
bnsentmix_00560,560,mixed,0,False,False,False,True,negative,3,False,False,negative,False,negative,False,negative,False
bnsentmix_00581,581,mixed,1,True,False,False,False,positive,2,False,False,mixed,True,positive,False,positive,False
bnsentmix_00594,594,mixed,0,False,False,False,True,positive,3,False,False,positive,False,positive,False,positive,False
bnsentmix_00602,602,mixed,0,False,False,False,True,negative,2,False,False,negative,False,negative,False,neutral,False
bnsentmix_00606,606,mixed,0,False,False,False,True,neutral,2,False,False,negative,False,neutral,False,neutral,False
bnsentmix_00613,613,mixed,2,True,True,False,False,mixed,2,True,False,mixed,True,mixed,True,positive,False
bnsentmix_00617,617,mixed,2,True,True,False,False,mixed,2,True,False,negative,False,mixed,True,mixed,True
bnsentmix_00647,647,mixed,0,False,False,False,True,negative,2,False,False,negative,False,negative,False,positive,False
bnsentmix_00660,660,mixed,1,True,False,False,False,positive,2,False,False,mixed,True,positive,False,positive,False
bnsentmix_00734,734,mixed,1,True,False,False,False,positive,2,False,False,mixed,True,positive,False,positive,False
bnsentmix_00749,749,mixed,0,False,False,False,True,negative,3,False,False,negative,False,negative,False,negative,False
bnsentmix_00752,752,mixed,1,True,False,False,False,,0,False,True,mixed,True,negative,False,positive,False
bnsentmix_00903,903,mixed,0,False,False,False,True,,0,False,True,negative,False,neutral,False,positive,False
bnsentmix_00907,907,mixed,2,True,True,False,False,mixed,2,True,False,positive,False,mixed,True,mixed,True
bnsentmix_00918,918,mixed,1,True,False,False,False,,0,False,True,mixed,True,neutral,False,negative,False
bnsentmix_01009,1009,mixed,3,True,True,True,False,mixed,3,True,False,mixed,True,mixed,True,mixed,True
bnsentmix_01017,1017,mixed,0,False,False,False,True,negative,2,False,False,negative,False,negative,False,positive,False
bnsentmix_01100,1100,mixed,1,True,False,False,False,,0,False,True,mixed,True,negative,False,positive,False
bnsentmix_01139,1139,mixed,0,False,False,False,True,neutral,2,False,False,negative,False,neutral,False,neutral,False
bnsentmix_01144,1144,mixed,0,False,False,False,True,positive,3,False,False,positive,False,positive,False,positive,False
bnsentmix_01150,1150,mixed,0,False,False,False,True,positive,3,False,False,positive,False,positive,False,positive,False
bnsentmix_01269,1269,mixed,1,True,False,False,False,negative,2,False,False,mixed,True,negative,False,negative,False
bnsentmix_01313,1313,mixed,1,True,False,False,False,,0,False,True,mixed,True,negative,False,neutral,False
bnsentmix_01361,1361,mixed,0,False,False,False,True,,0,False,True,negative,False,neutral,False,positive,False
bnsentmix_01371,1371,mixed,3,True,True,True,False,mixed,3,True,False,mixed,True,mixed,True,mixed,True
bnsentmix_01397,1397,mixed,3,True,True,True,False,mixed,3,True,False,mixed,True,mixed,True,mixed,True
bnsentmix_01411,1411,mixed,0,False,False,False,True,negative,2,False,False,negative,False,neutral,False,negative,False
bnsentmix_01436,1436,mixed,1,True,False,False,False,,0,False,True,negative,False,mixed,True,positive,False
bnsentmix_01460,1460,mixed,1,True,False,False,False,positive,2,False,False,mixed,True,positive,False,positive,False
bnsentmix_01484,1484,mixed,0,False,False,False,True,negative,3,False,False,negative,False,negative,False,negative,False
bnsentmix_01556,1556,mixed,1,True,False,False,False,neutral,2,False,False,neutral,False,neutral,False,mixed,True
bnsentmix_01677,1677,mixed,3,True,True,True,False,mixed,3,True,False,mixed,True,mixed,True,mixed,True
bnsentmix_01690,1690,mixed,2,True,True,False,False,mixed,2,True,False,positive,False,mixed,True,mixed,True
bnsentmix_01707,1707,mixed,3,True,True,True,False,mixed,3,True,False,mixed,True,mixed,True,mixed,True
bnsentmix_01749,1749,mixed,2,True,True,False,False,mixed,2,True,False,positive,False,mixed,True,mixed,True
bnsentmix_01901,1901,neutral,1,True,False,False,False,,0,False,True,mixed,False,neutral,True,negative,False
bnsentmix_02187,2187,neutral,0,False,False,False,True,negative,2,False,False,negative,False,negative,False,positive,False
bnsentmix_02237,2237,neutral,1,True,False,False,False,positive,2,False,False,positive,False,neutral,True,positive,False
bnsentmix_02265,2265,neutral,2,True,True,False,False,neutral,2,True,False,mixed,False,neutral,True,neutral,True
bnsentmix_02332,2332,neutral,1,True,False,False,False,,0,False,True,mixed,False,neutral,True,positive,False
bnsentmix_02346,2346,neutral,2,True,True,False,False,neutral,2,True,False,mixed,False,neutral,True,neutral,True
bnsentmix_02351,2351,neutral,0,False,False,False,True,positive,3,False,False,positive,False,positive,False,positive,False
bnsentmix_02440,2440,neutral,1,True,False,False,False,,0,False,True,negative,False,neutral,True,positive,False
bnsentmix_02446,2446,neutral,1,True,False,False,False,,0,False,True,mixed,False,neutral,True,positive,False
bnsentmix_02951,2951,neutral,2,True,True,False,False,neutral,2,True,False,negative,False,neutral,True,neutral,True
bnsentmix_02957,2957,neutral,2,True,True,False,False,neutral,2,True,False,mixed,False,neutral,True,neutral,True
bnsentmix_03013,3013,neutral,2,True,True,False,False,neutral,2,True,False,negative,False,neutral,True,neutral,True
bnsentmix_03072,3072,neutral,0,False,False,False,True,positive,3,False,False,positive,False,positive,False,positive,False
