model,id,variant,dataset,task_type,answer_type,gold,before_correct,after_correct,change,before_parsed,after_parsed,before_seconds,after_seconds,before_source,after_source,after_rewrite_output
Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0001,banglish_clean,mgsm,math_word_problem,short_answer,18,False,False,same_wrong,2,The question is: **How much higher than $2 per unit** is the price of the remaining units?,0.2472,10.98,results/runs/qwen3_4b_mgsm_bn50_v1_128/results/runs/qwen3_4b_mgsm_bn50_v1_128.jsonl,results/runs/qwen3_4b_mgsm_bn50_selftranslate/results/runs/qwen3_4b_mgsm_bn50_selftranslate.jsonl,"The seller sells 16 units of product at a time. Initially, the seller sells these 16 units at a price of $2 per unit. After that, the seller sells the remaining units at a price higher than $2 per unit. How much higher than $2 per unit is the price of the remaining units?"
Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0002,banglish_clean,mgsm,math_word_problem,short_answer,3,False,False,same_wrong,"2 ril nil suto ebong tar ordhek sada suto lage, tar mot kotoguli ril lagobe 2.",4,1.6531,3.7774,results/runs/qwen3_4b_mgsm_bn50_v1_128/results/runs/qwen3_4b_mgsm_bn50_v1_128.jsonl,results/runs/qwen3_4b_mgsm_bn50_selftranslate/results/runs/qwen3_4b_mgsm_bn50_selftranslate.jsonl,"If you spend 2 hours on one task and the same amount of time on another task, how many hours will you spend in total on these two tasks?"
Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0003,banglish_clean,mgsm,math_word_problem,short_answer,70000,False,False,same_wrong,"Profit = Final value - Initial cost = $195,000",A profit of 1,6.5957,9.039,results/runs/qwen3_4b_mgsm_bn50_v1_128/results/runs/qwen3_4b_mgsm_bn50_v1_128.jsonl,results/runs/qwen3_4b_mgsm_bn50_selftranslate/results/runs/qwen3_4b_mgsm_bn50_selftranslate.jsonl,"Josh is planning to buy a house. He will buy it for $80,000 and then sell it for $50,000. The profit from this transaction is 150%. How much profit will he make?"
Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0004,banglish_clean,mgsm,math_word_problem,short_answer,540,False,False,same_wrong,180,"But then it says ""In each sprint, 60 meters covered"" — which contradicts the 30 meters.",1.3578,8.1719,results/runs/qwen3_4b_mgsm_bn50_v1_128/results/runs/qwen3_4b_mgsm_bn50_v1_128.jsonl,results/runs/qwen3_4b_mgsm_bn50_selftranslate/results/runs/qwen3_4b_mgsm_bn50_selftranslate.jsonl,"Jemos one session 3 times 30 meters sprint each. In each sprint, 60 meters covered. How many meters covered in one session?"
Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0005,banglish_clean,mgsm,math_word_problem,short_answer,20,True,False,loss,20,There are 20 messengers in total,0.3892,10.0502,results/runs/qwen3_4b_mgsm_bn50_v1_128/results/runs/qwen3_4b_mgsm_bn50_v1_128.jsonl,results/runs/qwen3_4b_mgsm_bn50_selftranslate/results/runs/qwen3_4b_mgsm_bn50_selftranslate.jsonl,"In a village, the number of people who receive news through the medium of a messenger is distributed as follows: in the morning, 15 people receive news; in the afternoon, 25 people receive news. If there are 20 messengers in total, how many people will receive news in the evening?"
Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0006,banglish_clean,mgsm,math_word_problem,short_answer,64,False,False,same_wrong,"So, the actual price per kanch after discount = 60% of $5 = 0.60 × 5 = $3.",x = $5 / 0.60 = $8.33 (approximately),6.507,9.342,results/runs/qwen3_4b_mgsm_bn50_v1_128/results/runs/qwen3_4b_mgsm_bn50_v1_128.jsonl,results/runs/qwen3_4b_mgsm_bn50_selftranslate/results/runs/qwen3_4b_mgsm_bn50_selftranslate.jsonl,"The cost of a new apartment is not known, but the cost of each unit is $5, and the price per unit is 60% of the market rate. Kailar has 16 units. How much will it cost to build these units?"
Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0007,banglish_clean,mgsm,math_word_problem,short_answer,260,False,False,same_wrong,"→ So, Charlostoner = 4 × Siyatoler","This part is confusing. ""20 times farther"" than what? It",6.5262,9.4573,results/runs/qwen3_4b_mgsm_bn50_v1_128/results/runs/qwen3_4b_mgsm_bn50_v1_128.jsonl,results/runs/qwen3_4b_mgsm_bn50_selftranslate/results/runs/qwen3_4b_mgsm_bn50_selftranslate.jsonl,"Tuluj is 4 times farther than Charloston. Charloston is 4 times farther than Siyato. If Siyato is 20 times farther, then how many times farther is Tuluj, Charloston, and Siyato from each other?"
Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0008,banglish_clean,mgsm,math_word_problem,short_answer,160,False,False,same_wrong,40% of 200 GB,$ 0.40 \times 200 = 80 $ GB,6.6621,9.9874,results/runs/qwen3_4b_mgsm_bn50_v1_128/results/runs/qwen3_4b_mgsm_bn50_v1_128.jsonl,results/runs/qwen3_4b_mgsm_bn50_selftranslate/results/runs/qwen3_4b_mgsm_bn50_selftranslate.jsonl,"Karla downloaded a 200 GB file. Initially, it was downloaded at a speed of 2 GB/min, but after 40% of the download was completed, the Windows system automatically restarted, and the download started again after 20 minutes. How much time was taken to complete the download of the file?"
Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0009,banglish_clean,mgsm,math_word_problem,short_answer,45,False,False,same_wrong,4 ghontar sheshe tini bari theke 240 km achhen.,Distance = 80 ×,1.3438,10.0577,results/runs/qwen3_4b_mgsm_bn50_v1_128/results/runs/qwen3_4b_mgsm_bn50_v1_128.jsonl,results/runs/qwen3_4b_mgsm_bn50_selftranslate/results/runs/qwen3_4b_mgsm_bn50_selftranslate.jsonl,"Sixty miles per hour, for three hours, the driver was driving. After that, he forgot some important things and then started driving at a speed of 30 miles per hour for one hour, and then at 80 miles per hour for four hours. How many miles did the driver travel from the start of the journey?"
Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0010,banglish_clean,mgsm,math_word_problem,short_answer,460,False,False,same_wrong,"In the first 40 hours, Elia works and earns **$10 per hour**.",5 hours × $12 = $60,6.537,9.4312,results/runs/qwen3_4b_mgsm_bn50_v1_128/results/runs/qwen3_4b_mgsm_bn50_v1_128.jsonl,results/runs/qwen3_4b_mgsm_bn50_selftranslate/results/runs/qwen3_4b_mgsm_bn50_selftranslate.jsonl,"Previously, for the first 40 hours of work, he was paid $10 per hour. For the remaining time, he was paid 1.2 times the original rate. If he works 45 hours in total, how much will he earn in that period?"
