id,answer,subject,domain,bangla_correct,banglish_correct,english_correct,bangla_parsed,banglish_parsed,english_parsed,bangla_prompt,banglish_prompt,english_prompt
benqa_ext_10th-Biology_0001,C,Biology,biology,1,0,1,C,B,C,"সালোকসংশ্লেষণের জন্য উপযুক্ত তাপমাত্রা কোনটি? A. 12\degree C - 25\degree C B. 17\degree C - 30\degree C C. 22\degree C - 35\degree C D. 27\degree C - 40\degree C Answer with only A, B, C, or D.","salokosongshleshoner jony upojukt tapomatra konoti? A. 12\degree C - 25\degree C B. 17\degree C - 30\degree C C. 22\degree C - 35\degree C D. 27\degree C - 40\degree C Answer with only A, B, C, or D.","Which is the suitable temperature for photosynthesis? A. 12\degree C - 25\degree C B. 17\degree C - 30\degree C C. 22\degree C - 35\degree C D. 27\degree C - 40\degree C Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0002,D,Biology,biology,1,0,1,D,C,D,"কোনটিতে সৌরশক্তি স্থিতি শক্তিরূপে সঞ্চিত থাকে? A. অক্সিজেন B. পানি C. কার্বন ডাই অক্সাইড D. শ্বেতসার Answer with only A, B, C, or D.","konotite souroshokti sthiti shoktirupe sonchit thake? A. oksijen B. pani C. karbon dai oksaid D. shbetosar Answer with only A, B, C, or D.","Where is the solar energy stored as the potential energy? A. Oxygen B. Water C. Carbon-dioxide D. Carbohydrate Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0018,D,Biology,biology,1,0,1,D,B,D,"রক্তে জৈব এবং অজৈব পদার্থের পরিমাণ কত? A. ২-৪% B. ৩-৫% C. ৫-৭% D. ৮-৯% Answer with only A, B, C, or D.","rokte joib ebong ojoib podarther poriman kot? A. 2-4% B. 3-5% C. 5-7% D. 8-9% Answer with only A, B, C, or D.","What is the amount of organic and inorganic materials in blood? A. 2-4% B. 3-5% C. 5-7% D. 8-9% Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0023,A,Biology,biology,1,0,0,A,D,D,"নিচের কোনটি খেলে ক্ষারীয় মূত্র তৈরি হয়? A. আপেল B. কাতল মাছ C. গরুর মাংস D. চিনাবাদাম Answer with only A, B, C, or D.","nicher konoti khele kshariy mutr toiri hoy? A. apel B. katol machh C. gorur mangs D. chinabadam Answer with only A, B, C, or D.","Which of the following produces alkaline urine if eaten? A. Apple B. Catla fish C. Beef D. Peanut Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0032,D,Biology,biology,0,0,1,C,B,D,"কোন ফুলের সুগন্ধ নেই? A. গোলাপ B. রজনীগন্ধা C. সরিষা D. পাতাশেওলা Answer with only A, B, C, or D.","kon fuler sugondh nei? A. golap B. rojonigondha C. sorisha D. patasheola Answer with only A, B, C, or D.","Which of the flower has no fragrance? A. Rose B. Tube rose C. Mustard D. Vallisnaria Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0034,A,Biology,biology,1,0,1,A,D,A,"ট্রাকিয়াতে পাওয়া যায়- i. সিউডো-স্ট্র্যাটিফাইড আবরণী টিস্যু ii. সিলিয়াযুক্ত আবরণী টিস্যু iii. কিউবয়ডাল আবরণী টিস্যু নিচের কোনটি সঠিক? A. i ও ii B. i ও iii C. ii ও iii D. i, ii ও iii Answer with only A, B, C, or D.","trakiyate paoya jay- i. siudo-stryatifaid aboroni tisyu ii. siliyajukt aboroni tisyu iii. kiuboyodal aboroni tisyu nicher konoti sothik? A. i o ii B. i o iii C. ii o iii D. i, ii o iii Answer with only A, B, C, or D.","Found in Trachea- i. Pseudo stractified epithelial tissue ii. Ciliated epithelial tissue iii. Cuboidal epithelial tissue Which one is correct? A. i and ii B. i and iii C. ii and iii D. i, ii and iii Answer with only A..."
benqa_ext_10th-Biology_0045,D,Biology,biology,1,0,1,D,B,D,"কীসের সাহায্যে ভ্রূণ জরায়ুর সাথে সংস্থাপিত হয়? A. অ্যামনিয়ন B. রক্তনালী C. আম্বিলিকাল কর্ড D. অমরা Answer with only A, B, C, or D.","kiser sahajye bhrun jorayur sathe songsthapit hoy? A. amoniyon B. roktonali C. ambilikal kord D. omora Answer with only A, B, C, or D.","By which part embryo is implanted with the uterus wall? A. Amnion B. Blood vessel C. Umbilical cord D. Placenta Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0049,B,Biology,biology,1,0,1,B,C,B,"কোনটি প্রোটিন সংশ্লেষণ করে? A. ক্রোমোপ্লাস্ট B. রাইবোজোম C. সেন্ট্রোজোমে D. গলজি বস্তু Answer with only A, B, C, or D.","konoti protin songshleshon kore? A. kromoplast B. raibojom C. sentrojome D. goloji bostu Answer with only A, B, C, or D.","Which one is responsible for protein synthesis? A. Chromoplast B. Ribosome C. Centrosome D. Golgi body Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0063,B,Biology,biology,1,0,1,B,C,B,"ডায়াটম কোন রাজ্যের জীব? A. মনেরা B. প্রোটিস্টা C. ফানজাই D. প্লানটি Answer with only A, B, C, or D.","dayatom kon rajyer jib? A. monera B. protista C. fanojai D. planoti Answer with only A, B, C, or D.","In which of the following kingdom does the diatom belong to? A. Monera B. Protista C. Fungi D. Plantae Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0065,A,Biology,biology,1,0,1,A,C,A,"নিচের কোনটি C_{4} উদ্ভিদ? A. আখ B. আম C. শাপলা D. জবা Answer with only A, B, C, or D.","nicher konoti C_{4} udbhid? A. akh B. am C. shapola D. joba Answer with only A, B, C, or D.","Which one of the following is C_{4} plant? A. Sugarcane B. Mango C. Water lily D. Chinese hibiscus Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0067,B,Biology,biology,1,0,1,B,C,B,"রতনের বয়স ৩৯ বছর। তার ওজন ৬৯ কেজি এবং উচ্চতা ১৭০ সে.মি.। রতনের ক্ষেত্রে প্রযোজ্য- A. শরীরের ওজন কম B. সুস্বাস্থ্যের অধিকারী C. শরীরের ওজন অতিরিক্ত D. অতিরিক্ত মোটাত্ব Answer with only A, B, C, or D.","rotoner boyos 39 bochhor. tar ojon 69 keji ebong uchchota 170 se.mi.. rotoner kshetre projojy- A. shorirer ojon kom B. susbasthyer odhikari C. shorirer ojon otirikt D. otirikt motatb Answer with only A, B, C, or D.","Ratan is 39 years old. His weight is 69 kg and height is 170 cm. Applicable for Ratan- A. Less body weight B. Possesses good health C. Excessive body weight D. Excessive fat Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0069,A,Biology,biology,1,0,1,A,D,A,"জীবাণু ভক্ষণ করে নিচের কোন কণিকা? A. নিউট্রোফিল B. ইওসিনোফিল C. বেসোফিল D. থ্রম্বোসাইট Answer with only A, B, C, or D.","jibanu bhokshon kore nicher kon konika? A. niutrofil B. iosinofil C. besofil D. thrombosait Answer with only A, B, C, or D.","Which of the following blood corpuscle engulfs the germs? A. Neutrophil B. Eosinophil C. Basophil D. Thrombocyte Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0070,B,Biology,biology,1,0,1,B,C,B,"B রক্তের গ্রুপে কোন অ্যান্টিবডি থাকে? A. b B. a C. নেই D. a, b Answer with only A, B, C, or D.","B rokter grupe kon antibodi thake? A. b B. a C. nei D. a, b Answer with only A, B, C, or D.","Which antibody is present in blood group B? A. b B. a C. Not present D. a, b Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0072,C,Biology,biology,1,0,0,C,B,B,"কিডনি প্রতিস্থাপনের জন্য আবশ্যকীয় শর্ত কোনটি? A. পিতামাতা B. রক্তগ্রুপ ম্যাচ C. টিস্যু ম্যাচ D. ব্রেন ডেড Answer with only A, B, C, or D.","kidoni protisthaponer jony aboshyokiy short konoti? A. pitamata B. roktogrup myach C. tisyu myach D. bren ded Answer with only A, B, C, or D.","Which one is the pre-requisite of kidney transplantation? A. Parents B. Matching of blood group C. Matching of tissue D. Brain dead Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0074,A,Biology,biology,1,0,1,A,C,A,"ব্ল্যাকম্যান কত সালে সালোকসংশ্লেষণ প্রক্রিয়াকে দুটি পর্যায়ে ভাগ করেন? A. 1905 B. 1915 C. 1920 D. 1925 Answer with only A, B, C, or D.","blyakomyan kot sale salokosongshleshon prokriyake duti poryaye bhag koren? A. 1905 B. 1915 C. 1920 D. 1925 Answer with only A, B, C, or D.","When Blackman divided photosynthesis into two phases? A. 1905 B. 1915 C. 1920 D. 1925 Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0102,A,Biology,biology,1,0,1,A,D,A,"জীবদেহের শ্বসন, রেচন ইত্যাদি সম্পর্কিত বিজ্ঞান কোনটি? A. শারীরবিদ্যা B. চিকিৎসাবিজ্ঞান C. ফার্মেসি D. প্রাণরসায়ন Answer with only A, B, C, or D.","jibodeher shboson, rechon ityadi somporkit bijnan konoti? A. sharirobidya B. chikitosabijnan C. farmesi D. pranorosayon Answer with only A, B, C, or D.","Which branch deals with respiration, excretion etc. of living organsms? A. Physiology B. Medical Science C. Pharmacy D. Biochemistry Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0110,A,Biology,biology,1,0,1,A,D,A,"C_{6}H_{12}O_{6} + [A] + \xrightarrow{বিভিন্ন এনজাইম}6CO_{2} + 6H_{2}O + শক্তি উদ্দীপকের প্রক্রিয়ায় A এর অনুপস্থিতিতে কত অণু ATP তৈরি হবে? A. 2 B. 8 C. 20 D. 38 Answer with only A, B, C, or D.","C_{6}H_{12}O_{6} + [A] + \xrightarrow{bibhinn enojaim}6CO_{2} + 6H_{2}O + shokti uddipoker prokriyay A er onuposthitite kot onu ATP toiri hobe? A. 2 B. 8 C. 20 D. 38 Answer with only A, B, C, or D.","C_{6}H_{12}O_{6}+[A] \xrightarrow{enzyme} 6CO_{2}+6H_{2}O+energy How many molecules ATP will produce in absence of 'A' in the stem? A. 2 B. 8 C. 20 D. 38 Answer with only A, B, C, or D."
benqa_ext_10th-Biology_0120,D,Biology,biology,1,0,1,D,C,D,"ব্যাকটেরিয়াতে কোন অঙ্গাণুটি উপস্থিত? A. মাইটোকন্ড্রিয়া B. প্লাস্টিড C. এন্ডোপ্লাজমিক রেটিকুলাম D. রাইবোজোম Answer with only A, B, C, or D.","byakoteriyate kon ongganuti uposthit? A. maitokondriya B. plastid C. endoplajomik retikulam D. raibojom Answer with only A, B, C, or D.","Which organelle is present is bacteria? A. Mitochondria B. Plastid C. Endoplasmic reticulum D. Ribosome Answer with only A, B, C, or D."
