request_id,provider,model,id,dataset,task_type,answer_type,variant,variant_label,prompt_mode,gold,parsed,strict_correct,secondary_correct,secondary_reason,secondary_parsed,parsed_empty,choice_invalid,raw_chars,raw_line_count,raw_multiline,long_response_gt120,finish_reason,requested_max_output_tokens,requested_thinking_budget,usage_input_tokens,usage_output_tokens,usage_thoughts_tokens,usage_total_tokens,seconds,key_name,raw_excerpt
banglamath_0230::bangla::baseline,deepseek,deepseek-v4-flash,banglamath_0230,banglamath,short_answer,short_answer,bangla,Bangla,baseline,20%,২০%,True,True,strict,২০%,False,False,3,1,False,False,STOP,128,,52,2,0,54,0.875,DEEPSEEK_API_KEY,২০%
banglamath_0230::banglish_clean::baseline,deepseek,deepseek-v4-flash,banglamath_0230,banglamath,short_answer,short_answer,banglish_clean,Reviewed Banglish,baseline,20%,20%,True,True,strict,20%,False,False,3,1,False,False,STOP,128,,49,2,0,51,1.215,DEEPSEEK_API_KEY,20%
banglamath_0230::english::baseline,deepseek,deepseek-v4-flash,banglamath_0230,banglamath,short_answer,short_answer,english,English,baseline,20%,20%,True,True,strict,20%,False,False,3,1,False,False,STOP,128,,48,2,0,50,1.058,DEEPSEEK_API_KEY,20%
banglamath_0231::bangla::baseline,deepseek,deepseek-v4-flash,banglamath_0231,banglamath,short_answer,short_answer,bangla,Bangla,baseline,২০ টাকা,২০ টাকা,True,True,strict,২০ টাকা,False,False,7,1,False,False,STOP,128,,66,3,0,69,1.177,DEEPSEEK_API_KEY,২০ টাকা
banglamath_0231::banglish_clean::baseline,deepseek,deepseek-v4-flash,banglamath_0231,banglamath,short_answer,short_answer,banglish_clean,Reviewed Banglish,baseline,২০ টাকা,20,False,True,short_numeric_only,20,False,False,2,1,False,False,STOP,128,,60,1,0,61,1.207,DEEPSEEK_API_KEY,20
banglamath_0231::english::baseline,deepseek,deepseek-v4-flash,banglamath_0231,banglamath,short_answer,short_answer,english,English,baseline,২০ টাকা,20 Taka,True,True,strict,20 Taka,False,False,7,1,False,False,STOP,128,,58,3,0,61,1.238,DEEPSEEK_API_KEY,20 Taka
banglamath_0526::bangla::baseline,deepseek,deepseek-v4-flash,banglamath_0526,banglamath,short_answer,short_answer,bangla,Bangla,baseline,৩০ বর্গ মিটার,30 বর্গমিটার,True,True,strict,30 বর্গমিটার,False,False,12,1,False,False,STOP,128,,66,5,0,71,1.439,DEEPSEEK_API_KEY,30 বর্গমিটার
banglamath_0526::banglish_clean::baseline,deepseek,deepseek-v4-flash,banglamath_0526,banglamath,short_answer,short_answer,banglish_clean,Reviewed Banglish,baseline,৩০ বর্গ মিটার,30,False,False,,30,False,False,2,1,False,False,STOP,128,,64,1,0,65,1.440,DEEPSEEK_API_KEY,30
banglamath_0526::english::baseline,deepseek,deepseek-v4-flash,banglamath_0526,banglamath,short_answer,short_answer,english,English,baseline,৩০ বর্গ মিটার,30 square meters,True,True,strict,30 square meters,False,False,16,1,False,False,STOP,128,,58,3,0,61,1.461,DEEPSEEK_API_KEY,30 square meters
banglamath_0552::bangla::baseline,deepseek,deepseek-v4-flash,banglamath_0552,banglamath,short_answer,short_answer,bangla,Bangla,baseline,৪৫০০ বর্গগজ,৪৫০০ বর্গগজ,True,True,strict,৪৫০০ বর্গগজ,False,False,11,1,False,False,STOP,128,,69,8,0,77,1.244,DEEPSEEK_API_KEY,৪৫০০ বর্গগজ
