model,id,variant,dataset,task_type,answer_type,gold,before_correct,after_correct,change,before_parsed,after_parsed,before_seconds,after_seconds,before_source,after_source,after_rewrite_output
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0001,banglish_clean,mgsm,math_word_problem,short_answer,18,False,False,same_wrong,tini krishokoder bajare protidin kot dolar 2.12 uparjon koren.,দুই করে দিমাগো পাওয়া এবং বন্ধুর জন্য পরিদর্শন চারটি দিনে দিতে মাফি হয়েছে। এই পরিদর্শনের দুর্ভাগ্যবশতঃ এই দিনের পরিদর্শ,1.2479,15.7743,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,জন্তু হাসনগুলি পরিদর্শন ১৬তম দিনে দুই করে দিমাগো পারে। এই দিনের পরিদর্শনে দুই করে দিমাগো পাওয়া এবং বন্ধুর জন্য পরিদর্শন চারটি দিনে দিমাগো দিতে মাফি হয়েছে। এই পরিদর্শনের দুর্ভাগ্যবশতঃ এই দিনের পরিদর্শনের দুর্ভাগ্যবশতঃ এই পরিদর্শনের দুর্ভ
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0002,banglish_clean,mgsm,math_word_problem,short_answer,3,False,False,same_wrong,3 ril lagobe,"The story is about 2 red scarves, and for it, 2 ties will be tied.",0.3232,4.1867,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,একটি পোশাক টোরি করেন ২ রিল নিরস্ত এবং তার উত্তরে একটি কোটো গুলি রিল লাগবে?
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0003,banglish_clean,mgsm,math_word_problem,short_answer,70000,False,False,same_wrong,"tini labh korolen 120,000 dolarni.",\[ F = V + \frac{150}{100}V = 2.5V \],0.9107,14.2683,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,জোশ একটি ফ্লিপ করার সিদ্ধান্ত নিয়েছেন। একটি বাজারে একটি বস্তু প্রথমে ছয় হাজার ডলারে খরচ করে প্রাপ্ত হয়েছিল এবং দুই হাজার ডলারে বিক্রি করা হয়েছিল। এর ফলে মুল্য ১৫০% বৃদ্ধি ঘটে। এর ফলে তিনি কতগুলি ডলার লাভ করেছিলেন?
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0004,banglish_clean,mgsm,math_word_problem,short_answer,540,False,False,same_wrong,90,The number of spins in one week is 1,0.2146,12.162,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,জেমোস এক সোপ্তাহে ৩ বার ৩তি স্পিন্টে দৌরান সিড্ডং নিয়েছেন। একটি সোপ্তাহে ৬০ মিটারে দৌরান একটি স্পিন্ট করেন। একটি সোপ্তাহে কত মিটারে দৌরান কয়টি স্পিন্ট করেন?
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0005,banglish_clean,mgsm,math_word_problem,short_answer,20,False,False,same_wrong,30,"ইয়োঁদেন্তি পরিদৃশ্য তন্র পর্যন্ত মুরোগীকে সুস্থ রাখার জন্য একটি নতুন পর্যায় হয়েছে, যেখানে একটি মুরোগীকে তিনটি ক",0.3121,15.7963,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,"ইয়োঁদেন্তি পরিদৃশ্য তন্র পর্যন্ত মুরোগীকে সুস্থ রাখার জন্য একটি নতুন পর্যায় হয়েছে। এই নতুন পর্যায়ে একটি মুরোগীকে তিনটি কাঠামো বা কথা বলা হয়। সাধারণত, একটি মুরোগীকে তিনটি কথা বলা হয়। অন্যদিকে, মুরোগীদের একটি নতুন পর্যায়ে তি�"
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0006,banglish_clean,mgsm,math_word_problem,short_answer,64,False,False,same_wrong,12,"Now, we calculate the total cost for 16 cans at the new price:",0.2388,14.3885,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,"কাইলার তন্র নতুন উপরিস্থিতির জন্য কোনও পরিবর্তন করা হয়নি। একটি কোনও ক্ষেত্রে দাম $5, কিন্তু প্রতিটি ড্বিটি গ্লাস পরিবর্তন দাম হয়েছে মূল্যের 60%। কাইলার 16টি ক্যান্চ কিনতে চাই। এই জন্য একটি গ্রুপের জন্য কত ডলার পরিবর্তন হবে?"
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0007,banglish_clean,mgsm,math_word_problem,short_answer,260,False,False,same_wrong,Yes,2. \( C = S + 4 \),0.1919,15.2796,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,"তুলুজের কাছে চারলোস্টনের থেকে ২০টি বছর বেশি বহন করে যায়। চারলোস্টনের কাছে সিয়াটলোর থেকে ৪টি বছর বেশি বহন করে যায়। যদি সিয়াটলোর কাছে ২০টি বছর বেশি বহন করে থাকে, তাহলে তুলু চারলোস্টন এবং সিয়াটলোর কাছে সর্বমোট বহন করে যাওয়া সম্ভব �"
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0008,banglish_clean,mgsm,math_word_problem,short_answer,160,False,False,same_wrong,karla daunolod korar jony 20 minit shuru koroto hoy.,"কর্লা ২০০ গিগabyte (GB) ফাইলটি সদরদপ্তর থেকে ২ গিগabyte (GB) প্রতিটি মিনিটে ডাউনলোড করার জন্য শুরু করবে, কিন্তু ৪০% ডাউনলোড হওয়",1.0353,15.4814,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,"কর্লা ২০০ গিগabyte (GB) এর একটি ফাইল ডাউনলোড করতে যাচ্ছেন। সদরদপ্তরে তিনটি ২ গিগabyte (GB) প্রতিটি মিনিটে ডাউনলোড করে যাবে, কিন্তু ৪০% ডাউনলোড হওয়ার পর, ওয়াইন্স অপডেট আপডেট করার জন্য একটি রিস্টার্ট হবে, যা ২০ মিনিট সময় পায়। এর পর কর্লা ডাউনলোড করত"
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0009,banglish_clean,mgsm,math_word_problem,short_answer,45,False,False,same_wrong,yes,", I cannot provide a precise response. The text does not contain enough information to formulate an answer that matches the requested answer format.",0.2633,13.4712,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,জন পর্তি ঘন্টায় ৬০ মিনিটে গ্রহণ করে ৩ ঘন্টা গারি চলন ও পরে বৃদ্ধি হয় যে একটি দশটি বর্তমান গুরুত্বপূর্ণ কিছু ভুলে যায় এবং একটি দশটি ফাইর জন। একটি ৪ ঘন্টায় ফাইর চাষে কিছু সংখ্যা হয় কিন্তু প্রথম ২ ঘন্টা তার ট্রাফিক যায় যায় যায় য
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0010,banglish_clean,mgsm,math_word_problem,short_answer,460,False,False,same_wrong,47,Total cost for 5 hours = 5 * $1,0.2235,14.6784,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,"প্রতি সোপানের প্রথম ৪০ ঘণ্টা কাজ করার জন্য প্রতিটি ঘণ্টার ব্যয় $১০। অন্যরকম কাজ করার জন্য একটি তান্ত্রিক পরিমাণ হবে ১.২ গুন। যদি এই সোপানে ৪৫ ঘণ্টা কাজ করার উপর জন্য আসল ব্যয় হয়, তাহলে এই সোপানের উপর জন্য আসল ব্যয় কত?"
