split,model,id,dataset,task_type,answer_type,gold,heuristic,used_selfnorm,before_correct,after_correct,routed_correct,change_vs_baseline,before_parsed,after_parsed,routed_parsed
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0001,mgsm,math_word_problem,short_answer,18,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,2,"প্রশ্নটি অস্পষ্ট এবং পূর্ণ হয়নি। বিশেষ করে ""তিনি ক্রিশকের বাজারে"" কী করছেন তা স্পষ্ট করা হয়নি। তবে যদি প্রশ্নটি হয় যে ""তি�","প্রশ্নটি অস্পষ্ট এবং পূর্ণ হয়নি। বিশেষ করে ""তিনি ক্রিশকের বাজারে"" কী করছেন তা স্পষ্ট করা হয়নি। তবে যদি প্রশ্নটি হয় যে ""তি�"
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0002,mgsm,math_word_problem,short_answer,3,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,"2 ril nil suto ebong tar ordhek sada suto lage, tar mot kotoguli ril lagobe 2.",প্রশ্নটি বাংলা ভাষায় হলো:,প্রশ্নটি বাংলা ভাষায় হলো:
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0003,mgsm,math_word_problem,short_answer,70000,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,"Profit = Final value - Initial cost = $195,000",বারির মূল্য 15,বারির মূল্য 15
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0004,mgsm,math_word_problem,short_answer,540,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,180,প্রতি স্প্রিন্টে ৬০ মিটার দৌড়েন।,প্রতি স্প্রিন্টে ৬০ মিটার দৌড়েন।
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0005,mgsm,math_word_problem,short_answer,20,selfnorm_if_after_nonempty,True,True,False,False,loss,20,"""তিন কপ মুরগির খাবারের মিশ্রণ খায়"" এবং পরে ""সকালে 15 কপ খবর","""তিন কপ মুরগির খাবারের মিশ্রণ খায়"" এবং পরে ""সকালে 15 কপ খবর"
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0006,mgsm,math_word_problem,short_answer,64,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,"So, the actual price per kanch after discount = 60% of $5 = 0.60 × 5 = $3.",একটি কাচের দাম = $5,একটি কাচের দাম = $5
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0007,mgsm,math_word_problem,short_answer,260,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,"→ So, Charlostoner = 4 × Siyatoler","অর্থাৎ, তুলুজ = চার্লোস্টন + ২ × চার্লোস্টন = ৩ ×","অর্থাৎ, তুলুজ = চার্লোস্টন + ২ × চার্লোস্টন = ৩ ×"
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0008,mgsm,math_word_problem,short_answer,160,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,40% of 200 GB,\frac{40}{100} \times 20,\frac{40}{100} \times 20
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0009,mgsm,math_word_problem,short_answer,45,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,4 ghontar sheshe tini bari theke 240 km achhen.,"প্রশ্নটি অস্পষ্ট এবং পূর্ণ হয়নি, তাই তার উপর ভিত্তি করে কোনও সঠিক বিশ্লেষণ বা উত্তর দেয়া যায় না। তবে যদি উদ্দেশ্য হয়","প্রশ্নটি অস্পষ্ট এবং পূর্ণ হয়নি, তাই তার উপর ভিত্তি করে কোনও সঠিক বিশ্লেষণ বা উত্তর দেয়া যায় না। তবে যদি উদ্দেশ্য হয়"
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0010,mgsm,math_word_problem,short_answer,460,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,"In the first 40 hours, Elia works and earns **$10 per hour**.","অতিরিক্ত সময়ের জন্য প্রতি ঘন্টার দর 1.2 গুণ হয়, �","অতিরিক্ত সময়ের জন্য প্রতি ঘন্টার দর 1.2 গুণ হয়, �"
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0011,mgsm,math_word_problem,short_answer,366,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,Tritiy mase ta 30% hras peyechhil → 30% of 60 = 0.30 × 60 = 18,= 60 + 3 × 60 = 60 + 180 = 240 বার,= 60 + 3 × 60 = 60 + 180 = 240 বার
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0012,mgsm,math_word_problem,short_answer,694,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,2,2. **2 দোজন চট কাপোকেক,2. **2 দোজন চট কাপোকেক
