model,scope,scope_label,comparison,baseline_variant,baseline_label,candidate_variant,candidate_label,n,balanced_metric,baseline_correct,candidate_correct,baseline_accuracy,candidate_accuracy,delta_candidate_minus_baseline,ci95_low,ci95_high,banglish_gains,banglish_losses
Qwen2.5-3B,all_benqa_micro,All BEnQA MCQs,banglish_minus_bangla,bangla,Bangla,banglish_clean,Reviewed Banglish,144,False,49,41,0.3403,0.2847,-0.0556,-0.1389,0.0278,15,23
Qwen2.5-3B,all_benqa_micro,All BEnQA MCQs,banglish_minus_english,english,English,banglish_clean,Reviewed Banglish,144,False,66,41,0.4583,0.2847,-0.1736,-0.2708,-0.0764,15,40
Qwen2.5-3B,gold_label_balanced,Gold-label balanced,banglish_minus_bangla,bangla,Bangla,banglish_clean,Reviewed Banglish,144,True,49,41,0.3319,0.2791,-0.0528,-0.1388,0.0337,15,23
Qwen2.5-3B,gold_label_balanced,Gold-label balanced,banglish_minus_english,english,English,banglish_clean,Reviewed Banglish,144,True,66,41,0.4622,0.2791,-0.1831,-0.2775,-0.0884,15,40
Qwen2.5-3B,gold_not_d_micro,Gold not D,banglish_minus_bangla,bangla,Bangla,banglish_clean,Reviewed Banglish,105,False,35,27,0.3333,0.2571,-0.0762,-0.181,0.0381,13,21
Qwen2.5-3B,gold_not_d_micro,Gold not D,banglish_minus_english,english,English,banglish_clean,Reviewed Banglish,105,False,48,27,0.4571,0.2571,-0.2,-0.3143,-0.0857,10,31
Qwen2.5-3B,gold_d_micro,Gold D only,banglish_minus_bangla,bangla,Bangla,banglish_clean,Reviewed Banglish,39,False,14,14,0.359,0.359,0.0,-0.1026,0.1026,2,2
Qwen2.5-3B,gold_d_micro,Gold D only,banglish_minus_english,english,English,banglish_clean,Reviewed Banglish,39,False,18,14,0.4615,0.359,-0.1026,-0.2821,0.0769,5,9
Qwen2.5-7B 8-bit,all_benqa_micro,All BEnQA MCQs,banglish_minus_bangla,bangla,Bangla,banglish_clean,Reviewed Banglish,144,False,60,47,0.4167,0.3264,-0.0903,-0.1875,0.0069,19,32
Qwen2.5-7B 8-bit,all_benqa_micro,All BEnQA MCQs,banglish_minus_english,english,English,banglish_clean,Reviewed Banglish,144,False,86,47,0.5972,0.3264,-0.2708,-0.3682,-0.1736,13,52
Qwen2.5-7B 8-bit,gold_label_balanced,Gold-label balanced,banglish_minus_bangla,bangla,Bangla,banglish_clean,Reviewed Banglish,144,True,60,47,0.4253,0.3331,-0.0921,-0.1844,0.0035,19,32
Qwen2.5-7B 8-bit,gold_label_balanced,Gold-label balanced,banglish_minus_english,english,English,banglish_clean,Reviewed Banglish,144,True,86,47,0.6063,0.3331,-0.2732,-0.3714,-0.1701,13,52
Qwen2.5-7B 8-bit,gold_not_d_micro,Gold not D,banglish_minus_bangla,bangla,Bangla,banglish_clean,Reviewed Banglish,105,False,54,39,0.5143,0.3714,-0.1429,-0.2667,-0.019,15,30
Qwen2.5-7B 8-bit,gold_not_d_micro,Gold not D,banglish_minus_english,english,English,banglish_clean,Reviewed Banglish,105,False,69,39,0.6571,0.3714,-0.2857,-0.4,-0.1714,9,39
Qwen2.5-7B 8-bit,gold_d_micro,Gold D only,banglish_minus_bangla,bangla,Bangla,banglish_clean,Reviewed Banglish,39,False,6,8,0.1538,0.2051,0.0513,-0.0769,0.1795,4,2
Qwen2.5-7B 8-bit,gold_d_micro,Gold D only,banglish_minus_english,english,English,banglish_clean,Reviewed Banglish,39,False,17,8,0.4359,0.2051,-0.2308,-0.4359,-0.0256,4,13
Qwen3-4B,all_benqa_micro,All BEnQA MCQs,banglish_minus_bangla,bangla,Bangla,banglish_clean,Reviewed Banglish,144,False,76,47,0.5278,0.3264,-0.2014,-0.2847,-0.1181,8,37
Qwen3-4B,all_benqa_micro,All BEnQA MCQs,banglish_minus_english,english,English,banglish_clean,Reviewed Banglish,144,False,82,47,0.5694,0.3264,-0.2431,-0.3403,-0.1458,13,48
Qwen3-4B,gold_label_balanced,Gold-label balanced,banglish_minus_bangla,bangla,Bangla,banglish_clean,Reviewed Banglish,144,True,76,47,0.5198,0.3029,-0.2169,-0.2959,-0.1369,8,37
Qwen3-4B,gold_label_balanced,Gold-label balanced,banglish_minus_english,english,English,banglish_clean,Reviewed Banglish,144,True,82,47,0.5578,0.3029,-0.255,-0.3461,-0.1651,13,48
Qwen3-4B,gold_not_d_micro,Gold not D,banglish_minus_bangla,bangla,Bangla,banglish_clean,Reviewed Banglish,105,False,44,13,0.419,0.1238,-0.2952,-0.4,-0.1905,4,35
Qwen3-4B,gold_not_d_micro,Gold not D,banglish_minus_english,english,English,banglish_clean,Reviewed Banglish,105,False,54,13,0.5143,0.1238,-0.3905,-0.4952,-0.2857,3,44
Qwen3-4B,gold_d_micro,Gold D only,banglish_minus_bangla,bangla,Bangla,banglish_clean,Reviewed Banglish,39,False,32,34,0.8205,0.8718,0.0513,-0.0769,0.1795,4,2
Qwen3-4B,gold_d_micro,Gold D only,banglish_minus_english,english,English,banglish_clean,Reviewed Banglish,39,False,28,34,0.7179,0.8718,0.1538,-0.0256,0.3333,10,4
