request_id,provider,model,id,dataset,task_type,answer_type,variant,variant_label,prompt_mode,gold,parsed,strict_correct,secondary_correct,secondary_reason,secondary_parsed,parsed_empty,choice_invalid,raw_chars,raw_line_count,raw_multiline,long_response_gt120,finish_reason,requested_max_output_tokens,requested_thinking_budget,usage_input_tokens,usage_output_tokens,usage_thoughts_tokens,usage_total_tokens,seconds,key_name,raw_excerpt
banglamath_0230::bangla::baseline,groq,llama-3.3-70b-versatile,banglamath_0230,banglamath,short_answer,short_answer,bangla,Bangla,baseline,20%,২০%,True,True,strict,২০%,False,False,3,1,False,False,STOP,128,,102,6,0,108,0.385,GROQ_API_KEY,২০%
banglamath_0230::banglish_clean::baseline,groq,llama-3.3-70b-versatile,banglamath_0230,banglamath,short_answer,short_answer,banglish_clean,Reviewed Banglish,baseline,20%,5,False,False,,5,False,False,1,1,False,False,STOP,128,,80,2,0,82,0.409,GROQ_API_KEY,5
banglamath_0230::english::baseline,groq,llama-3.3-70b-versatile,banglamath_0230,banglamath,short_answer,short_answer,english,English,baseline,20%,20%,True,True,strict,20%,False,False,3,1,False,False,STOP,128,,79,3,0,82,0.400,GROQ_API_KEY,20%
banglamath_0231::bangla::baseline,groq,llama-3.3-70b-versatile,banglamath_0231,banglamath,short_answer,short_answer,bangla,Bangla,baseline,২০ টাকা,20 টাকা,True,True,strict,20 টাকা,False,False,7,1,False,False,STOP,128,,136,7,0,143,0.514,GROQ_API_KEY,20 টাকা
banglamath_0231::banglish_clean::baseline,groq,llama-3.3-70b-versatile,banglamath_0231,banglamath,short_answer,short_answer,banglish_clean,Reviewed Banglish,baseline,২০ টাকা,120,False,False,,120,False,False,3,1,False,False,STOP,128,,91,2,0,93,0.476,GROQ_API_KEY,120
banglamath_0231::english::baseline,groq,llama-3.3-70b-versatile,banglamath_0231,banglamath,short_answer,short_answer,english,English,baseline,২০ টাকা,20,False,True,short_numeric_only,20,False,False,2,1,False,False,STOP,128,,89,2,0,91,0.850,GROQ_API_KEY,20
banglamath_0526::bangla::baseline,groq,llama-3.3-70b-versatile,banglamath_0526,banglamath,short_answer,short_answer,bangla,Bangla,baseline,৩০ বর্গ মিটার,30,False,False,,30,False,False,2,1,False,False,STOP,128,,147,2,0,149,0.376,GROQ_API_KEY,30
banglamath_0526::banglish_clean::baseline,groq,llama-3.3-70b-versatile,banglamath_0526,banglamath,short_answer,short_answer,banglish_clean,Reviewed Banglish,baseline,৩০ বর্গ মিটার,30,False,False,,30,False,False,2,1,False,False,STOP,128,,94,2,0,96,0.394,GROQ_API_KEY,30
banglamath_0526::english::baseline,groq,llama-3.3-70b-versatile,banglamath_0526,banglamath,short_answer,short_answer,english,English,baseline,৩০ বর্গ মিটার,30,False,False,,30,False,False,2,1,False,False,STOP,128,,89,2,0,91,0.389,GROQ_API_KEY,30
banglamath_0552::bangla::baseline,groq,llama-3.3-70b-versatile,banglamath_0552,banglamath,short_answer,short_answer,bangla,Bangla,baseline,৪৫০০ বর্গগজ,4500 বর্গগজ,True,True,strict,4500 বর্গগজ,False,False,11,1,False,False,STOP,128,,150,12,0,162,0.612,GROQ_API_KEY,4500 বর্গগজ
