artifact,check,status,detail
results/tables/main_script_gap_validation200_v5.csv,exists,ok,present
results/tables/main_script_gap_validation200_v5.csv,row_count,ok,rows=3 expected=3
results/tables/main_script_gap_validation200_v5.csv,headers,ok,"Model,Slice,Bangla,Reviewed Banglish,English,Banglish-Bangla,Banglish-English,Interpretation"
results/tables/main_script_gap_validation200.csv,exists,ok,present
results/tables/main_script_gap_validation200.csv,row_count,ok,rows=3 expected=3
results/tables/main_script_gap_validation200.csv,headers,ok,"Model,Family,Slice,Bangla,Banglish,English,Banglish-Bangla,Banglish-English,Interpretation"
results/tables/model_family_scaling_validation200.csv,exists,ok,present
results/tables/model_family_scaling_validation200.csv,row_count,ok,rows=7 expected=7
results/tables/model_family_scaling_validation200.csv,headers,ok,"Model,Family,Slice,Bangla,Banglish,English,Banglish-Bangla,Banglish-English,Interpretation"
results/tables/selfnorm_validation200.csv,exists,ok,present
results/tables/selfnorm_validation200.csv,row_count,ok,rows=3 expected=3
results/tables/selfnorm_validation200.csv,headers,ok,"Model,Slice,Baseline,Self-normalized,Delta,95% CI,Direction p"
results/tables/answer_signal_routing_test150.csv,exists,ok,present
results/tables/answer_signal_routing_test150.csv,row_count,ok,rows=2 expected=2
results/tables/answer_signal_routing_test150.csv,headers,ok,"Model,Rule,Baseline,Always selfnorm,Routed,Routed-Baseline,Routed-Selfnorm,BEnQA routed gain,BanglaMATH routed gain"
results/tables/cross_script_answer_agreement.csv,exists,ok,present
results/tables/cross_script_answer_agreement.csv,row_count,ok,rows=3 expected=3
results/tables/cross_script_answer_agreement.csv,headers,ok,"Model,Banglish,Agreement route,Route-Banglish,Oracle,Oracle-Banglish"
results/tables/generated_view_preservation_v2.csv,exists,ok,present
results/tables/generated_view_preservation_v2.csv,row_count,ok,rows=4 expected=4
results/tables/generated_view_preservation_v2.csv,headers,ok,"Model,Dataset,n,Options changed,Digit sequence changed,Formulas changed,Line count changed,Extra answer markers,Gate implication"
results/tables/deterministic_generated_view_smokes.csv,exists,ok,present
results/tables/deterministic_generated_view_smokes.csv,row_count,ok,rows=10 expected=10
results/tables/deterministic_generated_view_smokes.csv,headers,ok,"Generator,Protection,Dataset,Target view,n,Hard fails,Option failures,Digit failures,Formula failures,Extra answer markers,Latin fragment warnings,Decision"
results/tables/generated_bn_candidate_preservation.csv,exists,ok,present
results/tables/generated_bn_candidate_preservation.csv,row_count,ok,rows=11 expected=11
results/tables/generated_bn_candidate_preservation.csv,headers,ok,"Generator,Protection,Dataset,Target view,n,Hard fails,Option failures,Digit failures,Formula failures,Extra answer markers,Latin fragment warnings,Decision"
results/tables/generated_bn_reference_similarity_dev50.csv,exists,ok,present
results/tables/generated_bn_reference_similarity_dev50.csv,row_count,ok,rows=3 expected=3
results/tables/generated_bn_reference_similarity_dev50.csv,headers,ok,"Rank,Generator,n,Mean CER,Median CER,Mean sequence similarity,Mean Bengali ratio,Exact matches,Decision"
results/tables/generated_bn_answer_audit_dev50.csv,exists,ok,present
results/tables/generated_bn_answer_audit_dev50.csv,row_count,ok,rows=18 expected=18
results/tables/generated_bn_answer_audit_dev50.csv,headers,ok,"Model,Variant,n,Correct,Accuracy,Delta vs Banglish,Delta 95% CI (pts),Direction p,Parsed empty,Gate hard fails,Eligible n,Eligible baseline,Eligible generated,Decision"
results/tables/generated_view_agreement_route_dev.csv,exists,ok,present
results/tables/generated_view_agreement_route_dev.csv,row_count,ok,rows=3 expected=3
results/tables/generated_view_agreement_route_dev.csv,headers,ok,"Route,n,Banglish,Generated-BN,Generated-EN,Routed,Routed-Banglish,Routed items,EN gate fallbacks,Decision"
results/tables/v5_benqa_option_permutation_dev50.csv,exists,ok,present
results/tables/v5_benqa_option_permutation_dev50.csv,row_count,ok,rows=2 expected=2
results/tables/v5_benqa_option_permutation_dev50.csv,headers,ok,"Model,Source items,Identity pred D,Identity wrong D,Rotated identity-D rows,Remain label D,Follow original D content,Semantic match vs identity,Exact semantic-equivariant items,Decision"
results/tables/bnsentmix_external_validation.csv,exists,ok,present
results/tables/bnsentmix_external_validation.csv,row_count,ok,rows=3 expected=3
results/tables/bnsentmix_external_validation.csv,headers,ok,"Model,Rows,Valid outputs,Correct,Accuracy,Macro-F1,Positive recall,Negative recall,Neutral recall,Mixed recall,Interpretation"
results/tables/bnsentmix_model_complementarity.csv,exists,ok,present
results/tables/bnsentmix_model_complementarity.csv,row_count,ok,rows=6 expected=6
results/tables/bnsentmix_model_complementarity.csv,headers,ok,"Result,Count,Delta,Interpretation"
results/tables/bnsentmix_routing_devtest.csv,exists,ok,present
results/tables/bnsentmix_routing_devtest.csv,row_count,ok,rows=3 expected=3
results/tables/bnsentmix_routing_devtest.csv,headers,ok,"Protocol,Selected result,Baseline context,Post-hoc context,Interpretation"
results/tables/diagnostic_model_pilots.csv,exists,ok,present
results/tables/diagnostic_model_pilots.csv,row_count,ok,rows=3 expected=3
results/tables/diagnostic_model_pilots.csv,headers,ok,"Model,Mode,Bangla,Banglish,English,Decision"
results/tables/real_banglish_distribution.csv,exists,ok,present
