panel,scoring,model,comparison,n,baseline_correct,banglish_correct,delta_pts,banglish_losses_b,banglish_gains_c,discordant,mcnemar_exact_p,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,mcnemar_p_holm
validation200_v5_qwen,strict,Qwen2.5-3B,banglish_vs_bangla,200,54,41,-6.5,28,15,43,0.065994,1.839,0.991,3.413,0.065994
validation200_v5_qwen,strict,Qwen2.5-3B,banglish_vs_english,200,71,41,-15.0,45,15,60,0.000135,2.935,1.649,5.224,0.000135
validation200_v5_qwen,strict,Qwen2.5-7B 8-bit,banglish_vs_bangla,200,65,47,-9.0,37,19,56,0.022241,1.923,1.113,3.324,0.044483
validation200_v5_qwen,strict,Qwen2.5-7B 8-bit,banglish_vs_english,200,94,47,-23.5,60,13,73,0.0,4.481,2.484,8.084,0.0
validation200_v5_qwen,strict,Qwen3-4B,banglish_vs_bangla,200,80,49,-15.5,39,8,47,6e-06,4.647,2.215,9.751,1.7e-05
validation200_v5_qwen,strict,Qwen3-4B,banglish_vs_english,200,88,49,-19.5,52,13,65,1e-06,3.889,2.138,7.073,2e-06
validation200_v5_api,strict,Gemini 3.5 Flash,banglish_vs_bangla,200,163,136,-13.5,31,4,35,3e-06,7.0,2.607,18.796,7e-06
validation200_v5_api,strict,Gemini 3.5 Flash,banglish_vs_english,200,144,136,-4.0,17,9,26,0.168638,1.842,0.836,4.058,0.168638
validation200_v5_api,secondary,Gemini 3.5 Flash,banglish_vs_bangla,200,170,161,-4.5,14,5,19,0.063568,2.636,0.988,7.035,0.127136
validation200_v5_api,secondary,Gemini 3.5 Flash,banglish_vs_english,200,165,161,-2.0,12,8,20,0.503445,1.471,0.615,3.515,0.503445
validation200_v5_api,strict,GPT-5.5 low,banglish_vs_bangla,200,172,169,-1.5,6,3,9,0.507812,1.857,0.506,6.811,0.507812
validation200_v5_api,strict,GPT-5.5 low,banglish_vs_english,200,154,169,7.5,6,21,27,0.005925,0.302,0.126,0.727,0.017755
validation200_v5_api,secondary,GPT-5.5 low,banglish_vs_bangla,200,173,174,0.5,2,3,5,1.0,0.714,0.141,3.62,1.0
validation200_v5_api,secondary,GPT-5.5 low,banglish_vs_english,200,168,174,3.0,5,11,16,0.210114,0.478,0.173,1.321,0.420227
validation200_v5_api,strict,Claude Sonnet 4.6,banglish_vs_bangla,200,162,130,-16.0,39,7,46,2e-06,5.267,2.413,11.497,5e-06
validation200_v5_api,strict,Claude Sonnet 4.6,banglish_vs_english,200,153,130,-11.5,44,21,65,0.005918,2.07,1.237,3.463,0.017755
validation200_v5_api,secondary,Claude Sonnet 4.6,banglish_vs_bangla,200,167,133,-17.0,40,6,46,0.0,6.231,2.722,14.263,1e-06
validation200_v5_api,secondary,Claude Sonnet 4.6,banglish_vs_english,200,166,133,-16.5,46,13,59,1.9e-05,3.444,1.879,6.314,5.8e-05
validation200_v5_api,strict,DeepSeek V4 Flash,banglish_vs_bangla,200,143,82,-30.5,68,7,75,0.0,9.133,4.298,19.41,0.0
validation200_v5_api,strict,DeepSeek V4 Flash,banglish_vs_english,200,132,82,-25.0,59,9,68,0.0,6.263,3.158,12.422,0.0
validation200_v5_api,secondary,DeepSeek V4 Flash,banglish_vs_bangla,200,152,96,-28.0,63,7,70,0.0,8.467,3.972,18.046,0.0
validation200_v5_api,secondary,DeepSeek V4 Flash,banglish_vs_english,200,148,96,-26.0,59,7,66,0.0,7.933,3.712,16.954,0.0
validation200_v5_api,strict,Groq Llama 3.3 70B,banglish_vs_bangla,200,90,48,-21.0,56,14,70,0.0,3.897,2.188,6.939,2e-06
validation200_v5_api,strict,Groq Llama 3.3 70B,banglish_vs_english,200,102,48,-27.0,69,15,84,0.0,4.484,2.586,7.776,0.0
validation200_v5_api,secondary,Groq Llama 3.3 70B,banglish_vs_bangla,200,92,56,-18.0,52,16,68,1.4e-05,3.182,1.83,5.532,4.2e-05
validation200_v5_api,secondary,Groq Llama 3.3 70B,banglish_vs_english,200,111,56,-27.5,70,15,85,0.0,4.548,2.625,7.882,0.0
benqa_human_gold_974,strict,Qwen2.5-3B,banglish_vs_bangla,974,323,285,-3.9,153,115,268,0.023633,1.329,1.044,1.692,0.023633
benqa_human_gold_974,strict,Qwen2.5-3B,banglish_vs_english,974,490,285,-21.05,296,91,387,0.0,3.24,2.563,4.096,0.0
benqa_human_gold_974,strict,Gemini 3.5 Flash,banglish_vs_bangla,974,743,633,-11.29,131,21,152,0.0,6.116,3.877,9.65,0.0
benqa_human_gold_974,strict,Gemini 3.5 Flash,banglish_vs_english,974,680,633,-4.83,115,68,183,0.000633,1.686,1.25,2.274,0.000633
benqa_human_gold_974,strict,GPT-5.5 none,banglish_vs_bangla,974,820,699,-12.42,159,38,197,0.0,4.143,2.914,5.89,0.0
