index,id,source_file,source_row,grade,subject,answer,review_status,issue_count,warning_count,issues,warnings,banglish_bengali_char_count,banglish_length_ratio,bangla_digits,banglish_digits,english_digits
1,benqa_ext_8th-Science_0206,literature/code/BEnQA/data/BEnQA/8th-Science.csv,206,8th,Science,D,ai_assisted_review_pass_v1,0,0,,,0,1.096,,,
2,benqa_ext_10th-Chemistry_0275,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,275,10th,Chemistry,A,ai_assisted_review_pass_v1,0,0,,,0,1.04,2|2|3|2|4|5|6,2|2|3|2|4|5|6,2|2|3|2|4|5|6
3,benqa_ext_12th-Biology-II_0037,literature/code/BEnQA/data/BEnQA/12th-Biology-II.csv,37,12th,Biology-II,B,ai_assisted_review_pass_v1,0,0,,,0,1.032,,,
4,benqa_ext_12th-Chemistry-II_0056,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,56,12th,Chemistry-II,B,ai_assisted_review_warn_v1,0,1,,bangla_english_digit_mismatch,0,1.062,3|55|85|5|3|2|1,3|55|85|5|3|2|1,55|85|3|5|3|2|1
5,benqa_ext_12th-Physics-II_0167,literature/code/BEnQA/data/BEnQA/12th-Physics-II.csv,167,12th,Physics-II,A,ai_assisted_review_pass_v1,0,0,,,0,1.083,,,
6,benqa_ext_12th-Math-I_0295,literature/code/BEnQA/data/BEnQA/12th-Math-I.csv,295,12th,Math-I,D,ai_assisted_review_pass_v1,0,0,,,0,1.074,0|1|1,0|1|1,0|1|1
7,benqa_ext_10th-Biology_0346,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,346,10th,Biology,A,ai_assisted_review_pass_v1,0,0,,,0,1.036,,,
8,benqa_ext_12th-Biology-II_0280,literature/code/BEnQA/data/BEnQA/12th-Biology-II.csv,280,12th,Biology-II,C,ai_assisted_review_pass_v1,0,0,,,0,1.106,,,
9,benqa_ext_12th-Chemistry-II_0160,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,160,12th,Chemistry-II,D,ai_assisted_review_pass_v1,0,0,,,0,1.089,3|4|2,3|4|2,3|4|2
10,benqa_ext_10th-Physics_0118,literature/code/BEnQA/data/BEnQA/10th-Physics.csv,118,10th,Physics,C,ai_assisted_review_pass_v1,0,0,,,0,1.086,,,
11,benqa_ext_12th-Physics-I_0052,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,52,12th,Physics-I,C,ai_assisted_review_pass_v1,0,0,,,0,1.114,,,
12,benqa_ext_10th-Physics_0247,literature/code/BEnQA/data/BEnQA/10th-Physics.csv,247,10th,Physics,A,ai_assisted_review_pass_v1,0,0,,,0,1.072,,,
13,benqa_ext_12th-Biology-II_0098,literature/code/BEnQA/data/BEnQA/12th-Biology-II.csv,98,12th,Biology-II,D,ai_assisted_review_pass_v1,0,0,,,0,1.022,,,
14,benqa_ext_8th-Science_0001,literature/code/BEnQA/data/BEnQA/8th-Science.csv,1,8th,Science,D,ai_assisted_review_pass_v1,0,0,,,0,0.986,,,
15,benqa_ext_10th-Biology_0203,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,203,10th,Biology,D,ai_assisted_review_pass_v1,0,0,,,0,1.102,3,3,3
16,benqa_ext_12th-Chemistry-I_0096,literature/code/BEnQA/data/BEnQA/12th-Chemistry-I.csv,96,12th,Chemistry-I,D,ai_assisted_review_pass_v1,0,0,,,0,1.062,,,
17,benqa_ext_12th-Biology-I_0267,literature/code/BEnQA/data/BEnQA/12th-Biology-I.csv,267,12th,Biology-I,D,ai_assisted_review_pass_v1,0,0,,,0,1.149,,,
18,benqa_ext_10th-Math_0036,literature/code/BEnQA/data/BEnQA/10th-Math.csv,36,10th,Math,D,ai_assisted_review_pass_v1,0,0,,,0,1.022,2|1|0|1|2|3|2,2|1|0|1|2|3|2,2|1|0|1|2|3|2
19,benqa_ext_10th-Biology_0281,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,281,10th,Biology,B,ai_assisted_review_warn_v1,0,2,,bangla_english_digit_mismatch;bangla_banglish_formulaish_token_mismatch,0,1.06,2|1|2|1,2|1|2|1,2|2
20,benqa_ext_8th-Math_0156,literature/code/BEnQA/data/BEnQA/8th-Math.csv,156,8th,Math,C,ai_assisted_review_pass_v1,0,0,,,0,1.064,2|1600|1337|8|3200|2672|8,2|1600|1337|8|3200|2672|8,2|1600|1337|8|3200|2672|8
21,benqa_ext_12th-Chemistry-I_0229,literature/code/BEnQA/data/BEnQA/12th-Chemistry-I.csv,229,12th,Chemistry-I,A,ai_assisted_review_pass_v1,0,0,,,0,0.937,,,
22,benqa_ext_10th-Physics_0189,literature/code/BEnQA/data/BEnQA/10th-Physics.csv,189,10th,Physics,A,ai_assisted_review_pass_v1,0,0,,,0,1.094,1,1,1
23,benqa_ext_10th-Math-II_0252,literature/code/BEnQA/data/BEnQA/10th-Math-II.csv,252,10th,Math-II,C,ai_assisted_review_pass_v1,0,0,,,0,1.03,2|3|2|3|2|2|3|5|6|7|6,2|3|2|3|2|2|3|5|6|7|6,2|3|2|3|2|2|3|5|6|7|6
24,benqa_ext_10th-Chemistry_0232,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,232,10th,Chemistry,A,ai_assisted_review_pass_v1,0,0,,,0,1.056,,,
25,benqa_ext_10th-Math-II_0119,literature/code/BEnQA/data/BEnQA/10th-Math-II.csv,119,10th,Math-II,B,ai_assisted_review_pass_v1,0,0,,,0,1.041,8|64|1|02|2|01|2|03|3|02,8|64|1|02|2|01|2|03|3|02,8|64|1|02|2|01|2|03|3|02
26,benqa_ext_8th-Science_0083,literature/code/BEnQA/data/BEnQA/8th-Science.csv,83,8th,Science,D,ai_assisted_review_pass_v1,0,0,,,0,1.041,2|2,2|2,2|2
27,benqa_ext_10th-Chemistry_0376,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,376,10th,Chemistry,B,ai_assisted_review_pass_v1,0,0,,,0,1.076,,,
28,benqa_ext_10th-Chemistry_0072,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,72,10th,Chemistry,B,ai_assisted_review_pass_v1,0,0,,,0,1.083,2|2,2|2,2|2
29,benqa_ext_12th-Chemistry-II_0258,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,258,12th,Chemistry-II,D,ai_assisted_review_warn_v1,0,1,,bangla_english_digit_mismatch,0,1.019,8|316|10|7|1|1|0|0821|1|1|8|314|1|1,8|316|10|7|1|1|0|0821|1|1|8|314|1|1,8|316|10|7|1|0|0821|1|8|314|1|1
30,benqa_ext_12th-Math-I_0279,literature/code/BEnQA/data/BEnQA/12th-Math-I.csv,279,12th,Math-I,B,ai_assisted_review_pass_v1,0,0,,,0,1.091,,,
31,benqa_ext_10th-Physics_0164,literature/code/BEnQA/data/BEnQA/10th-Physics.csv,164,10th,Physics,A,ai_assisted_review_pass_v1,0,0,,,0,1.026,,,
32,benqa_ext_10th-Biology_0069,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,69,10th,Biology,A,ai_assisted_review_pass_v1,0,0,,,0,1.058,,,
33,benqa_ext_8th-Science_0060,literature/code/BEnQA/data/BEnQA/8th-Science.csv,60,8th,Science,B,ai_assisted_review_pass_v1,0,0,,,0,1.125,,,
34,benqa_ext_12th-Physics-I_0003,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,3,12th,Physics-I,C,ai_assisted_review_warn_v1,0,1,,suspicious_romanization_pattern:\btb[a-z]+,0,1.105,15|1|30|2|0|785|1|57|3|14|6|28,15|1|30|2|0|785|1|57|3|14|6|28,15|1|30|2|0|785|1|57|3|14|6|28
35,benqa_ext_12th-Biology-II_0172,literature/code/BEnQA/data/BEnQA/12th-Biology-II.csv,172,12th,Biology-II,A,ai_assisted_review_pass_v1,0,0,,,0,1.083,,,
36,benqa_ext_12th-Chemistry-I_0250,literature/code/BEnQA/data/BEnQA/12th-Chemistry-I.csv,250,12th,Chemistry-I,A,ai_assisted_review_pass_v1,0,0,,,0,1.013,2|2|2|2|2|2|2|2|2|2,2|2|2|2|2|2|2|2|2|2,2|2|2|2|2|2|2|2|2|2
37,benqa_ext_10th-Chemistry_0108,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,108,10th,Chemistry,B,ai_assisted_review_pass_v1,0,0,,,0,1.067,33|63|64|67,33|63|64|67,33|63|64|67
38,benqa_ext_10th-Physics_0080,literature/code/BEnQA/data/BEnQA/10th-Physics.csv,80,10th,Physics,B,ai_assisted_review_pass_v1,0,0,,,0,1.016,,,
39,benqa_ext_12th-Biology-II_0176,literature/code/BEnQA/data/BEnQA/12th-Biology-II.csv,176,12th,Biology-II,C,ai_assisted_review_pass_v1,0,0,,,0,1.022,,,
40,benqa_ext_12th-Physics-II_0320,literature/code/BEnQA/data/BEnQA/12th-Physics-II.csv,320,12th,Physics-II,B,ai_assisted_review_pass_v1,0,0,,,0,1.012,1|1,1|1,1|1
41,benqa_ext_12th-Chemistry-I_0089,literature/code/BEnQA/data/BEnQA/12th-Chemistry-I.csv,89,12th,Chemistry-I,A,ai_assisted_review_pass_v1,0,0,,,0,1.173,,,
42,benqa_ext_12th-Chemistry-I_0226,literature/code/BEnQA/data/BEnQA/12th-Chemistry-I.csv,226,12th,Chemistry-I,C,ai_assisted_review_pass_v1,0,0,,,0,1.09,,,
