tier,id,dataset,domain,subject,grade,task_type,review_label,gold,fragile_model_count,strict_model_count,fragile_models,strict_models,bangla_prompt,banglish_prompt,english_prompt,qwen25_3b_pattern,qwen25_3b_bangla_parsed,qwen25_3b_banglish_parsed,qwen25_3b_english_parsed,qwen25_7b_8_bit_pattern,qwen25_7b_8_bit_bangla_parsed,qwen25_7b_8_bit_banglish_parsed,qwen25_7b_8_bit_english_parsed,qwen3_4b_pattern,qwen3_4b_bangla_parsed,qwen3_4b_banglish_parsed,qwen3_4b_english_parsed
main_all_three_strict,banglamath_0229,banglamath,math,,six,short_answer,unreviewed,1.5,3,3,"Qwen2.5-3B, Qwen2.5-7B 8-bit, Qwen3-4B","Qwen2.5-3B, Qwen2.5-7B 8-bit, Qwen3-4B",১৫০% কে দশমিক ভগ্নাংশে প্রকাশ করলে কী হয় Return only the final answer.,150% ke doshomik bhognangshe prokash korole ki hoy Return only the final answer.,What is 150% expressed as a decimal? Return only the final answer.,bangla_english_correct_banglish_wrong,1.50,50%,1.5,bangla_english_correct_banglish_wrong,1.5,3七年五个月,1.5,bangla_english_correct_banglish_wrong,1.5,150,1.5
main_all_three_strict,banglamath_0230,banglamath,math,,six,short_answer,minor_edit,20%,3,3,"Qwen2.5-3B, Qwen2.5-7B 8-bit, Qwen3-4B","Qwen2.5-3B, Qwen2.5-7B 8-bit, Qwen3-4B",২৫ টাকা ১২৫ টাকার শতকরা কত Return only the final answer.,25 taka 125 takar shotkora koto Return only the final answer.,25 Taka is what percent of 125 Taka? Return only the final answer.,bangla_english_correct_banglish_wrong,20%,100 taka,20%,bangla_english_correct_banglish_wrong,20%,5,20%,bangla_english_correct_banglish_wrong,25 টাকা 125 টাকার শতকরা = (25 / 125) × 100 = 20%,.,20%
main_all_three_strict,benqa_10th-Math_0044,benqa,math,Math,10th,mcq,minor_edit,C,3,3,"Qwen2.5-3B, Qwen2.5-7B 8-bit, Qwen3-4B","Qwen2.5-3B, Qwen2.5-7B 8-bit, Qwen3-4B","একটি বর্গের কতটি প্রতিসাম্য রেখা আছে? A. 8টি B. 6টি C. 4টি D. 2টি Answer with only A, B, C, or D.","ekti borger kototi protisamy rekha ache? A. 8ti B. 6ti C. 4ti D. 2ti Answer with only A, B, C, or D.","How many lines of symmetry does a square have? A. 8 B. 6 C. 4 D. 2 Answer with only A, B, C, or D.",bangla_english_correct_banglish_wrong,C,B,C,bangla_english_correct_banglish_wrong,C,A,C,bangla_english_correct_banglish_wrong,C,D,C
main_all_three_strict,benqa_10th-Physics_0021,benqa,physics,Physics,10th,mcq,minor_edit,C,3,3,"Qwen2.5-3B, Qwen2.5-7B 8-bit, Qwen3-4B","Qwen2.5-3B, Qwen2.5-7B 8-bit, Qwen3-4B","কোনটি মৌলিক একক? A. জুল B. নিউটন C. ক্যান্ডেলা D. প্যাসকেল Answer with only A, B, C, or D.","konti moulik ekok? A. jul B. niuton C. kyandela D. pyasokel Answer with only A, B, C, or D.","Which one is fundamental unit? A. Joule B. Newton C. Candela D. Pascal Answer with only A, B, C, or D.",bangla_english_correct_banglish_wrong,C,B,C,bangla_english_correct_banglish_wrong,C,A,C,bangla_english_correct_banglish_wrong,C,D,C
main_all_three_strict,benqa_8th-Science_0202,benqa,science,Science,8th,mcq,minor_edit,C,3,3,"Qwen2.5-3B, Qwen2.5-7B 8-bit, Qwen3-4B","Qwen2.5-3B, Qwen2.5-7B 8-bit, Qwen3-4B",সঠিক খাদ্য-শৃঙ্খল কোনটি? A. ঘাস \rightarrow ফাইটোপ্ল্যাংকটন \rightarrow জুপ্লাঙ্কটন B. জু-প্লাঙ্কটন \rightarrow ফাইটোপ্ল্যাংকটন\rightarrow ছোটমাস C. ফাইটোপ্লাঙ্কটন \rightarrow জু-প্লাঙ্কটন \rightarrow ছোটমাছ D. ঘাস\rightarrow ব্যাঙ\right...,sothik khaddo-shringkhol konti? A. ghas \rightarrow faitoplyangkoton \rightarrow juplangkoton B. ju-plangkoton \rightarrow faitoplyangkoton\rightarrow chhotomas C. faitoplangkoton \rightarrow ju-plangkoton \rightarrow chhotomachh D. ghas...,Which one is the correct food chain A. Grass\rightarrow Phytoplankton\rightarrow Zooplankton B. Zooplankot\rightarrow Phytoplankton\rightarrow Small fish C. Phytoplankton\rightarrow Zooplankton\rightarrow Small fish D. Grass\rightarrow F...,bangla_english_correct_banglish_wrong,C,A,C,bangla_english_correct_banglish_wrong,C,A,C,bangla_english_correct_banglish_wrong,C,A,C
appendix_shared_strict,banglamath_0526,banglamath,math,,seven,short_answer,minor_edit,৩০ বর্গ মিটার,3,2,"Qwen2.5-3B, Qwen2.5-7B 8-bit, Qwen3-4B","Qwen2.5-3B, Qwen2.5-7B 8-bit",একটি ত্রিভুজের ভূমি ১০ মিটার ও উচ্চতা ৬ মিটার হলে ক্ষেত্রফল কত Return only the final answer.,ekti tribhujer bhumi 10 mitar o ucchota 6 mitar hole khetrofol koto Return only the final answer.,"If a triangle has a base of 10 meters and height of 6 meters, what is its area? Return only the final answer.",bangla_english_correct_banglish_wrong,30 বর্গমিটার,3,30 square meters,bangla_english_correct_banglish_wrong,30 বর্গমিটার,30,30 square meters,english_only_correct,30,60 mitar²,30 square meters
appendix_shared_strict,benqa_12th-Biology-I_0222,benqa,biology-i,Biology-I,12th,mcq,minor_edit,A,2,2,"Qwen2.5-3B, Qwen2.5-7B 8-bit","Qwen2.5-3B, Qwen2.5-7B 8-bit","উদ্ভিদ কোনটি মাটি হতে নেয়? A. নাইট্রোজেন B. হাইড্রোজেন C. অক্সিজেন D. কার্বন Answer with only A, B, C, or D.","udbhid konti mati hote ney? A. naitrojen B. haidrojen C. oksijen D. karbon Answer with only A, B, C, or D.","What does the plant take from the soild? A. Nitrogen B. Hydrogen C. Oxygen D. Carbon Answer with only A, B, C, or D.",bangla_english_correct_banglish_wrong,A,C,A,bangla_english_correct_banglish_wrong,A,B,A,all_wrong,D,D,D
appendix_shared_strict,benqa_12th-Biology-I_0283,benqa,biology-i,Biology-I,12th,mcq,minor_edit,A,3,2,"Qwen2.5-3B, Qwen2.5-7B 8-bit, Qwen3-4B","Qwen2.5-7B 8-bit, Qwen3-4B","পেঁপের রিং স্পট রোগের লক্ষণ হলো- i. পাতার বোটায় পানি ভেজা সবুজ দাগ দেখা যায় ii. পেঁপের মিষ্টতা হ্রাস পায় iii. ফলের আকার বড় হয় নিচের কোনটি সঠিক? A. i ও ii B. ii ও iii C. i ও iii D. i, ii, ও iii Answer with only A, B, C, or D.","penper ring spot roger lokshon holo- i. patar botay pani bheja sobuj dag dekha jay ii. penper mishtota hras pay iii. foler akar bor hoy nicher konti sothik? A. i o ii B. ii o iii C. i o iii D. i, ii, o iii Answer with only A, B, C, or D.","Symptoms of ring spot disease in papaya is- i. observance of wet green spot on the petiole of leaves ii. reduction of sweetness of papaya iii. enlarging of the size of fruit Which one is correct? A. i & ii B. ii & iii C. i & iii D. i, ii...",english_only_correct,D,D,A,bangla_english_correct_banglish_wrong,A,D,A,bangla_english_correct_banglish_wrong,A,D,A
appendix_shared_strict,benqa_12th-Biology-II_0179,benqa,biology-ii,Biology-II,12th,mcq,unreviewed,A,3,2,"Qwen2.5-3B, Qwen2.5-7B 8-bit, Qwen3-4B","Qwen2.5-7B 8-bit, Qwen3-4B","রক্ত জমাট বাঁধতে কোন ধাতব আয়ন সহায়তা করে? A. Ca^{++} B. Mg^{++} C. Cu^{++} D. Fe^{++} Answer with only A, B, C, or D.","rokt jomat bandhote kon dhatob ayon sohayota kore? A. Ca^{++} B. Mg^{++} C. Cu^{++} D. Fe^{++} Answer with only A, B, C, or D.","Which metallic ion help to blood clotting? A. Ca^{++} B. Mg^{++} C. Cu^{++} D. Fe^{++} Answer with only A, B, C, or D.",english_only_correct,D,B,A,bangla_english_correct_banglish_wrong,A,D,A,bangla_english_correct_banglish_wrong,A,D,A
appendix_shared_strict,benqa_12th-Biology-II_0287,benqa,biology-ii,Biology-II,12th,mcq,minor_edit,B,2,2,"Qwen2.5-7B 8-bit, Qwen3-4B","Qwen2.5-7B 8-bit, Qwen3-4B","প্রোটিন পরিপাকে অংশ নেয় কোনটি? i. পেপসিন ii. অ্যামাইলেজ iii. কার্বক্সিপেপটাইড নিচের কোনটি সঠিক? A. i ও ii B. i ও iii C. ii ও iii D. i, ii, ও iii Answer with only A, B, C, or D.","protin poripake ongsh ney konti? i. peposin ii. amailej iii. karboksipepotaid nicher konti sothik? A. i o ii B. i o iii C. ii o iii D. i, ii, o iii Answer with only A, B, C, or D.","What participate in protein digestion? i. pepsin ii.Amylase iii.Carboxypeptide Which one is correct? A. i & ii B. i & iii C. ii & iii D. I,ii & iii Answer with only A, B, C, or D.",banglish_english_correct_bangla_wrong,D,B,B,bangla_english_correct_banglish_wrong,B,D,B,bangla_english_correct_banglish_wrong,B,D,B
