score_mode,dataset,comparison,left_variant,right_variant,n,left_correct,right_correct,delta_points,both_correct,left_only,right_only,both_wrong,discordant,exact_binomial_p_two_sided
strict,all,Banglish - Bangla,bangla,banglish_clean,10,7,1,-60.0,0,7,1,2,8,0.070312
strict,all,Banglish - English,english,banglish_clean,10,7,1,-60.0,1,6,0,3,6,0.03125
strict,benqa,Banglish - Bangla,bangla,banglish_clean,6,4,1,-50.0,0,4,1,1,5,0.375
strict,benqa,Banglish - English,english,banglish_clean,6,6,1,-83.3,1,5,0,0,5,0.0625
strict,banglamath,Banglish - Bangla,bangla,banglish_clean,4,3,0,-75.0,0,3,0,1,3,0.25
strict,banglamath,Banglish - English,english,banglish_clean,4,1,0,-25.0,0,1,0,3,1,1.0
secondary,all,Banglish - Bangla,bangla,banglish_clean,10,7,2,-50.0,1,6,1,2,7,0.125
secondary,all,Banglish - English,english,banglish_clean,10,9,2,-70.0,2,7,0,1,7,0.015625
secondary,benqa,Banglish - Bangla,bangla,banglish_clean,6,4,1,-50.0,0,4,1,1,5,0.375
secondary,benqa,Banglish - English,english,banglish_clean,6,6,1,-83.3,1,5,0,0,5,0.0625
secondary,banglamath,Banglish - Bangla,bangla,banglish_clean,4,3,1,-50.0,1,2,0,1,2,0.5
secondary,banglamath,Banglish - English,english,banglish_clean,4,3,1,-50.0,1,2,0,1,2,0.5
