model,id,subject,gold,pred_option,correct,d_is_longest,d_is_composite,gold_is_longest,pred_is_longest,pred_is_composite,pred_char_len,pred_token_len,pred_length_rank,longest_options,longest_option_count,d_char_len,d_token_len,A_char_len,B_char_len,C_char_len,D_char_len,A_is_composite,B_is_composite,C_is_composite,D_is_composite
Qwen2.5-3B,benqa_10th-Biology_0057,Biology,C,D,False,True,True,False,True,True,11,4,1,D,1,11,4,6,8,7,11,True,True,True,True
Qwen2.5-3B,benqa_10th-Biology_0090,Biology,C,A,False,False,False,True,False,False,4,1,3,C,1,3,1,4,5,7,3,False,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0128,Biology,A,C,False,False,False,False,True,False,18,3,1,C,1,13,2,13,6,18,13,False,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0143,Biology,C,B,False,False,False,True,False,False,9,1,3,C,1,15,2,9,9,17,15,False,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0149,Biology,B,A,False,True,False,False,False,False,9,1,2,D,1,10,1,9,6,6,10,False,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0156,Biology,C,B,False,True,False,True,True,False,2,1,1,A;B;C;D,4,2,1,2,2,2,2,False,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0188,Biology,A,B,False,True,False,True,True,False,1,1,1,A;B;C;D,4,1,1,1,1,1,1,False,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0197,Biology,D,A,False,True,False,True,False,False,9,1,2,D,1,13,1,9,8,8,13,False,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0213,Biology,A,D,False,False,False,True,False,False,10,2,2,A,1,10,2,11,10,10,10,False,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0215,Biology,B,D,False,True,True,False,True,True,11,4,1,D,1,11,4,6,7,8,11,True,True,True,True
Qwen2.5-3B,benqa_10th-Biology_0277,Biology,C,D,False,True,True,False,True,True,11,4,1,D,1,11,4,6,7,8,11,True,True,True,True
Qwen2.5-3B,benqa_10th-Biology_0339,Biology,D,A,False,True,False,True,False,False,9,2,2,D,1,11,1,9,7,6,11,False,False,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0041,Chemistry,D,D,True,False,False,False,False,False,32,4,3,A,1,32,4,41,35,25,32,False,False,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0110,Chemistry,C,A,False,True,False,False,False,False,8,1,3,D,1,15,1,8,3,10,15,False,False,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0111,Chemistry,D,B,False,True,False,True,False,False,6,1,2,D,1,7,1,6,6,6,7,False,False,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0132,Chemistry,A,B,False,False,False,True,False,False,7,1,2,A,1,6,1,8,7,6,6,False,False,False,False
