request_id,provider,model,id,dataset,task_type,answer_type,variant,variant_label,prompt_mode,gold,parsed,strict_correct,secondary_correct,secondary_reason,secondary_parsed,parsed_empty,choice_invalid,raw_chars,raw_line_count,raw_multiline,long_response_gt120,finish_reason,requested_max_output_tokens,requested_thinking_budget,usage_input_tokens,usage_output_tokens,usage_thoughts_tokens,usage_total_tokens,seconds,key_name,raw_excerpt
banglamath_0230::bangla::baseline,anthropic,claude-sonnet-4-6,banglamath_0230,banglamath,short_answer,short_answer,bangla,Bangla,baseline,20%,২৫ টাকা ১২৫ টাকার = (২৫/১২৫) × ১০০ = **২০%,True,True,strict,২৫ টাকা ১২৫ টাকার = (২৫/১২৫) × ১০০ = **২০%,False,False,44,1,False,False,STOP,128,,67,45,0,0,2.598,ANTHROPIC_API_KEY,২৫ টাকা ১২৫ টাকার = (২৫/১২৫) × ১০০ = **২০%**
banglamath_0230::banglish_clean::baseline,anthropic,claude-sonnet-4-6,banglamath_0230,banglamath,short_answer,short_answer,banglish_clean,Reviewed Banglish,baseline,20%,25 taka 125 takar shotkora = (25/125) × 100 = **20%,True,True,strict,25 taka 125 takar shotkora = (25/125) × 100 = **20%,False,False,53,1,False,False,STOP,128,,56,31,0,0,2.082,ANTHROPIC_API_KEY,25 taka 125 takar shotkora = (25/125) × 100 = **20%**
banglamath_0230::english::baseline,anthropic,claude-sonnet-4-6,banglamath_0230,banglamath,short_answer,short_answer,english,English,baseline,20%,20%,True,True,strict,20%,False,False,3,1,False,False,STOP,128,,58,6,0,0,1.668,ANTHROPIC_API_KEY,20%
banglamath_0231::bangla::baseline,anthropic,claude-sonnet-4-6,banglamath_0231,banglamath,short_answer,short_answer,bangla,Bangla,baseline,২০ টাকা,ক্রয়মূল্য = ২৪,False,False,,ক্রয়মূল্য = ২৪,False,False,136,5,True,True,MAX_TOKENS,128,,89,128,0,0,3.279,ANTHROPIC_API_KEY,**ক্রয়মূল্য নির্ণয়:** বিক্রয়মূল্য = ক্রয়মূল্য × (১ + লাভ%) ২৪ = ক্রয়মূল্য × (১ + ২০/১০০) ২৪ = ক্রয়মূল্য × ১.২০ ক্রয়মূল্য = ২৪
banglamath_0231::banglish_clean::baseline,anthropic,claude-sonnet-4-6,banglamath_0231,banglamath,short_answer,short_answer,banglish_clean,Reviewed Banglish,baseline,২০ টাকা,= (২৪ × ১০০) ÷ (১০০,False,False,,= (২৪ × ১০০) ÷ (১০০,False,False,135,6,True,True,MAX_TOKENS,128,,67,128,0,0,3.777,ANTHROPIC_API_KEY,**ক্রয়মূল্য নির্ণয়:** বিক্রয়মূল্য = ২৪ টাকা লাভ = ২০% সূত্র: ক্রয়মূল্য = (বিক্রয়মূল্য × ১০০) ÷ (১০০ + লাভ%) = (২৪ × ১০০) ÷ (১০০
banglamath_0231::english::baseline,anthropic,claude-sonnet-4-6,banglamath_0231,banglamath,short_answer,short_answer,english,English,baseline,২০ টাকা,Cost Price = 24 / 1.20 = **20 Taka,True,True,strict,Cost Price = 24 / 1.20 = **20 Taka,False,False,79,2,True,False,STOP,128,,66,38,0,0,2.245,ANTHROPIC_API_KEY,Cost Price = Selling Price / (1 + Profit%) Cost Price = 24 / 1.20 = **20 Taka**
banglamath_0526::bangla::baseline,anthropic,claude-sonnet-4-6,banglamath_0526,banglamath,short_answer,short_answer,bangla,Bangla,baseline,৩০ বর্গ মিটার,= **৩০ বর্গমিটার,True,True,strict,= **৩০ বর্গমিটার,False,False,73,3,True,False,STOP,128,,100,71,0,0,2.484,ANTHROPIC_API_KEY,ত্রিভুজের ক্ষেত্রফল = ½ × ভূমি × উচ্চতা = ½ × ১০ × ৬ = **৩০ বর্গমিটার**
banglamath_0526::banglish_clean::baseline,anthropic,claude-sonnet-4-6,banglamath_0526,banglamath,short_answer,short_answer,banglish_clean,Reviewed Banglish,baseline,৩০ বর্গ মিটার,= **30 বর্গ মিটার,True,True,strict,= **30 বর্গ মিটার,False,False,78,3,True,False,STOP,128,,70,70,0,0,2.908,ANTHROPIC_API_KEY,**ত্রিভুজের ক্ষেত্রফল = ½ × ভূমি × উচ্চতা** = ½ × 10 × 6 = **30 বর্গ মিটার**
banglamath_0526::english::baseline,anthropic,claude-sonnet-4-6,banglamath_0526,banglamath,short_answer,short_answer,english,English,baseline,৩০ বর্গ মিটার,30 square meters,True,True,strict,30 square meters,False,False,16,1,False,False,STOP,128,,66,8,0,0,1.671,ANTHROPIC_API_KEY,30 square meters
banglamath_0552::bangla::baseline,anthropic,claude-sonnet-4-6,banglamath_0552,banglamath,short_answer,short_answer,bangla,Bangla,baseline,৪৫০০ বর্গগজ,= **৪৫০০ বর্গগজ,True,True,strict,= **৪৫০০ বর্গগজ,False,False,59,3,True,False,STOP,128,,102,60,0,0,3.072,ANTHROPIC_API_KEY,**ক্ষেত্রফল = ভূমি × উচ্চতা** = ৯০ × ৫০ = **৪৫০০ বর্গগজ**
