model,id,gold,banglish_option,banglish_correct,banglish_D,banglish_wrong_D,banglish_invalid,highest_coverage_options,lowest_coverage_options,max_option_coverage,min_option_coverage,d_coverage,d_coverage_rank,d_among_highest_coverage,d_not_highest_coverage,d_among_lowest_coverage,d_not_lowest_coverage,d_strict_highest_coverage,all_options_same_coverage,A_coverage,B_coverage,C_coverage,D_coverage,A_token_count,B_token_count,C_token_count,D_token_count,A_seen_token_count,B_seen_token_count,C_seen_token_count,D_seen_token_count
Qwen2.5-3B,benqa_10th-Biology_0057,C,D,False,True,True,False,A,C,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.5,0.0,0.5,1,2,1,2,1,1,0,1
Qwen2.5-3B,benqa_10th-Biology_0090,C,A,False,False,False,False,A,B;C;D,1.0,0.0,0.0,2,False,True,True,False,False,False,1.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
Qwen2.5-3B,benqa_10th-Biology_0128,A,C,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,2,1,3,2,0,0,0,0
Qwen2.5-3B,benqa_10th-Biology_0143,C,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,2,2,0,0,0,0
Qwen2.5-3B,benqa_10th-Biology_0149,B,A,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-3B,benqa_10th-Biology_0156,C,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-3B,benqa_10th-Biology_0188,A,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-3B,benqa_10th-Biology_0197,D,A,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-3B,benqa_10th-Biology_0213,A,D,False,True,True,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0
Qwen2.5-3B,benqa_10th-Biology_0215,B,D,False,True,True,False,A,B,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.0,0.5,0.5,1,1,2,2,1,0,1,1
Qwen2.5-3B,benqa_10th-Biology_0277,C,D,False,True,True,False,A,B,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.0,0.5,0.5,1,1,2,2,1,0,1,1
Qwen2.5-3B,benqa_10th-Biology_0339,D,A,False,False,False,False,A,B;C;D,0.5,0.0,0.0,2,False,True,True,False,False,False,0.5,0.0,0.0,0.0,2,1,1,1,1,0,0,0
Qwen2.5-3B,benqa_10th-Chemistry_0041,D,D,True,True,False,False,B;D,A,0.4,0.0,0.4,1,True,False,False,True,False,False,0.0,0.4,0.3333,0.4,3,5,3,5,0,2,1,2
Qwen2.5-3B,benqa_10th-Chemistry_0110,C,A,False,False,False,False,C,A;B;D,0.5,0.0,0.0,2,False,True,True,False,False,False,0.0,0.0,0.5,0.0,1,1,2,2,0,0,1,0
Qwen2.5-3B,benqa_10th-Chemistry_0111,D,B,False,False,False,False,A;B;C;D,A;B;C;D,1.0,1.0,1.0,1,True,False,True,False,False,True,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1
Qwen2.5-3B,benqa_10th-Chemistry_0132,A,B,False,False,False,False,A,B;C;D,0.6667,0.0,0.0,2,False,True,True,False,False,False,0.6667,0.0,0.0,0.0,3,1,1,1,2,0,0,0
Qwen2.5-3B,benqa_10th-Chemistry_0191,A,D,False,True,True,False,A,C,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.5,0.0,0.5,1,2,1,2,1,1,0,1
Qwen2.5-3B,benqa_10th-Chemistry_0194,D,C,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-3B,benqa_10th-Chemistry_0280,A,D,False,True,True,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-3B,benqa_10th-Chemistry_0322,B,B,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-3B,benqa_10th-Chemistry_0336,D,D,True,True,False,False,A,B,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.0,0.5,0.5,1,1,2,2,1,0,1,1
Qwen2.5-3B,benqa_10th-Chemistry_0374,B,B,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-3B,benqa_10th-Chemistry_0388,D,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-3B,benqa_10th-Math-II_0062,C,C,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-3B,benqa_10th-Math-II_0102,D,C,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-3B,benqa_10th-Math-II_0139,A,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
