model,id,gold,bangla_option,banglish_option,english_option,bangla_correct,banglish_correct,english_correct,alternate_correct_count,recoverable_banglish_miss,strict_recoverable_banglish_miss,valid_recoverable_banglish_miss,invalid_recoverable_banglish_miss,wrong_transition,banglish_matches_bangla_option,banglish_matches_english_option
Qwen2.5-3B,benqa_10th-Biology_0057,C,C,D,D,True,False,False,1,True,False,True,False,C->D,False,True
Qwen2.5-3B,benqa_10th-Biology_0090,C,B,A,D,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-3B,benqa_10th-Biology_0128,A,A,C,A,True,False,True,2,True,True,True,False,A->C,False,False
Qwen2.5-3B,benqa_10th-Biology_0143,C,A,B,A,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-3B,benqa_10th-Biology_0149,B,B,A,C,True,False,False,1,True,False,True,False,B->A,False,False
Qwen2.5-3B,benqa_10th-Biology_0156,C,B,B,B,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_10th-Biology_0188,A,B,B,B,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_10th-Biology_0197,D,D,A,A,True,False,False,1,True,False,True,False,D->A,False,True
Qwen2.5-3B,benqa_10th-Biology_0213,A,A,D,D,True,False,False,1,True,False,True,False,A->D,False,True
Qwen2.5-3B,benqa_10th-Biology_0215,B,D,D,B,False,False,True,1,True,False,True,False,B->D,True,False
Qwen2.5-3B,benqa_10th-Biology_0277,C,B,D,D,False,False,False,0,False,False,False,False,,False,True
Qwen2.5-3B,benqa_10th-Biology_0339,D,B,A,D,False,False,True,1,True,False,True,False,D->A,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0041,D,A,D,D,False,True,True,1,False,False,False,False,,False,True
Qwen2.5-3B,benqa_10th-Chemistry_0110,C,D,A,C,False,False,True,1,True,False,True,False,C->A,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0111,D,B,B,C,False,False,False,0,False,False,False,False,,True,False
Qwen2.5-3B,benqa_10th-Chemistry_0132,A,C,B,A,False,False,True,1,True,False,True,False,A->B,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0191,A,D,D,D,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_10th-Chemistry_0194,D,A,C,D,False,False,True,1,True,False,True,False,D->C,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0280,A,D,D,D,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_10th-Chemistry_0322,B,B,B,B,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-3B,benqa_10th-Chemistry_0336,D,D,D,D,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-3B,benqa_10th-Chemistry_0374,B,B,B,B,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-3B,benqa_10th-Chemistry_0388,D,B,B,C,False,False,False,0,False,False,False,False,,True,False
Qwen2.5-3B,benqa_10th-Math-II_0062,C,C,C,B,True,True,False,1,False,False,False,False,,True,False
Qwen2.5-3B,benqa_10th-Math-II_0102,D,C,C,B,False,False,False,0,False,False,False,False,,True,False
Qwen2.5-3B,benqa_10th-Math-II_0139,A,B,B,B,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_10th-Math-II_0326,C,C,C,C,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-3B,benqa_10th-Math-II_0347,D,B,B,B,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_10th-Math-II_0357,D,A,B,B,False,False,False,0,False,False,False,False,,False,True
Qwen2.5-3B,benqa_10th-Math-II_0367,C,C,B,B,True,False,False,1,True,False,True,False,C->B,False,True
Qwen2.5-3B,benqa_10th-Math_0032,B,B,A,B,True,False,True,2,True,True,True,False,B->A,False,False
Qwen2.5-3B,benqa_10th-Math_0044,C,C,B,C,True,False,True,2,True,True,True,False,C->B,False,False
Qwen2.5-3B,benqa_10th-Math_0186,C,B,D,B,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-3B,benqa_10th-Math_0271,D,B,A,C,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-3B,benqa_10th-Math_0324,A,C,B,A,False,False,True,1,True,False,True,False,A->B,False,False
Qwen2.5-3B,benqa_10th-Physics_0021,C,C,B,C,True,False,True,2,True,True,True,False,C->B,False,False
Qwen2.5-3B,benqa_10th-Physics_0036,C,C,C,C,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-3B,benqa_10th-Physics_0045,A,B,B,A,False,False,True,1,True,False,True,False,A->B,True,False
Qwen2.5-3B,benqa_10th-Physics_0055,D,D,D,D,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-3B,benqa_10th-Physics_0084,D,D,B,B,True,False,False,1,True,False,True,False,D->B,False,True
Qwen2.5-3B,benqa_10th-Physics_0106,A,B,B,B,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_10th-Physics_0130,D,D,D,B,True,True,False,1,False,False,False,False,,True,False
Qwen2.5-3B,benqa_10th-Physics_0150,B,D,B,B,False,True,True,1,False,False,False,False,,False,True
Qwen2.5-3B,benqa_10th-Physics_0198,D,C,C,C,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_10th-Physics_0280,B,A,A,B,False,False,True,1,True,False,True,False,B->A,True,False
Qwen2.5-3B,benqa_10th-Physics_0296,D,B,B,D,False,False,True,1,True,False,True,False,D->B,True,False
Qwen2.5-3B,benqa_12th-Biology-II_0034,B,A,C,B,False,False,True,1,True,False,True,False,B->C,False,False
Qwen2.5-3B,benqa_12th-Biology-II_0049,C,A,A,A,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Biology-II_0119,C,A,B,B,False,False,False,0,False,False,False,False,,False,True
Qwen2.5-3B,benqa_12th-Biology-II_0122,A,A,C,B,True,False,False,1,True,False,True,False,A->C,False,False
Qwen2.5-3B,benqa_12th-Biology-II_0128,B,D,B,B,False,True,True,1,False,False,False,False,,False,True
Qwen2.5-3B,benqa_12th-Biology-II_0179,A,D,B,A,False,False,True,1,True,False,True,False,A->B,False,False
Qwen2.5-3B,benqa_12th-Biology-II_0203,D,D,D,D,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Biology-II_0247,B,B,B,A,True,True,False,1,False,False,False,False,,True,False
Qwen2.5-3B,benqa_12th-Biology-II_0287,B,D,B,B,False,True,True,1,False,False,False,False,,False,True
Qwen2.5-3B,benqa_12th-Biology-II_0321,C,D,B,D,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-3B,benqa_12th-Biology-II_0325,A,C,B,A,False,False,True,1,True,False,True,False,A->B,False,False
Qwen2.5-3B,benqa_12th-Biology-I_0039,C,B,B,D,False,False,False,0,False,False,False,False,,True,False
Qwen2.5-3B,benqa_12th-Biology-I_0042,D,D,D,B,True,True,False,1,False,False,False,False,,True,False
Qwen2.5-3B,benqa_12th-Biology-I_0056,A,B,B,C,False,False,False,0,False,False,False,False,,True,False
Qwen2.5-3B,benqa_12th-Biology-I_0077,C,B,D,C,False,False,True,1,True,False,True,False,C->D,False,False
Qwen2.5-3B,benqa_12th-Biology-I_0160,B,B,B,B,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Biology-I_0181,C,D,D,D,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Biology-I_0218,B,A,D,B,False,False,True,1,True,False,True,False,B->D,False,False
Qwen2.5-3B,benqa_12th-Biology-I_0222,A,A,C,A,True,False,True,2,True,True,True,False,A->C,False,False
Qwen2.5-3B,benqa_12th-Biology-I_0265,A,D,D,A,False,False,True,1,True,False,True,False,A->D,True,False
Qwen2.5-3B,benqa_12th-Biology-I_0277,D,B,B,D,False,False,True,1,True,False,True,False,D->B,True,False
Qwen2.5-3B,benqa_12th-Biology-I_0283,A,D,D,A,False,False,True,1,True,False,True,False,A->D,True,False
Qwen2.5-3B,benqa_12th-Chemistry-II_0013,C,A,C,C,False,True,True,1,False,False,False,False,,False,True
Qwen2.5-3B,benqa_12th-Chemistry-II_0054,A,D,A,A,False,True,True,1,False,False,False,False,,False,True
Qwen2.5-3B,benqa_12th-Chemistry-II_0067,C,D,D,D,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Chemistry-II_0117,C,D,D,D,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Chemistry-II_0194,A,D,B,A,False,False,True,1,True,False,True,False,A->B,False,False
Qwen2.5-3B,benqa_12th-Chemistry-II_0228,C,C,D,C,True,False,True,2,True,True,True,False,C->D,False,False
