model,model_id,variant,variant_label,dataset,task_type,answer_type,id,gold,correct,parsed,parsed_empty,choice_invalid,format_failure,raw_chars,parsed_chars,raw_line_count,raw_multiline,raw_long_gt120,source,line,raw_excerpt
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0181,সময় কমে যায়,False,decreases,False,False,False,9,9,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,304,decreases
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0181,সময় কমে যায়,False,thakle lok songkhya barale somoy koyom,False,False,False,38,38,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,102,thakle lok songkhya barale somoy koyom
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0181,সময় কমে যায়,False,"The time decreases if the number of workers increases, assuming the amount of work remains constant and all other factors remain unchanged.",False,False,False,139,139,1,False,True,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,306,"The time decreases if the number of workers increases, assuming the amount of work remains constant and all other factors remain unchanged."
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0182,৬০০ টাকা,False,840 টাকা,False,False,False,8,8,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,217,840 টাকা
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0182,৬০০ টাকা,False,280 * 15 = 4200,False,False,False,15,15,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,73,280 * 15 = 4200
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0182,৬০০ টাকা,False,900 Taka,False,False,False,8,8,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,219,900 Taka
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0183,৩০ দিন,False,10 days,False,False,False,7,7,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,307,10 days
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0183,৩০ দিন,False,The khadde (house) will last for 10 days.,False,False,False,41,41,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,103,The khadde (house) will last for 10 days.
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0183,৩০ দিন,False,75,False,False,False,2,2,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,309,75
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0184,১২০০০ টাকা,False,1200 টাকা,False,False,False,9,9,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,124,1200 টাকা
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0184,১২০০০ টাকা,False,\[ \text{Cost per taka} = \frac{450 \text{ taka}}{9000 \text{ taka}} = 0.05 \,False,False,False,378,77,6,True,True,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,42,"To find out how much protidin should be bought to gain a profit of 600 taka, we need to first understand the cost and profit relationship given in the proble..."
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0184,১২০০০ টাকা,False,4500 Taka,False,False,False,9,9,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,126,4500 Taka
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0185,২০০ কেজি,True,২০০ কেজি,False,False,False,8,8,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,316,২০০ কেজি
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0185,২০০ কেজি,False,20 keji chale,False,False,False,13,13,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,106,20 keji chale
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0185,২০০ কেজি,False,384 kg,False,False,False,6,6,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,318,384 kg
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0186,২২ ১/২ দিন,False,45,False,False,False,2,2,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,520,45
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0186,২২ ১/২ দিন,False,45 din,False,False,False,6,6,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,174,45 din
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0186,২২ ১/২ দিন,False,45,False,False,False,2,2,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,522,45
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0187,১৪০ জন,False,180,False,False,False,3,3,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,568,180
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0187,১৪০ জন,False,"The work of 25 people took 18 days to complete 75% of the job, and it will take an additional 18 days for the remaining 25% of the job.",False,False,False,135,135,1,False,True,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,190,"The work of 25 people took 18 days to complete 75% of the job, and it will take an additional 18 days for the remaining 25% of the job."
