id,dataset,domain,subject,grade,task_type,quality_status,review_label,content_token_count,token_coverage,unique_token_coverage,frequent_token_coverage,coverage_quartile_all,coverage_quartile_dataset,model,bangla_correct,banglish_correct,english_correct,banglish_fragile,strict_bangla_english_fragile,all_script_hard
benqa_12th-Biology-I_0265,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,44,0.3409,0.2821,0.2273,q3,q3,Qwen2.5-3B,False,False,True,True,False,False
benqa_12th-Biology-I_0265,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,44,0.3409,0.2821,0.2273,q3,q3,Qwen2.5-7B,False,False,True,True,False,False
benqa_12th-Biology-I_0265,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,44,0.3409,0.2821,0.2273,q3,q3,Qwen3-4B,True,False,True,True,True,False
benqa_12th-Chemistry-II_0240,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,14,0.2857,0.3077,0.2143,q2,q2,Qwen2.5-3B,False,True,False,False,False,False
benqa_12th-Chemistry-II_0240,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,14,0.2857,0.3077,0.2143,q2,q2,Qwen2.5-7B,False,True,True,False,False,False
benqa_12th-Chemistry-II_0240,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,14,0.2857,0.3077,0.2143,q2,q2,Qwen3-4B,True,False,True,True,True,False
benqa_10th-Chemistry_0111,benqa,chemistry,Chemistry,10th,mcq,auto_romanized_unverified_v4,unreviewed,8,0.25,0.25,0.125,q2,q2,Qwen2.5-3B,False,False,False,False,False,True
benqa_10th-Chemistry_0111,benqa,chemistry,Chemistry,10th,mcq,auto_romanized_unverified_v4,unreviewed,8,0.25,0.25,0.125,q2,q2,Qwen2.5-7B,False,False,False,False,False,True
benqa_10th-Chemistry_0111,benqa,chemistry,Chemistry,10th,mcq,auto_romanized_unverified_v4,unreviewed,8,0.25,0.25,0.125,q2,q2,Qwen3-4B,True,True,True,False,False,False
benqa_10th-Math_0186,benqa,math,Math,10th,mcq,auto_romanized_unverified_v4,unreviewed,6,0.3333,0.3333,0.3333,q2,q3,Qwen2.5-3B,False,False,False,False,False,True
benqa_10th-Math_0186,benqa,math,Math,10th,mcq,auto_romanized_unverified_v4,unreviewed,6,0.3333,0.3333,0.3333,q2,q3,Qwen2.5-7B,False,False,False,False,False,True
benqa_10th-Math_0186,benqa,math,Math,10th,mcq,auto_romanized_unverified_v4,unreviewed,6,0.3333,0.3333,0.3333,q2,q3,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Chemistry-II_0194,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,0.5,0.5,0.5,q4,q4,Qwen2.5-3B,False,False,True,True,False,False
benqa_12th-Chemistry-II_0194,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,0.5,0.5,0.5,q4,q4,Qwen2.5-7B,True,True,True,False,False,False
benqa_12th-Chemistry-II_0194,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,0.5,0.5,0.5,q4,q4,Qwen3-4B,True,False,True,True,True,False
banglamath_0234,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,11,0.8182,0.7778,0.5455,q4,q4,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0234,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,11,0.8182,0.7778,0.5455,q4,q4,Qwen2.5-7B,False,False,False,False,False,True
banglamath_0234,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,11,0.8182,0.7778,0.5455,q4,q4,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Chemistry-II_0054,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,0.25,0.25,0.25,q2,q2,Qwen2.5-3B,False,True,True,False,False,False
benqa_12th-Chemistry-II_0054,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,0.25,0.25,0.25,q2,q2,Qwen2.5-7B,True,True,True,False,False,False
benqa_12th-Chemistry-II_0054,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,0.25,0.25,0.25,q2,q2,Qwen3-4B,True,False,True,True,True,False
banglamath_0522,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,10,0.2,0.2222,0.2,q1,q1,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0522,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,10,0.2,0.2222,0.2,q1,q1,Qwen2.5-7B,False,False,False,False,False,True
banglamath_0522,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,10,0.2,0.2222,0.2,q1,q1,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Math-II_0234,benqa,math-ii,Math-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,14,0.5714,0.6364,0.4286,q4,q4,Qwen2.5-3B,True,True,True,False,False,False
benqa_12th-Math-II_0234,benqa,math-ii,Math-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,14,0.5714,0.6364,0.4286,q4,q4,Qwen2.5-7B,True,False,True,True,True,False
benqa_12th-Math-II_0234,benqa,math-ii,Math-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,14,0.5714,0.6364,0.4286,q4,q4,Qwen3-4B,False,False,False,False,False,True
benqa_10th-Math_0271,benqa,math,Math,10th,mcq,human_reviewed_banglish_v5,minor_edit,12,0.4167,0.4167,0.3333,q3,q4,Qwen2.5-3B,False,False,False,False,False,True
benqa_10th-Math_0271,benqa,math,Math,10th,mcq,human_reviewed_banglish_v5,minor_edit,12,0.4167,0.4167,0.3333,q3,q4,Qwen2.5-7B,False,False,True,True,False,False
benqa_10th-Math_0271,benqa,math,Math,10th,mcq,human_reviewed_banglish_v5,minor_edit,12,0.4167,0.4167,0.3333,q3,q4,Qwen3-4B,True,False,True,True,True,False
benqa_10th-Physics_0045,benqa,physics,Physics,10th,mcq,human_reviewed_banglish_v5,minor_edit,12,0.4167,0.4167,0.4167,q3,q4,Qwen2.5-3B,False,False,True,True,False,False
benqa_10th-Physics_0045,benqa,physics,Physics,10th,mcq,human_reviewed_banglish_v5,minor_edit,12,0.4167,0.4167,0.4167,q3,q4,Qwen2.5-7B,True,True,True,False,False,False
benqa_10th-Physics_0045,benqa,physics,Physics,10th,mcq,human_reviewed_banglish_v5,minor_edit,12,0.4167,0.4167,0.4167,q3,q4,Qwen3-4B,True,True,True,False,False,False
benqa_8th-Science_0086,benqa,science,Science,8th,mcq,auto_romanized_unverified_v4,unreviewed,5,0.2,0.2,0.2,q1,q2,Qwen2.5-3B,False,False,False,False,False,True
benqa_8th-Science_0086,benqa,science,Science,8th,mcq,auto_romanized_unverified_v4,unreviewed,5,0.2,0.2,0.2,q1,q2,Qwen2.5-7B,True,True,True,False,False,False
benqa_8th-Science_0086,benqa,science,Science,8th,mcq,auto_romanized_unverified_v4,unreviewed,5,0.2,0.2,0.2,q1,q2,Qwen3-4B,False,False,True,True,False,False
