model,id,gold,bangla_parsed_option,bangla_valid_option,bangla_correct,bangla_format_failure,banglish_clean_parsed_option,banglish_clean_valid_option,banglish_clean_correct,banglish_clean_format_failure,english_parsed_option,english_valid_option,english_correct,english_format_failure,banglish_same_as_bangla,banglish_same_as_english,banglish_wrong_bangla_correct,banglish_wrong_english_correct
Qwen2.5-3B,benqa_10th-Biology_0057,C,C,True,True,False,D,True,False,False,D,True,False,False,False,True,True,False
Qwen2.5-3B,benqa_10th-Biology_0090,C,B,True,False,False,A,True,False,False,D,True,False,False,False,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0128,A,A,True,True,False,C,True,False,False,A,True,True,False,False,False,True,True
Qwen2.5-3B,benqa_10th-Biology_0143,C,A,True,False,False,B,True,False,False,A,True,False,False,False,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0149,B,B,True,True,False,A,True,False,False,C,True,False,False,False,False,True,False
Qwen2.5-3B,benqa_10th-Biology_0156,C,B,True,False,False,B,True,False,False,B,True,False,False,True,True,False,False
Qwen2.5-3B,benqa_10th-Biology_0188,A,B,True,False,False,B,True,False,False,B,True,False,False,True,True,False,False
Qwen2.5-3B,benqa_10th-Biology_0197,D,D,True,True,False,A,True,False,False,A,True,False,False,False,True,True,False
Qwen2.5-3B,benqa_10th-Biology_0213,A,A,True,True,False,D,True,False,False,D,True,False,False,False,True,True,False
Qwen2.5-3B,benqa_10th-Biology_0215,B,D,True,False,False,D,True,False,False,B,True,True,False,True,False,False,True
Qwen2.5-3B,benqa_10th-Biology_0277,C,B,True,False,False,D,True,False,False,D,True,False,False,False,True,False,False
Qwen2.5-3B,benqa_10th-Biology_0339,D,B,True,False,False,A,True,False,False,D,True,True,False,False,False,False,True
Qwen2.5-3B,benqa_10th-Chemistry_0041,D,A,True,False,False,D,True,True,False,D,True,True,False,False,True,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0110,C,D,True,False,False,A,True,False,False,C,True,True,False,False,False,False,True
Qwen2.5-3B,benqa_10th-Chemistry_0111,D,B,True,False,False,B,True,False,False,C,True,False,False,True,False,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0132,A,C,True,False,False,B,True,False,False,A,True,True,False,False,False,False,True
Qwen2.5-3B,benqa_10th-Chemistry_0191,A,D,True,False,False,D,True,False,False,D,True,False,False,True,True,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0194,D,A,True,False,False,C,True,False,False,D,True,True,False,False,False,False,True
Qwen2.5-3B,benqa_10th-Chemistry_0280,A,D,True,False,False,D,True,False,False,D,True,False,False,True,True,False,False
