model,baseline_variant,baseline_label,id,gold,baseline_option,banglish_option,baseline_correct,banglish_correct,both_valid,same_option,switched_valid_option,baseline_non_d,baseline_d,switched_non_d_to_d,switched_d_to_non_d,baseline_correct_non_d,baseline_correct_non_d_to_d_wrong,baseline_correct_to_banglish_wrong,banglish_wrong_d,d_is_longest,d_is_composite,gold_is_longest,d_char_len,d_token_len,longest_options,baseline_non_d_and_d_not_longest,baseline_non_d_and_gold_not_d,baseline_non_d_gold_not_d_d_not_longest,baseline_correct_non_d_and_d_not_longest,switch_non_d_to_d_when_d_not_longest,correct_non_d_to_wrong_d_when_d_not_longest
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0057,C,C,D,True,False,True,False,True,True,False,True,False,True,True,True,True,True,True,False,11,4,D,False,True,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0090,C,B,A,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,3,1,C,True,True,True,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0128,A,A,C,True,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,13,2,C,True,True,True,True,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0143,C,A,B,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,15,2,C,True,True,True,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0149,B,B,A,True,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False,10,1,D,False,True,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0156,C,B,B,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,2,1,A;B;C;D,False,True,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0188,A,B,B,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,1,1,A;B;C;D,False,True,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0197,D,D,A,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,13,1,D,False,False,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0213,A,A,D,True,False,True,False,True,True,False,True,False,True,True,True,True,False,False,True,10,2,A,True,True,True,True,True,True
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0215,B,D,D,False,False,True,True,False,False,True,False,False,False,False,False,True,True,True,False,11,4,D,False,False,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0277,C,B,D,False,False,True,False,True,True,False,True,False,False,False,False,True,True,True,False,11,4,D,False,True,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0339,D,B,A,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,True,11,1,D,False,False,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Chemistry_0041,D,A,D,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,32,4,A,True,False,False,False,True,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Chemistry_0110,C,D,A,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,15,1,D,False,False,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Chemistry_0111,D,B,B,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,7,1,D,False,False,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Chemistry_0132,A,C,B,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,6,1,A,True,True,True,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Chemistry_0191,A,D,D,False,False,True,True,False,False,True,False,False,False,False,False,True,True,True,False,11,4,D,False,False,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Chemistry_0194,D,A,C,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,True,1,1,A;B;C;D,False,False,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Chemistry_0280,A,D,D,False,False,True,True,False,False,True,False,False,False,False,False,True,True,False,True,2,1,A;B;C;D,False,False,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Chemistry_0322,B,B,B,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,6,1,A;C,True,True,True,True,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Chemistry_0336,D,D,D,True,True,True,True,False,False,True,False,False,False,False,False,False,True,True,True,11,4,D,False,False,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Chemistry_0374,B,B,B,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,7,1,A,True,True,True,True,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Chemistry_0388,D,B,B,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,24,1,A;B;C;D,False,False,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Math-II_0062,C,C,C,True,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,15,7,A;C;D,False,True,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Math-II_0102,D,C,C,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,1,1,A;B;C;D,False,False,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Math-II_0139,A,B,B,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,15,1,C;D,False,True,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Math-II_0326,C,C,C,True,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,13,1,A;B;C;D,False,True,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Math-II_0347,D,B,B,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,18,1,A,True,False,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Math-II_0357,D,A,B,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,5,1,B;C,True,False,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Math-II_0367,C,C,B,True,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True,11,1,A;B;C;D,False,True,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Math_0032,B,B,A,True,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True,1,1,A;B;C;D,False,True,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Math_0044,C,C,B,True,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True,3,1,A;B;C;D,False,True,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Math_0186,C,B,D,False,False,True,False,True,True,False,True,False,False,False,False,True,True,False,True,3,1,A;B;C;D,False,True,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Math_0271,D,B,A,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,True,21,3,A;B;C;D,False,False,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Math_0324,A,C,B,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,11,1,C;D,False,True,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Physics_0021,C,C,B,True,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True,8,1,C;D,False,True,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Physics_0036,C,C,C,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,4,1,C,True,True,True,True,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Physics_0045,A,B,B,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,5,1,A,True,True,True,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Physics_0055,D,D,D,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,True,16,2,D,False,False,False,False,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Physics_0084,D,D,B,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,22,2,D,False,False,False,False,False,False
