model,id,dataset,task_type,answer_type,gold,pattern,bangla_present,bangla_correct,bangla_parsed,bangla_raw,bangla_seconds,banglish_clean_present,banglish_clean_correct,banglish_clean_parsed,banglish_clean_raw,banglish_clean_seconds,english_present,english_correct,english_parsed,english_raw,english_seconds
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0001,mgsm,math_word_problem,short_answer,18,all_wrong,True,False,16,16,1.1963,True,False,tini krishokoder bajare protidin kot dolar 2.12 uparjon koren.,tini krishokoder bajare protidin kot dolar 2.12 uparjon koren.,1.2721,True,False,4,4,0.1692
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0002,mgsm,math_word_problem,short_answer,3,all_wrong,True,False,4,4,0.1908,True,False,3 ril lagobe,3 ril lagobe,0.3067,True,False,5,5,0.1425
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0003,mgsm,math_word_problem,short_answer,70000,english_only_correct,True,False,60000,60000,0.4682,True,False,"tini labh korolen 120,000 dolarni.","tini labh korolen 120,000 dolarni.",0.8435,True,True,170000,170000,0.3797
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0004,mgsm,math_word_problem,short_answer,540,bangla_only_correct,True,True,540,540,0.3486,True,False,90,90,0.2064,True,False,810,810,0.2269
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0005,mgsm,math_word_problem,short_answer,20,all_wrong,True,False,100,100,0.6032,True,False,30,30,0.3102,True,False,120,120,0.2767
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0006,mgsm,math_word_problem,short_answer,64,all_wrong,True,False,246,246,0.4217,True,False,12,12,0.2311,True,False,246,246,0.2524
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0007,mgsm,math_word_problem,short_answer,260,all_wrong,True,False,140,140,0.4219,True,False,Yes,Yes,0.1853,True,False,80,80,0.182
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0008,mgsm,math_word_problem,short_answer,160,bangla_only_correct,True,True,160 minutes,160 minutes,0.4963,True,False,karla daunolod korar jony 20 minit shuru koroto hoy.,karla daunolod korar jony 20 minit shuru koroto hoy.,1.0042,True,False,1200 minutes,1200 minutes,0.3205
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0009,mgsm,math_word_problem,short_answer,45,all_wrong,True,False,160 miles,160 miles,0.6542,True,False,yes,yes,0.2654,True,False,155 mph⋅h,155 mph⋅h,0.409
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0010,mgsm,math_word_problem,short_answer,460,all_wrong,True,False,$490,$490,0.477,True,False,47,47,0.2239,True,False,150,150,0.2421
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0011,mgsm,math_word_problem,short_answer,366,all_wrong,True,False,246,246,0.4333,True,False,40%,40%,0.2639,True,False,420,420,0.242
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0012,mgsm,math_word_problem,short_answer,694,all_wrong,True,False,149,149,0.3766,True,False,$197,$197,0.3024,True,False,147,147,0.2449
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0013,mgsm,math_word_problem,short_answer,13,all_wrong,True,False,6,6,0.3576,True,False,$88.5,$88.5,0.3994,True,False,4,4,0.1659
