model,id,dataset,task_type,answer_type,gold,pattern,bangla_present,bangla_correct,bangla_parsed,bangla_raw,bangla_seconds,banglish_clean_present,banglish_clean_correct,banglish_clean_parsed,banglish_clean_raw,banglish_clean_seconds,english_present,english_correct,english_parsed,english_raw,english_seconds
Qwen/Qwen2.5-0.5B-Instruct,banglamath_0183,banglamath,short_answer,short_answer,৩০ দিন,all_wrong,True,False,2.5,2.5,0.1176,True,False,"The final answer is: ekoti, 50 joner, 15 diners, 25 joner, 15 diners","The final answer is: ekoti, 50 joner, 15 diners, 25 joner, 15 diners",0.8696,True,False,The hostel can accommodate 25 people for 10 days.,The hostel can accommodate 25 people for 10 days.,0.422
Qwen/Qwen2.5-0.5B-Instruct,banglamath_0226,banglamath,short_answer,short_answer,২৫০ টাকা,all_wrong,True,False,২,২,0.0812,True,False,The final answer is 550.0550.,The final answer is 550.0550.,0.3915,True,False,220 Taka,220 Taka,0.153
Qwen/Qwen2.5-0.5B-Instruct,banglamath_0237,banglamath,short_answer,short_answer,৬৪ টাকা,all_wrong,True,False,২.4,২.4,0.1308,True,False,"10,000,000,000,000","10,000,000,000,000",0.4895,True,False,$32,$32,0.1005
Qwen/Qwen2.5-0.5B-Instruct,banglamath_0301,banglamath,short_answer,short_answer,0,bangla_banglish_both_wrong_no_english,True,False,12,12,0.7624,True,False,The final answer is 12.,The final answer is 12.,0.2455,False,,,,
Qwen/Qwen2.5-0.5B-Instruct,banglamath_0541,banglamath,short_answer,short_answer,৪৪৪ বর্গমিটার,all_wrong,True,False,14400 sq m,14400 sq m,0.2142,True,False,The total distance is 80 miles.,The total distance is 80 miles.,0.2605,True,False,The area of the path is 120 square meters.,The area of the path is 120 square meters.,0.365
Qwen/Qwen2.5-0.5B-Instruct,banglamath_0745,banglamath,short_answer,short_answer,280,bangla_banglish_both_wrong_no_english,True,False,14,14,0.0907,True,False,songkhjati kot 3/4 ongsh ber kore.,songkhjati kot 3/4 ongsh ber kore.,0.4454,False,,,,
Qwen/Qwen2.5-0.5B-Instruct,banglamath_1034,banglamath,short_answer,short_answer,x²-6xy+9y²,banglish_correct_bangla_wrong_no_english,True,False,14ysthee,14ysthee,0.1302,True,True,The expression (x - 3y)² simplifies to x² - 6xy + 9y².,The expression (x - 3y)² simplifies to x² - 6xy + 9y².,0.6711,False,,,,
Qwen/Qwen2.5-0.5B-Instruct,banglamath_1085,banglamath,short_answer,short_answer,(x-3)/(x+4),bangla_banglish_both_wrong_no_english,True,False,বেশি অনুভূতি হয়।,বেশি অনুভূতি হয়।,0.5222,True,False,"The expression (x² + 2x - 15) / (x² + 9x + 20) cannot be simplified further using standard algebraic methods, and it does not have a simple logarithmic form that can be directly evaluated without numerical approximation. Therefore, the final answer is:","The expression (x² + 2x - 15) / (x² + 9x + 20) cannot be simplified further using standard algebraic methods, and it does not have a simple logarithmic form that can be directly evaluated without numerical approximati...",1.6341,False,,,,
Qwen/Qwen2.5-0.5B-Instruct,benqa_10th-Math-II_0088,benqa,mcq,choice,B,english_only_correct,True,False,D,D. x - 1,0.1827,True,False,D,D,0.0711,True,True,B,B,0.0619
Qwen/Qwen2.5-0.5B-Instruct,benqa_10th-Math-II_0102,benqa,mcq,choice,D,all_correct,True,True,D,D,0.0547,True,True,D,D,0.0551,True,True,D,D,0.0552
Qwen/Qwen2.5-0.5B-Instruct,benqa_10th-Math-II_0204,benqa,mcq,choice,C,all_wrong,True,False,D,D,0.0544,True,False,D,D,0.0527,True,False,D,D,0.0541
Qwen/Qwen2.5-0.5B-Instruct,benqa_10th-Math_0362,benqa,mcq,choice,D,bangla_drop_vs_banglish_english,True,False,B,B,0.0551,True,True,D,D,0.0538,True,True,D,D,0.0539
Qwen/Qwen2.5-0.5B-Instruct,benqa_12th-Chemistry-II_0166,benqa,mcq,choice,A,all_wrong,True,False,D,D,0.0578,True,False,C,C,0.0541,True,False,D,D,0.0529
Qwen/Qwen2.5-0.5B-Instruct,benqa_12th-Chemistry-II_0194,benqa,mcq,choice,A,banglish_only_correct,True,False,D,D,0.0554,True,True,A,A,0.055,True,False,D,D,0.0578
Qwen/Qwen2.5-0.5B-Instruct,benqa_12th-Chemistry-I_0227,benqa,mcq,choice,D,all_correct,True,True,D,D,0.0567,True,True,D,D,0.056,True,True,D,D,0.0544
Qwen/Qwen2.5-0.5B-Instruct,benqa_12th-Chemistry-I_0328,benqa,mcq,choice,B,bangla_only_correct,True,True,B,B,0.0542,True,False,D,D,0.0546,True,False,A,A. s-block,0.13
Qwen/Qwen2.5-0.5B-Instruct,benqa_12th-Math-II_0017,benqa,mcq,choice,D,all_correct,True,True,D,D,0.0564,True,True,D,D,0.0628,True,True,D,D,0.0579
Qwen/Qwen2.5-0.5B-Instruct,benqa_12th-Math-I_0310,benqa,mcq,choice,B,all_correct,True,True,B,B,0.0548,True,True,B,B,0.0545,True,True,B,B,0.0548
Qwen/Qwen2.5-0.5B-Instruct,benqa_12th-Physics-I_0289,benqa,mcq,choice,D,bangla_drop_vs_banglish_english,True,False,C,C,0.0644,True,True,D,D,0.0561,True,True,D,D,0.0526
Qwen/Qwen2.5-0.5B-Instruct,benqa_8th-Math_0190,benqa,mcq,choice,B,all_wrong,True,False,D,D,0.0725,True,False,D,D,0.0551,True,False,D,D,0.0545
Qwen/Qwen2.5-1.5B-Instruct,banglamath_0183,banglamath,short_answer,short_answer,৩০ দিন,english_only_correct,True,False,10 days,10 days,0.172,True,False,"The given text appears to be in Urdu and does not provide clear information for an evaluation or assessment. Without additional context, it's difficult to determine what specific aspect of the situation is being evaluated. Please provide more details or clarify your request so I can assist you better.","The given text appears to be in Urdu and does not provide clear information for an evaluation or assessment. Without additional context, it's difficult to determine what specific aspect of the situation is being evalu...",1.7009,True,True,It will last for 30 days for 25 people.,It will last for 30 days for 25 people.,0.4846
Qwen/Qwen2.5-1.5B-Instruct,banglamath_0226,banglamath,short_answer,short_answer,২৫০ টাকা,all_wrong,True,False,১২০ টাকা,১২০ টাকা,0.4131,True,False,"The given text appears to be in Bengali and translates roughly to ""550 take 5:6 on upate bhag korle prothom ongsh koto hobe"" which means ""If you take away 5 from 550, then one-sixth of the remaining amount is","The given text appears to be in Bengali and translates roughly to ""550 take 5:6 on upate bhag korle prothom ongsh koto hobe"" which means ""If you take away 5 from 550, then one-sixth of the remaining amount is",1.9769,True,False,110,110,0.1449
Qwen/Qwen2.5-1.5B-Instruct,banglamath_0237,banglamath,short_answer,short_answer,৬৪ টাকা,all_wrong,True,False,২৫৬ টাকা,২৫৬ টাকা,0.3796,True,False,"The given text appears to be in a language that is not English, as it contains characters and words that are not commonly used in English. Without more context or translation information, I cannot provide a meaningful interpretation of this text. If you have any additional details about its origin or intended meaning, please share them so I can","The given text appears to be in a language that is not English, as it contains characters and words that are not commonly used in English. Without more context or translation information, I cannot provide a meaningful...",1.9589,True,False,8 Taka,8 Taka,0.1402
Qwen/Qwen2.5-1.5B-Instruct,banglamath_0301,banglamath,short_answer,short_answer,0,bangla_correct_banglish_wrong_no_english,True,True,০,০,0.8054,True,False,Biporit Songkhja,Biporit Songkhja,0.2809,False,,,,
Qwen/Qwen2.5-1.5B-Instruct,banglamath_0541,banglamath,short_answer,short_answer,৪৪৪ বর্গমিটার,all_wrong,True,False,150 মিটার²,150 মিটার²,0.3963,True,False,"The given text appears to be in a language that is not English, as it uses characters and words that are not commonly found in English. Without more context or translation tools, I cannot accurately interpret or translate this text into a human-readable form. Therefore, my response simply states: ""I am unable to provide an interpretation","The given text appears to be in a language that is not English, as it uses characters and words that are not commonly found in English. Without more context or translation tools, I cannot accurately interpret or trans...",2.0972,True,False,120 m²,120 m²,0.2046
Qwen/Qwen2.5-1.5B-Instruct,banglamath_0745,banglamath,short_answer,short_answer,280,bangla_banglish_both_wrong_no_english,True,False,২০০,২০০,0.2815,True,False,Songkhjati kot 150 beshi.,Songkhjati kot 150 beshi.,0.4585,False,,,,
Qwen/Qwen2.5-1.5B-Instruct,banglamath_1034,banglamath,short_answer,short_answer,x²-6xy+9y²,banglish_correct_bangla_wrong_no_english,True,False,16y² - 24xy + 9x²,16y² - 24xy + 9x²,0.4606,True,True,x^2 - 6xy + 9y^2,x^2 - 6xy + 9y^2,0.4305,False,,,,
Qwen/Qwen2.5-1.5B-Instruct,banglamath_1085,banglamath,short_answer,short_answer,(x-3)/(x+4),bangla_banglish_both_wrong_no_english,True,False,(x + 5)(x - 3),(x + 5)(x - 3),0.3475,True,False,"The given expression is not in the form of a square root, so it cannot be simplified to an arithmetic operation involving a radical. The expression is already factored as much as possible: (x + 5)(x - 3).","The given expression is not in the form of a square root, so it cannot be simplified to an arithmetic operation involving a radical. The expression is already factored as much as possible: (x + 5)(x - 3).",1.4747,False,,,,
Qwen/Qwen2.5-1.5B-Instruct,benqa_10th-Math-II_0088,benqa,mcq,choice,B,banglish_only_correct,True,False,C,C,0.1097,True,True,B,B,0.0985,True,False,A,A,0.0982
Qwen/Qwen2.5-1.5B-Instruct,benqa_10th-Math-II_0102,benqa,mcq,choice,D,all_wrong,True,False,C,C,0.1104,True,False,B,B,0.0983,True,False,B,B,0.0988
Qwen/Qwen2.5-1.5B-Instruct,benqa_10th-Math-II_0204,benqa,mcq,choice,C,all_correct,True,True,C,C,0.0841,True,True,C,C,0.082,True,True,C,C,0.0828
Qwen/Qwen2.5-1.5B-Instruct,benqa_10th-Math_0362,benqa,mcq,choice,D,banglish_drop_vs_bangla_english,True,True,D,D,0.1009,True,False,A,A,0.0986,True,True,D,D,0.098
Qwen/Qwen2.5-1.5B-Instruct,benqa_12th-Chemistry-II_0166,benqa,mcq,choice,A,all_wrong,True,False,B,B,0.1217,True,False,C,C,0.1118,True,False,B,B,0.1034
Qwen/Qwen2.5-1.5B-Instruct,benqa_12th-Chemistry-II_0194,benqa,mcq,choice,A,english_only_correct,True,False,B,B,0.0998,True,False,B,B,0.0823,True,True,A,A,0.0844
