id,dataset,task_type,domain,quality_status,comparison,comparison_role,left_variant,right_variant,left_option_labels,right_option_labels,option_labels_preserved,left_digit_sequence,right_digit_sequence,digit_sequence_preserved,left_formula_tokens,right_formula_tokens,formula_tokens_preserved,left_answer_instruction,right_answer_instruction,answer_instruction_preserved,structural_mismatch,primary_pair_hard_fail,diagnostic_warning,mismatch_codes,left_preview,right_preview
benqa_12th-Biology-I_0265,benqa,mcq,biology-i,human_reviewed_banglish_v5,bangla_vs_banglish,primary,bangla,banglish_clean,A B C D,A B C D,True,9,9,True,,,True,mcq_letters,mcq_letters,True,False,False,False,,"মি. 'ক' ব্যবহারিক ক্লাসে একটি নমুনার পর্যবেক্ষণ করে দেখলো মেটাজাইলেম কেন্দ্রের দিকে, ভাস্কুলার বান্ডল ৯টি এবং কিছু এককোষী রোম আছে। পর্যবেক্ষিত বৈশিষ্ট্যগুলো কীভাবে উদ্ভিদকে বাঁচিয়ে","mi. 'k' byoboharik klase ekti nomunar poryobekshon kore dekholo metajailem kendrer dike, bhaskular bandol 9ti ebong kichhu ekokoshi rom ache. poryobekshit boishishtyogulo kibhabe u"
benqa_12th-Biology-I_0265,benqa,mcq,biology-i,human_reviewed_banglish_v5,bangla_vs_english,diagnostic,bangla,english,A B C D,A B C D,True,9,9,True,,,True,mcq_letters,mcq_letters,True,False,False,False,,"মি. 'ক' ব্যবহারিক ক্লাসে একটি নমুনার পর্যবেক্ষণ করে দেখলো মেটাজাইলেম কেন্দ্রের দিকে, ভাস্কুলার বান্ডল ৯টি এবং কিছু এককোষী রোম আছে। পর্যবেক্ষিত বৈশিষ্ট্যগুলো কীভাবে উদ্ভিদকে বাঁচিয়ে","Mr. 'X' observed a transverse section of a sample and noticed that metaxylem is present towards the center, 9 (nine) vascular bundles and there are some unicellular hairs. How does"
benqa_12th-Biology-I_0265,benqa,mcq,biology-i,human_reviewed_banglish_v5,banglish_vs_english,diagnostic,banglish_clean,english,A B C D,A B C D,True,9,9,True,,,True,mcq_letters,mcq_letters,True,False,False,False,,"mi. 'k' byoboharik klase ekti nomunar poryobekshon kore dekholo metajailem kendrer dike, bhaskular bandol 9ti ebong kichhu ekokoshi rom ache. poryobekshit boishishtyogulo kibhabe u","Mr. 'X' observed a transverse section of a sample and noticed that metaxylem is present towards the center, 9 (nine) vascular bundles and there are some unicellular hairs. How does"
benqa_12th-Chemistry-II_0240,benqa,mcq,chemistry-ii,auto_romanized_unverified_v4,bangla_vs_banglish,primary,bangla,banglish_clean,A B C D,A B C D,True,3 2 2 3,3 2 2 3,True,CH_{2} CH_{2} CH_{3} CH_{3} COONa CO_{3} CaO NaOH Na_{2}CO_{3} \Delta \xrightarrow,CH_{2} CH_{2} CH_{3} CH_{3} COONa CO_{3} CaO NaOH Na_{2}CO_{3} \Delta \xrightarrow,True,mcq_letters,mcq_letters,True,False,False,False,,CH_{3} - CH_{2} - COONa + NaOH \xrightarrow[\Delta]{CaO} A + Na_{2}CO_{3} উদ্দীপকের বিক্রিয়াটি কী নামে পরিচিত? A. উর্টজ বিক্রিয়া B. ডি-কার্বোক্সিলেশন বিক্রিয়া C. উর্টজ ফিটিগ বিক্রি,CH_{3} - CH_{2} - COONa + NaOH \xrightarrow[\Delta]{CaO} A + Na_{2}CO_{3} uddipoker bikriyati ki name porichit? A. urtoj bikriya B. di-karboksileshon bikriya C. urtoj fitig bikriya
benqa_12th-Chemistry-II_0240,benqa,mcq,chemistry-ii,auto_romanized_unverified_v4,bangla_vs_english,diagnostic,bangla,english,A B C D,A B C D,True,3 2 2 3,3 2 2 3,True,CH_{2} CH_{2} CH_{3} CH_{3} COONa CO_{3} CaO NaOH Na_{2}CO_{3} \Delta \xrightarrow,CH_{2} CH_{2} CH_{3} CH_{3} COONa CO_{3} CaO NaOH Na_{2}CO_{3} \Delta \xrightarrow,True,mcq_letters,mcq_letters,True,False,False,False,,CH_{3} - CH_{2} - COONa + NaOH \xrightarrow[\Delta]{CaO} A + Na_{2}CO_{3} উদ্দীপকের বিক্রিয়াটি কী নামে পরিচিত? A. উর্টজ বিক্রিয়া B. ডি-কার্বোক্সিলেশন বিক্রিয়া C. উর্টজ ফিটিগ বিক্রি,CH_{3}-CH_{2}-COONa+NaOH\xrightarrow[\Delta]{CaO}A+Na_{2}CO_{3} What is the name of the chemical reaction of the stem? A. Wurtz reaction B. Decarboxylation reaction C. Wurtz-fitig 
benqa_12th-Chemistry-II_0240,benqa,mcq,chemistry-ii,auto_romanized_unverified_v4,banglish_vs_english,diagnostic,banglish_clean,english,A B C D,A B C D,True,3 2 2 3,3 2 2 3,True,CH_{2} CH_{2} CH_{3} CH_{3} COONa CO_{3} CaO NaOH Na_{2}CO_{3} \Delta \xrightarrow,CH_{2} CH_{2} CH_{3} CH_{3} COONa CO_{3} CaO NaOH Na_{2}CO_{3} \Delta \xrightarrow,True,mcq_letters,mcq_letters,True,False,False,False,,CH_{3} - CH_{2} - COONa + NaOH \xrightarrow[\Delta]{CaO} A + Na_{2}CO_{3} uddipoker bikriyati ki name porichit? A. urtoj bikriya B. di-karboksileshon bikriya C. urtoj fitig bikriya,CH_{3}-CH_{2}-COONa+NaOH\xrightarrow[\Delta]{CaO}A+Na_{2}CO_{3} What is the name of the chemical reaction of the stem? A. Wurtz reaction B. Decarboxylation reaction C. Wurtz-fitig 
benqa_10th-Chemistry_0111,benqa,mcq,chemistry,auto_romanized_unverified_v4,bangla_vs_banglish,primary,bangla,banglish_clean,A B C D,A B C D,True,1 2 2 2 2 2 1 3 5 13,1 2 2 2 2 2 1 3 5 13,True,1s^{2} 2p^{2} 2s^{2},1s^{2} 2p^{2} 2s^{2},True,mcq_letters,mcq_letters,True,False,False,False,,"1s^{2}2s^{2}2p^{2} ইলেকট্রন বিন্যাসবিশিষ্ট মৌলটি পর্যায় সারণির কোন গ্রুপে অবস্থিত? A. গ্রুপ-১ B. গ্রুপ-৩ C. গ্রুপ-৫ D. গ্রুপ-১৩ Answer with only A, B, C, or D.","1s^{2}2s^{2}2p^{2} ilekotron binyasobishisht mouloti poryay saronir kon grupe obosthit? A. grup-1 B. grup-3 C. grup-5 D. grup-13 Answer with only A, B, C, or D."
benqa_10th-Chemistry_0111,benqa,mcq,chemistry,auto_romanized_unverified_v4,bangla_vs_english,diagnostic,bangla,english,A B C D,A B C D,True,1 2 2 2 2 2 1 3 5 13,1 2 2 2 2 1 1 3 5 13,False,1s^{2} 2p^{2} 2s^{2},1s^{2} 2p^{1} 2s^{2},False,mcq_letters,mcq_letters,True,True,False,True,digits formulas,"1s^{2}2s^{2}2p^{2} ইলেকট্রন বিন্যাসবিশিষ্ট মৌলটি পর্যায় সারণির কোন গ্রুপে অবস্থিত? A. গ্রুপ-১ B. গ্রুপ-৩ C. গ্রুপ-৫ D. গ্রুপ-১৩ Answer with only A, B, C, or D.","In which group element having electronic configuration like 1s^{2}2s^{2}2p^{1} is present in periodic table? A. Group-1 B. Group-3 C. Group-5 D. Group-13 Answer with only A, B, C, "
benqa_10th-Chemistry_0111,benqa,mcq,chemistry,auto_romanized_unverified_v4,banglish_vs_english,diagnostic,banglish_clean,english,A B C D,A B C D,True,1 2 2 2 2 2 1 3 5 13,1 2 2 2 2 1 1 3 5 13,False,1s^{2} 2p^{2} 2s^{2},1s^{2} 2p^{1} 2s^{2},False,mcq_letters,mcq_letters,True,True,False,True,digits formulas,"1s^{2}2s^{2}2p^{2} ilekotron binyasobishisht mouloti poryay saronir kon grupe obosthit? A. grup-1 B. grup-3 C. grup-5 D. grup-13 Answer with only A, B, C, or D.","In which group element having electronic configuration like 1s^{2}2s^{2}2p^{1} is present in periodic table? A. Group-1 B. Group-3 C. Group-5 D. Group-13 Answer with only A, B, C, "
benqa_10th-Math_0186,benqa,mcq,math,auto_romanized_unverified_v4,bangla_vs_banglish,primary,bangla,banglish_clean,A B C D,A B C D,True,2 1 4 4 3 2 1,2 1 4 4 3 2 1,True,,,True,mcq_letters,mcq_letters,True,False,False,False,,"2x + y = 1 ও x = - 4 সমীকরণদ্বয়ের সমাধান বিন্দু কোন চর্তুভাগে অবস্থিত? A. 4th B. 3rd C. 2nd D. 1st Answer with only A, B, C, or D.","2x + y = 1 o x = - 4 somikoronodboyer somadhan bindu kon chortubhage obosthit? A. 4th B. 3rd C. 2nd D. 1st Answer with only A, B, C, or D."
benqa_10th-Math_0186,benqa,mcq,math,auto_romanized_unverified_v4,bangla_vs_english,diagnostic,bangla,english,A B C D,A B C D,True,2 1 4 4 3 2 1,2 1 4 4 3 2 1,True,,,True,mcq_letters,mcq_letters,True,False,False,False,,"2x + y = 1 ও x = - 4 সমীকরণদ্বয়ের সমাধান বিন্দু কোন চর্তুভাগে অবস্থিত? A. 4th B. 3rd C. 2nd D. 1st Answer with only A, B, C, or D.","In which quadrant the solution of equation 2x + y = 1 and x = -4 is present? A. 4th B. 3rd C. 2nd D. 1st Answer with only A, B, C, or D."
benqa_10th-Math_0186,benqa,mcq,math,auto_romanized_unverified_v4,banglish_vs_english,diagnostic,banglish_clean,english,A B C D,A B C D,True,2 1 4 4 3 2 1,2 1 4 4 3 2 1,True,,,True,mcq_letters,mcq_letters,True,False,False,False,,"2x + y = 1 o x = - 4 somikoronodboyer somadhan bindu kon chortubhage obosthit? A. 4th B. 3rd C. 2nd D. 1st Answer with only A, B, C, or D.","In which quadrant the solution of equation 2x + y = 1 and x = -4 is present? A. 4th B. 3rd C. 2nd D. 1st Answer with only A, B, C, or D."
benqa_12th-Chemistry-II_0194,benqa,mcq,chemistry-ii,auto_romanized_unverified_v4,bangla_vs_banglish,primary,bangla,banglish_clean,A B C D,A B C D,True,,,True,,,True,mcq_letters,mcq_letters,True,False,False,False,,"সেমিকন্ডাক্টর হিসেবে ব্যবহৃত হয়- A. Ge B. Zn C. Cu D. Al Answer with only A, B, C, or D.","semikondaktor hisebe byobohrit hoy- A. Ge B. Zn C. Cu D. Al Answer with only A, B, C, or D."
benqa_12th-Chemistry-II_0194,benqa,mcq,chemistry-ii,auto_romanized_unverified_v4,bangla_vs_english,diagnostic,bangla,english,A B C D,A B C D,True,,,True,,,True,mcq_letters,mcq_letters,True,False,False,False,,"সেমিকন্ডাক্টর হিসেবে ব্যবহৃত হয়- A. Ge B. Zn C. Cu D. Al Answer with only A, B, C, or D.","Used as semiconductor is- A. Ge B. Zn C. Cu D. Al Answer with only A, B, C, or D."
