route,id,gold,rule,action,routed_answer,routed_correct,baseline_correct,delta_vs_baseline,changed_from_baseline,banglish_parsed,generated_bn_parsed,generated_en_parsed,repair_strategy
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0057,C,baseline,baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0057,C,strict_generated_agreement,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0057,C,three_view_majority,banglish_bn_majority,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0057,C,generated_bn_only,use_generated_bn,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0057,C,generated_en_only,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0057,C,generated_bn_if_baseline_empty,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0057,C,generated_en_if_baseline_empty,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0057,C,all_disagree_bn_tiebreak,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0057,C,all_disagree_en_tiebreak,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0057,C,generated_bn_priority_nonbaseline,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0057,C,generated_en_priority_nonbaseline,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0143,C,baseline,baseline,C,True,True,0,False,C,D,C,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0143,C,strict_generated_agreement,fallback_baseline,C,True,True,0,False,C,D,C,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0143,C,three_view_majority,banglish_en_majority,C,True,True,0,False,C,D,C,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0143,C,generated_bn_only,use_generated_bn,D,False,True,-1,True,C,D,C,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0143,C,generated_en_only,use_generated_en,C,True,True,0,False,C,D,C,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0143,C,generated_bn_if_baseline_empty,fallback_baseline,C,True,True,0,False,C,D,C,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0143,C,generated_en_if_baseline_empty,fallback_baseline,C,True,True,0,False,C,D,C,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0143,C,all_disagree_bn_tiebreak,fallback_baseline,C,True,True,0,False,C,D,C,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0143,C,all_disagree_en_tiebreak,fallback_baseline,C,True,True,0,False,C,D,C,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0143,C,generated_bn_priority_nonbaseline,bn_nonbaseline_priority,D,False,True,-1,True,C,D,C,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0143,C,generated_en_priority_nonbaseline,bn_nonbaseline_priority,D,False,True,-1,True,C,D,C,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0197,D,baseline,baseline,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0197,D,strict_generated_agreement,fallback_baseline,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0197,D,three_view_majority,banglish_bn_majority,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0197,D,generated_bn_only,use_generated_bn,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0197,D,generated_en_only,fallback_baseline,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0197,D,generated_bn_if_baseline_empty,fallback_baseline,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0197,D,generated_en_if_baseline_empty,fallback_baseline,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0197,D,all_disagree_bn_tiebreak,fallback_baseline,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0197,D,all_disagree_en_tiebreak,fallback_baseline,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0197,D,generated_bn_priority_nonbaseline,fallback_baseline,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0197,D,generated_en_priority_nonbaseline,fallback_baseline,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0280,A,baseline,baseline,D,False,False,0,False,D,D,D,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0280,A,strict_generated_agreement,fallback_baseline,D,False,False,0,False,D,D,D,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0280,A,three_view_majority,banglish_bn_majority,D,False,False,0,False,D,D,D,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0280,A,generated_bn_only,use_generated_bn,D,False,False,0,False,D,D,D,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0280,A,generated_en_only,use_generated_en,D,False,False,0,False,D,D,D,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0280,A,generated_bn_if_baseline_empty,fallback_baseline,D,False,False,0,False,D,D,D,raw_self_translate
