id,dataset,domain,subject,grade,task_type,quality_status,review_label,content_token_count,unique_content_token_count,banglatlit_seen_token_count,banglatlit_seen_unique_token_count,banglatlit_frequent_token_count,token_coverage,unique_token_coverage,frequent_token_coverage,top_unseen_tokens,bangla_correct_models,banglish_correct_models,english_correct_models,banglish_fragility_events,strict_bangla_english_fragility_events,banglish_preview
benqa_12th-Biology-I_0265,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,44,39,15,11,10,0.3409,0.2821,0.2273,banchiye; bandol; bhaskular; boishishtyogulo; byoboharik; dekholo; ekokoshi; iii; kendrer; khabar; khaddo; khonij,1,0,3,3,1,"mi. 'k' byoboharik klase ekti nomunar poryobekshon kore dekholo metajailem kendrer dike, bhaskular bandol 9ti ebong kichhu ekok..."
benqa_12th-Chemistry-II_0240,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,14,13,4,4,3,0.2857,0.3077,0.2143,bikriyati; cao; ch; coona; delta; naoh; porichit; uddipoker; xrightarrow,1,2,2,1,1,CH_{3} - CH_{2} - COONa + NaOH \xrightarrow[\Delta]{CaO} A + Na_{2}CO_{3} uddipoker bikriyati ki name porichit? A. urtoj bikriy...
benqa_10th-Chemistry_0111,benqa,chemistry,Chemistry,10th,mcq,auto_romanized_unverified_v4,unreviewed,8,8,2,2,1,0.25,0.25,0.125,binyasobishisht; ilekotron; mouloti; obosthit; poryay; saronir,1,1,1,0,0,1s^{2}2s^{2}2p^{2} ilekotron binyasobishisht mouloti poryay saronir kon grupe obosthit? A. grup-1 B. grup-3 C. grup-5 D. grup-1...
benqa_10th-Math_0186,benqa,math,Math,10th,mcq,auto_romanized_unverified_v4,unreviewed,6,6,2,2,2,0.3333,0.3333,0.3333,bindu; chortubhage; obosthit; somikoronodboyer,0,0,0,0,0,"2x + y = 1 o x = - 4 somikoronodboyer somadhan bindu kon chortubhage obosthit? A. 4th B. 3rd C. 2nd D. 1st Answer with only A,..."
benqa_12th-Chemistry-II_0194,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,4,2,2,2,0.5,0.5,0.5,byobohrit; semikondaktor,2,1,3,2,1,"semikondaktor hisebe byobohrit hoy- A. Ge B. Zn C. Cu D. Al Answer with only A, B, C, or D."
banglamath_0234,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,11,9,9,7,6,0.8182,0.7778,0.5455,ekotre; kh,0,0,0,0,0,ekti kaj k 10 dine o kh 15 dine korle tara ekotre koto dine korbe Return only the final answer.
benqa_12th-Chemistry-II_0054,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,4,1,1,1,0.25,0.25,0.25,amaider; karyokori; mulok,2,2,3,1,1,"amaider karyokori mulok holo- A. \text{-CONH_{2}} B. \text{-COX} C. \text{-CHO} D. \text{-NH_{2}} Answer with only A, B, C, or D."
banglamath_0522,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,10,9,2,2,2,0.2,0.2222,0.2,bhitore; chowra; jomir; khetrofol; mitar; rasta; rastabade,0,0,0,0,0,jomir bhitore 2 mitar chowra rasta thakle rastabade jomir khetrofol koto Return only the final answer.
benqa_12th-Math-II_0234,benqa,math-ii,Math-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,14,11,8,7,6,0.5714,0.6364,0.4286,alpha; frac; mulodboy; somikoroner,2,1,2,1,1,jodi x^{2} - 4x + 3 = 0 somikoroner mulodboy \alpha ebong \beta hoy tobe \frac{1}{\alpha} + frac{1}{\beta} er man- A. \frac{4}{...
benqa_10th-Math_0271,benqa,math,Math,10th,mcq,human_reviewed_banglish_v5,minor_edit,12,12,5,5,4,0.4167,0.4167,0.3333,chhara; duti; ongkon; sthulokon; sthulokoni; tribhuj; tribhujer,1,0,2,2,1,sthulokoni tribhujer sthulokon chhara baki kon duti koto hole tribhuj ongkon sombhob? A. 30\degree o 60\degree B. 40\degree o 5...
