group,source,citation_key,bib_key_present,citation_map_present,chapter2_checklist_present,status
Core QA/math benchmark,BEnQA,shafayat-etal-2024-benqa,true,true,true,ok
Core QA/math benchmark,BanglaMATH,banglamath2025,true,true,true,ok
Core QA/math benchmark,MGSM,mgsm2022,true,true,true,ok
Core QA/math benchmark,GSM8K,gsm8k2021,true,true,true,ok
Bengali benchmark landscape,BanglaQuAD,banglaquad2024,true,true,true,ok
Bengali benchmark landscape,BnMMLU,bnmmlu2025,true,true,true,ok
Bengali benchmark landscape,BLUCK,bluck2025,true,true,true,ok
Bengali benchmark landscape,NCTB-QA,nctbqa2026,true,true,true,ok
Bengali benchmark landscape,BNLI,bnli2025,true,true,true,ok
Bengali benchmark landscape,BanglaSocialBench,banglasocialbench2026,true,true,true,ok
Bengali benchmark landscape,BanglaVerse,banglaverse2026,true,true,true,ok
Bengali benchmark landscape,Bengali-Loop,bengaliloop2026,true,true,true,ok
Bengali benchmark landscape,BanglaGuard,banglaguard2026,true,true,true,ok
Bengali benchmark landscape,BanglaMedQA,banglamedqa2025,true,true,true,ok
Banglish/script robustness,BanglaTLit,fahim-etal-2024-banglatlit,true,true,true,ok
Banglish/script robustness,Bangla transliteration robustness,haider-etal-2025-robustness,true,true,true,ok
Banglish/script robustness,BanglishRev,banglishrev2024,true,true,true,ok
Banglish/script robustness,BAN-TH,banth2024,true,true,true,ok
Banglish/script robustness,BnSentMix,bnsentmix2024,true,true,true,ok
Banglish/script robustness,MixSarc,mixsarc2026,true,true,true,ok
Banglish/script robustness,Bhasha-Abhijnaanam,bhashaabhijnaanam2023,true,true,true,ok
Banglish/script robustness,IndoTranslit,indotranslit2025,true,true,true,ok
Banglish/script robustness,Script Gap,scriptgap2025,true,true,true,ok
Banglish/script robustness,Romanized Nepali LLM Benchmark,romanizednepali2026,true,true,true,ok
Mechanism/tokenization,Do All Languages Cost The Same?,tokenizerfairness2023,true,true,true,ok
Mechanism/tokenization,RomanLens,romanlens2025,true,true,true,ok
Mechanism/tokenization,Do Llamas Work in English?,wendler-etal-2024-llamas,true,true,true,ok
Mechanism/tokenization,Do Multilingual LLMs Think in English?,thinkenglish2025,true,true,true,ok
Mechanism/tokenization,MALT Urdu,malturdu2025,true,true,true,ok
Bangla model ecosystem,BanglaNLG/BanglaT5,banglanlg2022,true,true,true,ok
Bangla model ecosystem,BanglaByT5,banglabyt52025,true,true,true,ok
Bangla model ecosystem,TituLLMs,titullms2025,true,true,true,ok
Bangla model ecosystem,TigerLLM,raihan-zampieri-2025-tigerllm,true,true,true,ok
