model,id,dataset,task_type,answer_type,gold,pattern,bangla_present,bangla_correct,bangla_parsed,bangla_raw,bangla_seconds,banglish_clean_present,banglish_clean_correct,banglish_clean_parsed,banglish_clean_raw,banglish_clean_seconds,english_present,english_correct,english_parsed,english_raw,english_seconds
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0001,mgsm,math_word_problem,short_answer,18,all_wrong,True,False,16,16,1.4501,True,False,tini krishokoder bajare protidin kot dolar 2.12 uparjon koren.,tini krishokoder bajare protidin kot dolar 2.12 uparjon koren.,1.2479,True,False,4,4,0.1711
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0002,mgsm,math_word_problem,short_answer,3,all_wrong,True,False,4,4,0.1954,True,False,3 ril lagobe,3 ril lagobe,0.3232,True,False,5,5,0.1495
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0003,mgsm,math_word_problem,short_answer,70000,english_only_correct,True,False,60000,60000,0.4947,True,False,"tini labh korolen 120,000 dolarni.","tini labh korolen 120,000 dolarni.",0.9107,True,True,170000,170000,0.3927
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0004,mgsm,math_word_problem,short_answer,540,bangla_only_correct,True,True,540,540,0.3564,True,False,90,90,0.2146,True,False,810,810,0.2376
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0005,mgsm,math_word_problem,short_answer,20,all_wrong,True,False,100,100,0.6048,True,False,30,30,0.3121,True,False,120,120,0.2812
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0006,mgsm,math_word_problem,short_answer,64,all_wrong,True,False,246,246,0.4256,True,False,12,12,0.2388,True,False,246,246,0.2541
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0007,mgsm,math_word_problem,short_answer,260,all_wrong,True,False,140,140,0.4277,True,False,Yes,Yes,0.1919,True,False,80,80,0.2071
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0008,mgsm,math_word_problem,short_answer,160,bangla_only_correct,True,True,160 minutes,160 minutes,0.5212,True,False,karla daunolod korar jony 20 minit shuru koroto hoy.,karla daunolod korar jony 20 minit shuru koroto hoy.,1.0353,True,False,1200 minutes,1200 minutes,0.3246
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0009,mgsm,math_word_problem,short_answer,45,all_wrong,True,False,160 miles,160 miles,0.658,True,False,yes,yes,0.2633,True,False,155 mph⋅h,155 mph⋅h,0.3826
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0010,mgsm,math_word_problem,short_answer,460,all_wrong,True,False,$490,$490,0.4761,True,False,47,47,0.2235,True,False,150,150,0.2444
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0011,mgsm,math_word_problem,short_answer,366,all_wrong,True,False,246,246,0.438,True,False,40%,40%,0.2645,True,False,420,420,0.243
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0012,mgsm,math_word_problem,short_answer,694,all_wrong,True,False,149,149,0.3803,True,False,$197,$197,0.3095,True,False,147,147,0.2454
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0013,mgsm,math_word_problem,short_answer,13,all_wrong,True,False,6,6,0.3613,True,False,$88.5,$88.5,0.4006,True,False,4,4,0.1715
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0014,mgsm,math_word_problem,short_answer,18,all_wrong,True,False,10,10,0.4274,True,False,"melanir kachhe jodi 3ti bhyakium klinar oboshisht thake, tini kotoguli niye bikroy kora shuru korechhilen.","melanir kachhe jodi 3ti bhyakium klinar oboshisht thake, tini kotoguli niye bikroy kora shuru korechhilen.",1.9088,True,False,15,15,0.2047
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0015,mgsm,math_word_problem,short_answer,60,all_wrong,True,False,45%,45%,0.3912,True,False,"Yes, hip-hop nache is shotangsh nothibhukt hoyechhe in shiksharthir modhye.","Yes, hip-hop nache is shotangsh nothibhukt hoyechhe in shiksharthir modhye.",1.2465,True,False,40%,40%,0.2419
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0016,mgsm,math_word_problem,short_answer,125,all_wrong,True,False,37.65%,37.65%,0.6788,True,False,"Net return = $8,000 * 1.2% = $96","To determine if the given maser (investment) is worth pursuing, we need to calculate the net return for both options and compare them. For the first option: - Initial investment: $5,000 - Expected return: 2.5% - Net r...",5.1765,True,False,350,350,0.2637
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0017,mgsm,math_word_problem,short_answer,230,english_only_correct,True,False,430 মাইল,430 মাইল,0.6271,True,False,Yes,Yes,0.1856,True,True,230 miles,230 miles,0.2833
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0018,mgsm,math_word_problem,short_answer,57500,all_wrong,True,False,$4900,$4900,0.5138,True,False,1400,1400,0.3004,True,False,47500,47500,0.3211
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0019,mgsm,math_word_problem,short_answer,7,all_wrong,True,False,9,9,0.2086,True,False,2,2,0.1467,True,False,6,6,0.1433
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0020,mgsm,math_word_problem,short_answer,6,english_only_correct,True,False,2,2,0.3844,True,False,joni tanke kot bege (mail proti ghontay) hantote hobe 5 ghonta,joni tanke kot bege (mail proti ghontay) hantote hobe 5 ghonta,1.0846,True,True,6,6,0.1648
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0021,mgsm,math_word_problem,short_answer,15,all_wrong,True,False,23.5,23.5,0.4765,True,False,36,36,0.226,True,False,13.6 liters,13.6 liters,0.3222
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0022,mgsm,math_word_problem,short_answer,14,all_wrong,True,False,15,15,0.372,True,False,Yes,Yes,0.185,True,False,18 years ago,18 years ago,0.2596
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0023,mgsm,math_word_problem,short_answer,7,all_wrong,True,False,8,8,0.362,True,False,bili monggolobare kotoguli 3 jon grahok konooni DVD kroy korechhen,bili monggolobare kotoguli 3 jon grahok konooni DVD kroy korechhen,1.1865,True,False,Billy sold 7 DVDs on Tuesday.,Billy sold 7 DVDs on Tuesday.,0.4414
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0024,mgsm,math_word_problem,short_answer,8,english_only_correct,True,False,100,100,0.342,True,False,"Yes, ekoti momobati kot sentimitar chhot hoye jabe from 1:00 PM to 5:00 PM.","Yes, ekoti momobati kot sentimitar chhot hoye jabe from 1:00 PM to 5:00 PM.",1.403,True,True,8,8,0.1442
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0025,mgsm,math_word_problem,short_answer,26,all_wrong,True,False,81,81,0.2774,True,False,36.75,36.75,0.3239,True,False,$26. 00,$26. 00,0.3813
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0026,mgsm,math_word_problem,short_answer,2,english_only_correct,True,False,4,4,0.3582,True,False,Yes,Yes,0.1862,True,True,2,2,0.166
