model,id,review_label,quality_status,subject,grade,domain,gold,banglish_option,banglish_correct,gold_D,banglish_D,banglish_wrong_D,banglish_invalid
Qwen2.5-3B,benqa_10th-Biology_0057,minor_edit,human_reviewed_banglish_v5,Biology,10th,biology,C,D,False,False,True,True,False
Qwen2.5-3B,benqa_10th-Biology_0090,minor_edit,human_reviewed_banglish_v5,Biology,10th,biology,C,A,False,False,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0128,minor_edit,human_reviewed_banglish_v5,Biology,10th,biology,A,C,False,False,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0143,unreviewed,auto_romanized_unverified_v4,Biology,10th,biology,C,B,False,False,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0149,unreviewed,auto_romanized_unverified_v4,Biology,10th,biology,B,A,False,False,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0156,minor_edit,human_reviewed_banglish_v5,Biology,10th,biology,C,B,False,False,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0188,unreviewed,auto_romanized_unverified_v4,Biology,10th,biology,A,B,False,False,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0197,minor_edit,human_reviewed_banglish_v5,Biology,10th,biology,D,A,False,True,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0213,unreviewed,auto_romanized_unverified_v4,Biology,10th,biology,A,D,False,False,True,True,False
Qwen2.5-3B,benqa_10th-Biology_0215,minor_edit,human_reviewed_banglish_v5,Biology,10th,biology,B,D,False,False,True,True,False
Qwen2.5-3B,benqa_10th-Biology_0277,minor_edit,human_reviewed_banglish_v5,Biology,10th,biology,C,D,False,False,True,True,False
Qwen2.5-3B,benqa_10th-Biology_0339,unreviewed,auto_romanized_unverified_v4,Biology,10th,biology,D,A,False,True,False,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0041,minor_edit,human_reviewed_banglish_v5,Chemistry,10th,chemistry,D,D,True,True,True,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0110,minor_edit,human_reviewed_banglish_v5,Chemistry,10th,chemistry,C,A,False,False,False,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0111,unreviewed,auto_romanized_unverified_v4,Chemistry,10th,chemistry,D,B,False,True,False,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0132,minor_edit,human_reviewed_banglish_v5,Chemistry,10th,chemistry,A,B,False,False,False,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0191,minor_edit,human_reviewed_banglish_v5,Chemistry,10th,chemistry,A,D,False,False,True,True,False
Qwen2.5-3B,benqa_10th-Chemistry_0194,unreviewed,auto_romanized_unverified_v4,Chemistry,10th,chemistry,D,C,False,True,False,False,False
