model,model_id,variant,variant_label,dataset,task_type,answer_type,id,gold,correct,parsed,gold_numeric_values,raw_numeric_values,parsed_numeric_values,gold_numeric_count,raw_numeric_count,parsed_numeric_count,raw_has_any_number,parsed_has_any_number,raw_full_numeric_signature,parsed_full_numeric_signature,wrong_raw_full_numeric_signature,wrong_parsed_full_numeric_signature,wrong_without_raw_number,source,line,raw_excerpt
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0181,সময় কমে যায়,False,decreases,,,,0,0,0,False,False,False,False,False,False,True,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,304,decreases
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0181,সময় কমে যায়,False,thakle lok songkhya barale somoy koyom,,,,0,0,0,False,False,False,False,False,False,True,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,102,thakle lok songkhya barale somoy koyom
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0181,সময় কমে যায়,False,"The time decreases if the number of workers increases, assuming the amount of work remains constant and all other factors remain unchanged.",,,,0,0,0,False,False,False,False,False,False,True,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,306,"The time decreases if the number of workers increases, assuming the amount of work remains constant and all other factors remain unchanged."
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0182,৬০০ টাকা,False,840 টাকা,600,840,840,1,1,1,True,True,False,False,False,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,217,840 টাকা
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0182,৬০০ টাকা,False,280 * 15 = 4200,600,15;280;4200,15;280;4200,1,3,3,True,True,False,False,False,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,73,280 * 15 = 4200
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0182,৬০০ টাকা,False,900 Taka,600,900,900,1,1,1,True,True,False,False,False,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,219,900 Taka
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0183,৩০ দিন,False,10 days,30,10,10,1,1,1,True,True,False,False,False,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,307,10 days
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0183,৩০ দিন,False,The khadde (house) will last for 10 days.,30,10,10,1,1,1,True,True,False,False,False,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,103,The khadde (house) will last for 10 days.
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0183,৩০ দিন,False,75,30,75,75,1,1,1,True,True,False,False,False,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,309,75
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0184,১২০০০ টাকা,False,1200 টাকা,12000,1200,1200,1,1,1,True,True,False,False,False,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,124,1200 টাকা
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0184,১২০০০ টাকা,False,\[ \text{Cost per taka} = \frac{450 \text{ taka}}{9000 \text{ taka}} = 0.05 \,12000,0.05;450;600;9000,0.05;450;9000,1,4,3,True,True,False,False,False,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,42,"To find out how much protidin should be bought to gain a profit of 600 taka, we need to first understand the cost and profit relationship given in the problem. Given: - Cost of..."
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0184,১২০০০ টাকা,False,4500 Taka,12000,4500,4500,1,1,1,True,True,False,False,False,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,126,4500 Taka
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0185,২০০ কেজি,True,২০০ কেজি,200,200,200,1,1,1,True,True,True,True,False,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,316,২০০ কেজি
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0185,২০০ কেজি,False,20 keji chale,200,20,20,1,1,1,True,True,False,False,False,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,106,20 keji chale
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0185,২০০ কেজি,False,384 kg,200,384,384,1,1,1,True,True,False,False,False,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,318,384 kg
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0186,২২ ১/২ দিন,False,45,0.5;22,45,45,2,1,1,True,True,False,False,False,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,520,45
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0186,২২ ১/২ দিন,False,45 din,0.5;22,45,45,2,1,1,True,True,False,False,False,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,174,45 din
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0186,২২ ১/২ দিন,False,45,0.5;22,45,45,2,1,1,True,True,False,False,False,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,522,45
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0187,১৪০ জন,False,180,140,180,180,1,1,1,True,True,False,False,False,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,568,180
