model,id,gold,banglish_option,banglish_correct,banglish_D,banglish_wrong_D,banglish_invalid,banglish_hf_tokens,banglish_chars,banglish_words,banglish_hf_tokens_per_word,banglish_chars_per_word,banglish_bytes_per_word
Qwen2.5-3B,benqa_10th-Biology_0057,C,D,False,True,True,False,112.0,269.0,54.0,2.074074074074074,4.981481481481482,4.981481481481482
Qwen2.5-3B,benqa_10th-Biology_0090,C,A,False,False,False,False,42.0,92.0,19.0,2.210526315789474,4.842105263157895,4.842105263157895
Qwen2.5-3B,benqa_10th-Biology_0128,A,C,False,False,False,False,63.0,140.0,26.0,2.423076923076923,5.384615384615385,5.384615384615385
Qwen2.5-3B,benqa_10th-Biology_0143,C,B,False,False,False,False,60.0,140.0,25.0,2.4,5.6,5.6
Qwen2.5-3B,benqa_10th-Biology_0149,B,A,False,False,False,False,57.0,126.0,23.0,2.4782608695652173,5.478260869565218,5.478260869565218
Qwen2.5-3B,benqa_10th-Biology_0156,C,B,False,False,False,False,54.0,100.0,22.0,2.4545454545454546,4.545454545454546,4.545454545454546
Qwen2.5-3B,benqa_10th-Biology_0188,A,B,False,False,False,False,45.0,81.0,21.0,2.142857142857143,3.857142857142857,3.857142857142857
Qwen2.5-3B,benqa_10th-Biology_0197,D,A,False,False,False,False,59.0,133.0,23.0,2.5652173913043477,5.782608695652174,5.782608695652174
Qwen2.5-3B,benqa_10th-Biology_0213,A,D,False,True,True,False,61.0,143.0,27.0,2.259259259259259,5.296296296296297,5.296296296296297
Qwen2.5-3B,benqa_10th-Biology_0215,B,D,False,True,True,False,130.0,285.0,50.0,2.6,5.7,5.7
Qwen2.5-3B,benqa_10th-Biology_0277,C,D,False,True,True,False,103.0,248.0,56.0,1.8392857142857142,4.428571428571429,4.428571428571429
Qwen2.5-3B,benqa_10th-Biology_0339,D,A,False,False,False,False,56.0,129.0,23.0,2.4347826086956523,5.608695652173913,5.608695652173913
Qwen2.5-3B,benqa_10th-Chemistry_0041,D,D,True,True,False,False,97.0,208.0,33.0,2.9393939393939394,6.303030303030303,6.303030303030303
Qwen2.5-3B,benqa_10th-Chemistry_0110,C,A,False,False,False,False,53.0,111.0,20.0,2.65,5.55,5.55
Qwen2.5-3B,benqa_10th-Chemistry_0111,D,B,False,False,False,False,78.0,160.0,25.0,3.12,6.4,6.4
Qwen2.5-3B,benqa_10th-Chemistry_0132,A,B,False,False,False,False,44.0,98.0,19.0,2.3157894736842106,5.157894736842105,5.157894736842105
Qwen2.5-3B,benqa_10th-Chemistry_0191,A,D,False,True,True,False,118.0,281.0,57.0,2.0701754385964914,4.9298245614035086,4.9298245614035086
