model,dataset,task_type,pattern,n
Qwen/Qwen2.5-0.5B-Instruct,banglamath,short_answer,all_wrong,4
Qwen/Qwen2.5-0.5B-Instruct,banglamath,short_answer,bangla_banglish_both_wrong_no_english,3
Qwen/Qwen2.5-0.5B-Instruct,banglamath,short_answer,banglish_correct_bangla_wrong_no_english,1
Qwen/Qwen2.5-0.5B-Instruct,benqa,mcq,all_correct,4
Qwen/Qwen2.5-0.5B-Instruct,benqa,mcq,all_wrong,3
Qwen/Qwen2.5-0.5B-Instruct,benqa,mcq,bangla_drop_vs_banglish_english,2
Qwen/Qwen2.5-0.5B-Instruct,benqa,mcq,bangla_only_correct,1
Qwen/Qwen2.5-0.5B-Instruct,benqa,mcq,banglish_only_correct,1
Qwen/Qwen2.5-0.5B-Instruct,benqa,mcq,english_only_correct,1
Qwen/Qwen2.5-1.5B-Instruct,banglamath,short_answer,all_wrong,3
Qwen/Qwen2.5-1.5B-Instruct,banglamath,short_answer,bangla_banglish_both_wrong_no_english,2
Qwen/Qwen2.5-1.5B-Instruct,banglamath,short_answer,bangla_correct_banglish_wrong_no_english,1
Qwen/Qwen2.5-1.5B-Instruct,banglamath,short_answer,banglish_correct_bangla_wrong_no_english,1
Qwen/Qwen2.5-1.5B-Instruct,banglamath,short_answer,english_only_correct,1
Qwen/Qwen2.5-1.5B-Instruct,benqa,mcq,all_correct,1
Qwen/Qwen2.5-1.5B-Instruct,benqa,mcq,all_wrong,4
Qwen/Qwen2.5-1.5B-Instruct,benqa,mcq,bangla_only_correct,1
Qwen/Qwen2.5-1.5B-Instruct,benqa,mcq,banglish_drop_vs_bangla_english,1
Qwen/Qwen2.5-1.5B-Instruct,benqa,mcq,banglish_only_correct,3
Qwen/Qwen2.5-1.5B-Instruct,benqa,mcq,english_only_correct,1
Qwen/Qwen2.5-1.5B-Instruct,benqa,mcq,english_wrong_only,1
Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,all_wrong,4
Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,bangla_banglish_both_wrong_no_english,2
Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,bangla_correct_banglish_wrong_no_english,2
Qwen/Qwen2.5-3B-Instruct,benqa,mcq,all_correct,3
Qwen/Qwen2.5-3B-Instruct,benqa,mcq,all_wrong,5
Qwen/Qwen2.5-3B-Instruct,benqa,mcq,bangla_only_correct,2
Qwen/Qwen2.5-3B-Instruct,benqa,mcq,banglish_drop_vs_bangla_english,1
Qwen/Qwen2.5-3B-Instruct,benqa,mcq,english_only_correct,1
Qwen/Qwen3-4B-Instruct-2507,banglamath,short_answer,all_wrong,4
Qwen/Qwen3-4B-Instruct-2507,banglamath,short_answer,bangla_banglish_both_correct_no_english,1
Qwen/Qwen3-4B-Instruct-2507,banglamath,short_answer,bangla_banglish_both_wrong_no_english,3
Qwen/Qwen3-4B-Instruct-2507,benqa,mcq,all_correct,5
Qwen/Qwen3-4B-Instruct-2507,benqa,mcq,all_wrong,3
Qwen/Qwen3-4B-Instruct-2507,benqa,mcq,bangla_drop_vs_banglish_english,1
Qwen/Qwen3-4B-Instruct-2507,benqa,mcq,banglish_drop_vs_bangla_english,3
