section,model,bucket,bucket_label,n,banglish_correct,gold_D,banglish_D,banglish_wrong_D,banglish_invalid,pred_A,pred_B,pred_C,pred_D,gold_A,gold_B,gold_C,gold_D_count,d_over_gold_d
review_bucket,Qwen2.5-3B,all,All BEnQA rows,144,41,39,39,25,0,22,56,27,39,29,35,41,39,0
review_bucket,Qwen2.5-3B,unreviewed,Rows not selected for v5 Banglish review,51,13,13,10,7,0,10,24,7,10,10,14,14,13,-3
review_bucket,Qwen2.5-3B,minor_edit,Rows with minor Banglish edit,88,25,25,28,18,0,11,29,20,28,19,19,25,25,3
review_bucket,Qwen2.5-3B,major_edit,Rows with major Banglish edit,2,1,0,0,0,0,0,2,0,0,0,1,1,0,0
review_bucket,Qwen2.5-3B,bad,Rows flagged bad under the default all-200 policy,3,2,1,1,0,0,1,1,0,1,0,1,1,1,0
review_bucket,Qwen2.5-3B,reviewed_nonbad,Minor/major edited rows,90,26,25,28,18,0,11,31,20,28,19,20,26,25,3
review_bucket,Qwen2.5-3B,reviewed_all,All rows selected for v5 review,93,28,26,29,18,0,12,32,20,29,19,21,27,26,3
review_bucket,Qwen2.5-3B,strict_nonbad,All rows except bad,141,39,38,38,25,0,21,55,27,38,29,34,40,38,0
review_bucket,Qwen2.5-7B 8-bit,all,All BEnQA rows,144,47,39,25,17,2,33,57,27,25,29,35,41,39,-14
review_bucket,Qwen2.5-7B 8-bit,unreviewed,Rows not selected for v5 Banglish review,51,14,13,7,6,0,14,20,10,7,10,14,14,13,-6
review_bucket,Qwen2.5-7B 8-bit,minor_edit,Rows with minor Banglish edit,88,31,25,17,11,2,17,35,17,17,19,19,25,25,-8
review_bucket,Qwen2.5-7B 8-bit,major_edit,Rows with major Banglish edit,2,1,0,0,0,0,0,2,0,0,0,1,1,0,0
review_bucket,Qwen2.5-7B 8-bit,bad,Rows flagged bad under the default all-200 policy,3,1,1,1,0,0,2,0,0,1,0,1,1,1,0
review_bucket,Qwen2.5-7B 8-bit,reviewed_nonbad,Minor/major edited rows,90,32,25,17,11,2,17,37,17,17,19,20,26,25,-8
review_bucket,Qwen2.5-7B 8-bit,reviewed_all,All rows selected for v5 review,93,33,26,18,11,2,19,37,17,18,19,21,27,26,-8
review_bucket,Qwen2.5-7B 8-bit,strict_nonbad,All rows except bad,141,46,38,24,17,2,31,57,27,24,29,34,40,38,-14
review_bucket,Qwen3-4B,all,All BEnQA rows,144,47,39,111,77,3,3,7,20,111,29,35,41,39,72
review_bucket,Qwen3-4B,unreviewed,Rows not selected for v5 Banglish review,51,14,13,39,28,2,0,2,8,39,10,14,14,13,26
review_bucket,Qwen3-4B,minor_edit,Rows with minor Banglish edit,88,32,25,67,45,1,3,5,12,67,19,19,25,25,42
review_bucket,Qwen3-4B,major_edit,Rows with major Banglish edit,2,0,0,2,2,0,0,0,0,2,0,1,1,0,2
review_bucket,Qwen3-4B,bad,Rows flagged bad under the default all-200 policy,3,1,1,3,2,0,0,0,0,3,0,1,1,1,2
review_bucket,Qwen3-4B,reviewed_nonbad,Minor/major edited rows,90,32,25,69,47,1,3,5,12,69,19,20,26,25,44
review_bucket,Qwen3-4B,reviewed_all,All rows selected for v5 review,93,33,26,72,49,1,3,5,12,72,19,21,27,26,46
review_bucket,Qwen3-4B,strict_nonbad,All rows except bad,141,46,38,108,75,3,3,7,20,108,29,34,40,38,70
