id,gold,bangla_correct_models,banglish_correct_models,english_correct_models,alternate_best_correct_models,recoverable_banglish_miss_models,valid_recoverable_banglish_miss_models,top_recoverable_wrong_option,top_recoverable_wrong_count,two_plus_models_same_wrong_option,all_three_models_same_wrong_option,strong_alternate_low_banglish,zero_banglish_strong_alternate,wrong_option_counts
benqa_10th-Biology_0057,C,2,1,1,2,1,1,D,1,False,False,True,False,D:1
benqa_10th-Biology_0090,C,1,1,2,2,1,1,D,1,False,False,True,False,D:1
benqa_10th-Biology_0128,A,2,0,2,2,3,3,C,1,False,False,True,True,B:1;C:1;D:1
benqa_10th-Biology_0143,C,1,2,0,1,0,0,,0,False,False,False,False,
benqa_10th-Biology_0149,B,2,0,2,2,3,3,A,2,True,False,True,True,A:2;D:1
benqa_10th-Biology_0156,C,1,1,2,2,1,1,D,1,False,False,True,False,D:1
benqa_10th-Biology_0188,A,1,1,1,1,1,1,D,1,False,False,False,False,D:1
benqa_10th-Biology_0197,D,1,1,0,1,1,1,A,1,False,False,False,False,A:1
benqa_10th-Biology_0213,A,3,1,1,3,2,2,D,2,True,False,True,False,D:2
benqa_10th-Biology_0215,B,0,0,2,2,2,2,D,2,True,False,True,True,D:2
benqa_10th-Biology_0277,C,0,0,0,0,0,0,,0,False,False,False,False,
benqa_10th-Biology_0339,D,1,1,3,3,2,2,A,1,False,False,True,False,A:1;B:1
benqa_10th-Chemistry_0041,D,0,1,3,3,2,2,A,2,True,False,True,False,A:2
benqa_10th-Chemistry_0110,C,1,0,3,3,3,2,A,1,False,False,True,True,A:1;D:1
benqa_10th-Chemistry_0111,D,1,1,1,1,0,0,,0,False,False,False,False,
benqa_10th-Chemistry_0132,A,2,0,3,3,3,3,B,2,True,False,True,True,B:2;D:1
benqa_10th-Chemistry_0191,A,0,0,0,0,0,0,,0,False,False,False,False,
benqa_10th-Chemistry_0194,D,1,1,3,3,2,2,C,2,True,False,True,False,C:2
benqa_10th-Chemistry_0280,A,0,0,0,0,0,0,,0,False,False,False,False,
benqa_10th-Chemistry_0322,B,3,1,3,3,2,2,A,1,False,False,True,False,A:1;D:1
benqa_10th-Chemistry_0336,D,2,2,1,2,0,0,,0,False,False,False,False,
benqa_10th-Chemistry_0374,B,2,2,3,3,1,1,D,1,False,False,False,False,D:1
benqa_10th-Chemistry_0388,D,1,1,1,1,0,0,,0,False,False,False,False,
benqa_10th-Math-II_0062,C,1,1,0,1,0,0,,0,False,False,False,False,
benqa_10th-Math-II_0102,D,1,1,1,1,0,0,,0,False,False,False,False,
benqa_10th-Math-II_0139,A,0,0,0,0,0,0,,0,False,False,False,False,
benqa_10th-Math-II_0326,C,2,3,2,2,0,0,,0,False,False,False,False,
benqa_10th-Math-II_0347,D,1,1,1,1,0,0,,0,False,False,False,False,
benqa_10th-Math-II_0357,D,1,1,0,1,0,0,,0,False,False,False,False,
benqa_10th-Math-II_0367,C,1,1,1,1,1,1,B,1,False,False,False,False,B:1
benqa_10th-Math_0032,B,2,1,1,2,1,1,A,1,False,False,True,False,A:1
benqa_10th-Math_0044,C,3,0,3,3,3,3,B,1,False,False,True,True,A:1;B:1;D:1
benqa_10th-Math_0186,C,0,0,0,0,0,0,,0,False,False,False,False,
benqa_10th-Math_0271,D,1,0,2,2,2,2,C,2,True,False,True,True,C:2
benqa_10th-Math_0324,A,1,0,2,2,2,2,B,2,True,False,True,True,B:2
benqa_10th-Physics_0021,C,3,0,3,3,3,3,B,1,False,False,True,True,A:1;B:1;D:1
benqa_10th-Physics_0036,C,3,3,3,3,0,0,,0,False,False,False,False,
benqa_10th-Physics_0045,A,2,2,3,3,1,1,B,1,False,False,False,False,B:1
benqa_10th-Physics_0055,D,2,2,3,3,1,1,C,1,False,False,False,False,C:1
benqa_10th-Physics_0084,D,1,0,1,1,2,2,B,2,True,False,False,False,B:2
benqa_10th-Physics_0106,A,0,0,0,0,0,0,,0,False,False,False,False,
benqa_10th-Physics_0130,D,2,3,2,2,0,0,,0,False,False,False,False,
benqa_10th-Physics_0150,B,1,2,3,3,1,1,D,1,False,False,False,False,D:1
benqa_10th-Physics_0198,D,1,0,2,2,2,2,C,2,True,False,True,True,C:2
benqa_10th-Physics_0280,B,2,2,3,3,1,1,A,1,False,False,False,False,A:1
benqa_10th-Physics_0296,D,0,1,1,1,1,1,B,1,False,False,False,False,B:1
benqa_12th-Biology-II_0034,B,1,1,2,2,2,2,C,1,False,False,True,False,C:1;D:1
benqa_12th-Biology-II_0049,C,2,0,0,2,2,2,B,1,False,False,True,True,B:1;D:1
benqa_12th-Biology-II_0119,C,1,0,0,1,1,1,D,1,False,False,False,False,D:1
benqa_12th-Biology-II_0122,A,2,1,0,2,1,1,C,1,False,False,True,False,C:1
benqa_12th-Biology-II_0128,B,0,2,2,2,0,0,,0,False,False,False,False,
benqa_12th-Biology-II_0179,A,2,0,3,3,3,3,D,2,True,False,True,True,B:1;D:2
benqa_12th-Biology-II_0203,D,3,3,2,3,0,0,,0,False,False,False,False,
benqa_12th-Biology-II_0247,B,2,2,0,2,1,1,D,1,False,False,False,False,D:1
benqa_12th-Biology-II_0287,B,2,1,3,3,2,2,D,2,True,False,True,False,D:2
benqa_12th-Biology-II_0321,C,0,0,1,1,1,1,A,1,False,False,False,False,A:1
benqa_12th-Biology-II_0325,A,0,0,3,3,3,3,C,2,True,False,True,True,B:1;C:2
