model,id,subject,gold,pred_option,correct,D_composite,D_math_or_numeric,D_all_none_both,D_semantic_cue,D_no_semantic_cue,D_unique_composite,D_unique_math_or_numeric,any_composite,all_composite,D_text,bangla_baseline_option,bangla_baseline_correct_non_d,bangla_non_d_to_D,bangla_correct_non_d_to_wrong_D,english_baseline_option,english_baseline_correct_non_d,english_non_d_to_D,english_correct_non_d_to_wrong_D
Qwen2.5-3B,benqa_10th-Biology_0057,Biology,C,D,False,True,False,False,True,False,False,False,True,True,"i, ii o iii",C,True,True,True,D,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0090,Biology,C,A,False,False,False,False,False,True,False,False,False,False,akh,B,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0128,Biology,A,C,False,False,False,False,False,True,False,False,False,False,glisarik esid,A,True,False,False,A,True,False,False
Qwen2.5-3B,benqa_10th-Biology_0143,Biology,C,B,False,False,False,False,False,True,False,False,False,False,uchch roktochap,A,False,False,False,A,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0149,Biology,B,A,False,False,False,False,False,True,False,False,False,False,songgikosh,B,True,False,False,C,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0156,Biology,C,B,False,False,True,False,True,False,False,False,False,False,18,B,False,False,False,B,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0188,Biology,A,B,False,False,True,False,True,False,False,False,False,False,5,B,False,False,False,B,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0197,Biology,D,A,False,False,False,False,False,True,False,False,False,False,maitokondriya,D,False,False,False,A,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0213,Biology,A,D,False,False,False,False,False,True,False,False,False,False,osthi kosh,A,True,True,True,D,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0215,Biology,B,D,False,True,False,False,True,False,False,False,True,True,"i, ii o iii",D,False,False,False,B,True,True,True
Qwen2.5-3B,benqa_10th-Biology_0277,Biology,C,D,False,True,False,False,True,False,False,False,True,True,"i, ii o iii",B,False,True,False,D,False,False,False
Qwen2.5-3B,benqa_10th-Biology_0339,Biology,D,A,False,False,False,False,False,True,False,False,False,False,kochuripana,B,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0041,Chemistry,D,D,True,False,True,False,True,False,False,False,False,False,polipropinoke ri-saikel kora jay,A,False,True,False,D,False,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0110,Chemistry,C,A,False,False,True,False,True,False,False,False,False,False,Ca(HCO_{3})_{2},D,False,False,False,C,True,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0111,Chemistry,D,B,False,False,True,False,True,False,False,False,False,False,grup-13,B,False,False,False,C,False,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0132,Chemistry,A,B,False,False,False,False,False,True,False,False,False,False,jailin,C,False,False,False,A,True,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0191,Chemistry,A,D,False,True,False,False,True,False,False,False,True,True,"i, ii o iii",D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0194,Chemistry,D,C,False,False,False,False,False,True,False,False,False,False,F,A,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0280,Chemistry,A,D,False,False,False,False,False,True,False,False,False,False,Cu,D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0322,Chemistry,B,B,True,False,False,False,False,True,False,False,False,False,klorin,B,True,False,False,B,True,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0336,Chemistry,D,D,True,True,False,False,True,False,False,False,True,True,"i, ii o iii",D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0374,Chemistry,B,B,True,False,False,False,False,True,False,False,False,False,alokain,B,True,False,False,B,True,False,False
Qwen2.5-3B,benqa_10th-Chemistry_0388,Chemistry,D,B,False,False,True,False,True,False,False,False,False,False,3s^{2}3p^{6}3d^{1}4s^{2},B,False,False,False,C,False,False,False
Qwen2.5-3B,benqa_10th-Math-II_0062,Math-II,C,C,True,False,True,False,True,False,False,False,False,False,x - 3y + 12 = 0,C,True,False,False,B,False,False,False
Qwen2.5-3B,benqa_10th-Math-II_0102,Math-II,D,C,False,False,True,False,True,False,False,False,False,False,8,C,False,False,False,B,False,False,False
Qwen2.5-3B,benqa_10th-Math-II_0139,Math-II,A,B,False,False,True,False,True,False,False,False,False,False,\frac{1}{10010},B,False,False,False,B,False,False,False
Qwen2.5-3B,benqa_10th-Math-II_0326,Math-II,C,C,True,False,True,False,True,False,False,False,False,False,\frac{\pi}{6},C,True,False,False,C,True,False,False
Qwen2.5-3B,benqa_10th-Math-II_0347,Math-II,D,B,False,False,True,False,True,False,False,False,False,False,\frac{\sqrt{3}}{2},B,False,False,False,B,False,False,False
Qwen2.5-3B,benqa_10th-Math-II_0357,Math-II,D,B,False,False,True,False,True,False,False,False,False,False,0.225,A,False,False,False,B,False,False,False
Qwen2.5-3B,benqa_10th-Math-II_0367,Math-II,C,B,False,False,True,False,True,False,False,False,False,False,\frac{2}{3},C,True,False,False,B,False,False,False
Qwen2.5-3B,benqa_10th-Math_0032,Math,B,A,False,False,True,False,True,False,False,False,False,False,2,B,True,False,False,B,True,False,False
Qwen2.5-3B,benqa_10th-Math_0044,Math,C,B,False,False,True,False,True,False,False,False,False,False,2ti,C,True,False,False,C,True,False,False
Qwen2.5-3B,benqa_10th-Math_0186,Math,C,D,False,False,True,False,True,False,False,False,False,False,1st,B,False,True,False,B,False,True,False
Qwen2.5-3B,benqa_10th-Math_0271,Math,D,A,False,False,True,False,True,False,False,False,False,False,50\degree o 30\degree,B,False,False,False,C,False,False,False
Qwen2.5-3B,benqa_10th-Math_0324,Math,A,B,False,False,True,False,True,False,False,False,False,False,\frac{b}{a},C,False,False,False,A,True,False,False
Qwen2.5-3B,benqa_10th-Physics_0021,Physics,C,B,False,False,False,False,False,True,False,False,False,False,pyasokel,C,True,False,False,C,True,False,False
Qwen2.5-3B,benqa_10th-Physics_0036,Physics,C,C,True,False,True,False,True,False,False,False,False,False,0.14,C,True,False,False,C,True,False,False
Qwen2.5-3B,benqa_10th-Physics_0045,Physics,A,B,False,False,False,False,False,True,False,False,False,False,soman,B,False,False,False,A,True,False,False
Qwen2.5-3B,benqa_10th-Physics_0055,Physics,D,D,True,False,False,False,False,True,False,False,False,False,probahi ghorshon,D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_10th-Physics_0084,Physics,D,B,False,False,False,False,False,True,False,False,False,False,borgomuler somanupatik,D,False,False,False,B,False,False,False
Qwen2.5-3B,benqa_10th-Physics_0106,Physics,A,B,False,False,True,False,True,False,False,False,False,False,12,B,False,False,False,B,False,False,False
Qwen2.5-3B,benqa_10th-Physics_0130,Physics,D,D,True,True,False,False,True,False,False,False,True,True,"i, ii o iii",D,False,False,False,B,False,True,False
Qwen2.5-3B,benqa_10th-Physics_0150,Physics,B,B,True,False,False,False,False,True,False,False,False,False,tworon,D,False,False,False,B,True,False,False
