request_id,provider,model,id,dataset,task_type,answer_type,variant,variant_label,prompt_mode,gold,parsed,strict_correct,secondary_correct,secondary_reason,secondary_parsed,parsed_empty,choice_invalid,raw_chars,raw_line_count,raw_multiline,long_response_gt120,finish_reason,requested_max_output_tokens,requested_thinking_budget,usage_input_tokens,usage_output_tokens,usage_thoughts_tokens,usage_total_tokens,seconds,key_name,raw_excerpt
banglamath_0181::bangla::baseline,openai,gpt-5.5-low-cap1024,banglamath_0181,banglamath,short_answer,short_answer,bangla,Bangla,baseline,সময় কমে যায়,কমে যায়,False,False,,কমে যায়,False,False,8,1,False,False,STOP,1024,,61,48,39,109,2.466,OPENAI_API_KEY,কমে যায়
banglamath_0181::banglish_clean::baseline,openai,gpt-5.5-low-cap1024,banglamath_0181,banglamath,short_answer,short_answer,banglish_clean,Reviewed Banglish,baseline,সময় কমে যায়,সময় কমে যায়,False,False,,সময় কমে যায়,False,False,13,1,False,False,STOP,1024,,65,77,66,142,2.897,OPENAI_API_KEY,সময় কমে যায়
banglamath_0181::english::baseline,openai,gpt-5.5-low-cap1024,banglamath_0181,banglamath,short_answer,short_answer,english,English,baseline,সময় কমে যায়,Time decreases.,False,False,,Time decreases.,False,False,15,1,False,False,STOP,1024,,62,30,21,92,1.821,OPENAI_API_KEY,Time decreases.
banglamath_0182::bangla::baseline,openai,gpt-5.5-low-cap1024,banglamath_0182,banglamath,short_answer,short_answer,bangla,Bangla,baseline,৬০০ টাকা,৬০০ টাকা,True,True,strict,৬০০ টাকা,False,False,8,1,False,False,STOP,1024,,65,31,22,96,2.120,OPENAI_API_KEY,৬০০ টাকা
banglamath_0182::banglish_clean::baseline,openai,gpt-5.5-low-cap1024,banglamath_0182,banglamath,short_answer,short_answer,banglish_clean,Reviewed Banglish,baseline,৬০০ টাকা,600 taka,True,True,strict,600 taka,False,False,8,1,False,False,STOP,1024,,62,50,42,112,2.395,OPENAI_API_KEY,600 taka
banglamath_0182::english::baseline,openai,gpt-5.5-low-cap1024,banglamath_0182,banglamath,short_answer,short_answer,english,English,baseline,৬০০ টাকা,600 Taka,True,True,strict,600 Taka,False,False,8,1,False,False,STOP,1024,,63,38,29,101,1.564,OPENAI_API_KEY,600 Taka
banglamath_0183::bangla::baseline,openai,gpt-5.5-low-cap1024,banglamath_0183,banglamath,short_answer,short_answer,bangla,Bangla,baseline,৩০ দিন,৩০ দিন,True,True,strict,৩০ দিন,False,False,6,1,False,False,STOP,1024,,74,48,40,122,2.303,OPENAI_API_KEY,৩০ দিন
banglamath_0183::banglish_clean::baseline,openai,gpt-5.5-low-cap1024,banglamath_0183,banglamath,short_answer,short_answer,banglish_clean,Reviewed Banglish,baseline,৩০ দিন,৩০ দিন,True,True,strict,৩০ দিন,False,False,6,1,False,False,STOP,1024,,75,61,53,136,2.292,OPENAI_API_KEY,৩০ দিন
banglamath_0183::english::baseline,openai,gpt-5.5-low-cap1024,banglamath_0183,banglamath,short_answer,short_answer,english,English,baseline,৩০ দিন,30 days,True,True,strict,30 days,False,False,7,1,False,False,STOP,1024,,66,34,26,100,3.420,OPENAI_API_KEY,30 days
banglamath_0184::bangla::baseline,openai,gpt-5.5-low-cap1024,banglamath_0184,banglamath,short_answer,short_answer,bangla,Bangla,baseline,১২০০০ টাকা,১২০০০ টাকা,True,True,strict,১২০০০ টাকা,False,False,10,1,False,False,STOP,1024,,71,67,57,138,2.998,OPENAI_API_KEY,১২০০০ টাকা
