section,model,bucket,bucket_label,n,gold_D,banglish_correct,banglish_D,banglish_wrong_D,banglish_invalid,mean_D_coverage,mean_max_option_coverage
coverage_bucket,Qwen2.5-3B,overall,All BEnQA rows,144,39,41,39,25,0,0.1868,0.3245
coverage_bucket,Qwen2.5-3B,all_options_same_coverage,All four options have identical exact BanglaTLit coverage,101,27,24,14,10,0,0.0792,0.0792
coverage_bucket,Qwen2.5-3B,d_among_highest_coverage,D is among the highest-coverage options,109,30,30,17,10,0,0.1321,0.1321
coverage_bucket,Qwen2.5-3B,d_not_highest_coverage,At least one option has higher exact coverage than D,35,9,11,22,15,0,0.3571,0.9238
coverage_bucket,Qwen2.5-3B,d_among_lowest_coverage,D is among the lowest-coverage options,111,29,25,14,10,0,0.0721,0.1381
coverage_bucket,Qwen2.5-3B,d_not_lowest_coverage,At least one option has lower exact coverage than D,33,10,16,25,15,0,0.5727,0.9515
coverage_bucket,Qwen2.5-3B,d_strict_highest_coverage,D has strictly higher exact coverage than A/B/C,3,1,3,1,0,0,1.0,1.0
coverage_bucket,Qwen2.5-7B 8-bit,overall,All BEnQA rows,144,39,47,25,17,2,0.1868,0.3245
coverage_bucket,Qwen2.5-7B 8-bit,all_options_same_coverage,All four options have identical exact BanglaTLit coverage,101,27,32,8,7,1,0.0792,0.0792
coverage_bucket,Qwen2.5-7B 8-bit,d_among_highest_coverage,D is among the highest-coverage options,109,30,37,10,7,1,0.1321,0.1321
coverage_bucket,Qwen2.5-7B 8-bit,d_not_highest_coverage,At least one option has higher exact coverage than D,35,9,10,15,10,1,0.3571,0.9238
coverage_bucket,Qwen2.5-7B 8-bit,d_among_lowest_coverage,D is among the lowest-coverage options,111,29,34,8,7,2,0.0721,0.1381
coverage_bucket,Qwen2.5-7B 8-bit,d_not_lowest_coverage,At least one option has lower exact coverage than D,33,10,13,17,10,0,0.5727,0.9515
coverage_bucket,Qwen2.5-7B 8-bit,d_strict_highest_coverage,D has strictly higher exact coverage than A/B/C,3,1,3,1,0,0,1.0,1.0
coverage_bucket,Qwen3-4B,overall,All BEnQA rows,144,39,47,111,77,3,0.1868,0.3245
coverage_bucket,Qwen3-4B,all_options_same_coverage,All four options have identical exact BanglaTLit coverage,101,27,35,76,52,3,0.0792,0.0792
coverage_bucket,Qwen3-4B,d_among_highest_coverage,D is among the highest-coverage options,109,30,38,80,54,3,0.1321,0.1321
coverage_bucket,Qwen3-4B,d_not_highest_coverage,At least one option has higher exact coverage than D,35,9,9,31,23,0,0.3571,0.9238
coverage_bucket,Qwen3-4B,d_among_lowest_coverage,D is among the lowest-coverage options,111,29,36,83,58,3,0.0721,0.1381
coverage_bucket,Qwen3-4B,d_not_lowest_coverage,At least one option has lower exact coverage than D,33,10,11,28,19,0,0.5727,0.9515
coverage_bucket,Qwen3-4B,d_strict_highest_coverage,D has strictly higher exact coverage than A/B/C,3,1,2,1,0,0,1.0,1.0
